ldctype	ldcsubtype	ldcrole	nisttype	nistsubtype	nistrole
phys	locnear	perthg	Physical	LocatedNear	Entity
phys	locnear	plc	Physical	LocatedNear	Place
phys	resident	perpgr	Physical	Resident	Resident
phys	resident	plc	Physical	Resident	Place
phys	orghq	org	Physical	OrganizationHeadquarter	Organization
phys	orghq	plc	Physical	OrganizationHeadquarter	Place
phys	orglocorig	org	Physical	OrganizationLocationOrigin	Organization
phys	orglocorig	plc	Physical	OrganizationLocationOrigin	Place
partwhole	subsid	subsid	PartWhole	Subsidiary	Subsidiary
partwhole	subsid	parorggpe	PartWhole	Subsidiary	Parent
partwhole	membership	orggpe	PartWhole	Membership	Member
partwhole	membership	memorg	PartWhole	Membership	Organization
persoc	bus	per	PersonalSocial	Business	Person
persoc	bus	per	PersonalSocial	Business	Person
persoc	fam	per	PersonalSocial	Family	Person
persoc	fam	per	PersonalSocial	Family	Person
persoc	unspc	per	PersonalSocial	Unspecified	Person
persoc	unspc	per	PersonalSocial	Unspecified	Person
persoc	role	per	PersonalSocial	RoleTitle	Person
persoc	role	ttljob	PersonalSocial	RoleTitle	Title
orgafl	empmem	per	OrganizationAffiliation	EmploymentMembership	Employee
orgafl	empmem	orggpe	OrganizationAffiliation	EmploymentMembership	Organization
orgafl	lead	per	OrganizationAffiliation	Leadership	Leader
orgafl	lead	orggpe	OrganizationAffiliation	Leadership	Organization
orgafl	invshar	perorggpe	OrganizationAffiliation	InvestorShareholder	InvestorShareholder
orgafl	invshar	org	OrganizationAffiliation	InvestorShareholder	Organization
orgafl	stualm	per	OrganizationAffiliation	StudentAlum	StudentAlum
orgafl	stualm	org	OrganizationAffiliation	StudentAlum	Organization
orgafl	own	per	OrganizationAffiliation	Ownership	Owner
orgafl	own	org	OrganizationAffiliation	Ownership	Organization
orgafl	found	perorggpe	OrganizationAffiliation	Founder	Founder
orgafl	found	org	OrganizationAffiliation	Founder	Organization
genafl	more	per	GeneralAffiliation	MORE	Person
genafl	more	pgr	GeneralAffiliation	MORE	Affiliation
genafl	opra	org	GeneralAffiliation	OPRA	Organization
genafl	opra	pgrorgsid	GeneralAffiliation	OPRA	Affiliation
genafl	apora	arfthg	GeneralAffiliation	APORA	Affiliate
genafl	apora	perpgrorggpelocsid	GeneralAffiliation	APORA	Affiliation
genafl	spon	evtorggpeloc	GeneralAffiliation	Sponsorship	Entity
genafl	spon	gpelocorgsid	GeneralAffiliation	Sponsorship	Sponsor
genafl	perage	per	GeneralAffiliation	PersonAge	Person
genafl	perage	age	GeneralAffiliation	PersonAge	Age
genafl	orgweb	org	GeneralAffiliation	OrganizationWebsite	Organization
genafl	orgweb	url	GeneralAffiliation	OrganizationWebsite	Website
life	beborn	per	Life	BeBorn	Person
life	beborn	plc	Life	BeBorn	Place
life	beborn	date	Life	BeBorn	Time
life	marry	per	Life	Marry	Person
life	marry	per	Life	Marry	Person
life	marry	plc	Life	Marry	Place
life	marry	date	Life	Marry	Time
