slot_type_code	slot_type
evt001arg01damagerdestroyer	ArtifactExistence.DamageDestroy_DamagerDestroyer
evt002arg01damager	ArtifactExistence.DamageDestroy.Damage_Damager
evt003arg01destroyer	ArtifactExistence.DamageDestroy.Destroy_Destroyer
evt004arg01attacker	Conflict.Attack_Attacker
evt005arg01attacker	Conflict.Attack.AirstrikeMissileStrike_Attacker
evt006arg01attacker	Conflict.Attack.BiologicalChemicalPoisonAttack_Attacker
evt007arg01attacker	Conflict.Attack.Bombing_Attacker
evt008arg01attacker	Conflict.Attack.FirearmAttack_Attacker
evt009arg01attacker	Conflict.Attack.Hanging_Attacker
evt010arg01attacker	Conflict.Attack.Invade_Attacker
evt011arg01attacker	Conflict.Attack.SelfDirectedBattle_Attacker
evt012arg01attacker	Conflict.Attack.SetFire_Attacker
evt013arg01attacker	Conflict.Attack.Stabbing_Attacker
evt014arg01attacker	Conflict.Attack.StealRobHijack_Attacker
evt015arg01attacker	Conflict.Attack.Strangling_Attacker
evt016arg01demonstrator	Conflict.Demonstrate_Demonstrator
evt017arg01demonstrator	Conflict.Demonstrate.MarchProtestPoliticalGathering_Demonstrator
evt018arg01yielder	Conflict.Yield_Yielder
evt019arg01retreater	Conflict.Yield.Retreat_Retreater
evt020arg01surrenderer	Conflict.Yield.Surrender_Surrenderer
evt021arg01participant	Contact.Collaborate_Participant
evt022arg01participant	Contact.Collaborate.Correspondence_Participant
evt023arg01participant	Contact.Collaborate.Meet_Participant
evt024arg01communicator	Contact.CommandOrder_Communicator
evt025arg01communicator	Contact.CommandOrder.Broadcast_Communicator
evt026arg01communicator	Contact.CommandOrder.Correspondence_Communicator
evt027arg01communicator	Contact.CommandOrder.Meet_Communicator
evt028arg01communicator	Contact.CommitmentPromiseExpressIntent_Communicator
evt029arg01communicator	Contact.CommitmentPromiseExpressIntent.Broadcast_Communicator
evt030arg01communicator	Contact.CommitmentPromiseExpressIntent.Correspondence_Communicator
evt031arg01communicator	Contact.CommitmentPromiseExpressIntent.Meet_Communicator
evt032arg01participant	Contact.Discussion_Participant
evt033arg01participant	Contact.Discussion.Correspondence_Participant
evt034arg01participant	Contact.Discussion.Meet_Participant
evt035arg01participant	Contact.FuneralVigil_Participant
evt036arg01participant	Contact.FuneralVigil.Meet_Participant
evt037arg01communicator	Contact.MediaStatement_Communicator
evt038arg01communicator	Contact.MediaStatement.Broadcast_Communicator
evt039arg01participant	Contact.Negotiate_Participant
evt040arg01participant	Contact.Negotiate.Correspondence_Participant
evt041arg01participant	Contact.Negotiate.Meet_Participant
evt042arg01communicator	Contact.Prevarication_Communicator
evt043arg01communicator	Contact.Prevarication.Broadcast_Communicator
evt044arg01communicator	Contact.Prevarication.Correspondence_Communicator
evt045arg01communicator	Contact.Prevarication.Meet_Communicator
evt046arg01communicator	Contact.PublicStatementInPerson_Communicator
evt047arg01communicator	Contact.PublicStatementInPerson.Broadcast_Communicator
evt048arg01communicator	Contact.RequestAdvise_Communicator
evt049arg01communicator	Contact.RequestAdvise.Broadcast_Communicator
evt050arg01communicator	Contact.RequestAdvise.Correspondence_Communicator
evt051arg01communicator	Contact.RequestAdvise.Meet_Communicator
evt052arg01communicator	Contact.ThreatenCoerce_Communicator
evt053arg01communicator	Contact.ThreatenCoerce.Broadcast_Communicator
evt054arg01communicator	Contact.ThreatenCoerce.Correspondence_Communicator
evt055arg01communicator	Contact.ThreatenCoerce.Meet_Communicator
evt057arg01driverpassenger	Disaster.AccidentCrash.AccidentCrash_DriverPassenger
evt059arg01fireexplosionobject	Disaster.FireExplosion.FireExplosion_FireExplosionObject
evt060arg01participant	Government.Agreements_Participant
evt061arg01participant	Government.Agreements.AcceptAgreementContractCeasefire_Participant
