full_type_ov	full_type
bal	BAL
bal.ballotslate.ballotslate	BAL.BallotSlate.BallotSlate
bal.paperballot.paperballot	BAL.PaperBallot.PaperBallot
com	COM
com.document	COM.Document
com.document.map	COM.Document.Map
com.document.personalidentification	COM.Document.PersonalIdentification
com.equipment	COM.Equipment
com.equipment.humanitarianaid	COM.Equipment.HumanitarianAid
com.equipment.medicalequipment	COM.Equipment.MedicalEquipment
com.equipment.militaryequipment	COM.Equipment.MilitaryEquipment
com.equipment.satellite	COM.Equipment.Satellite
com.flag.flag	COM.Flag.Flag
com.wreckage.wreckage	COM.Wreckage.Wreckage
crm	CRM
crm.behaviorcrime	CRM.BehaviorCrime
crm.behaviorcrime.failtoassist	CRM.BehaviorCrime.FailToAssist
crm.behaviorcrime.organizedcrime	CRM.BehaviorCrime.OrganizedCrime
crm.financialcrime	CRM.FinancialCrime
crm.financialcrime.extortion	CRM.FinancialCrime.Extortion
crm.financialcrime.forgery	CRM.FinancialCrime.Forgery
crm.financialcrime.fraud	CRM.FinancialCrime.Fraud
crm.politicalcrime	CRM.PoliticalCrime
crm.politicalcrime.abuseofoffice	CRM.PoliticalCrime.AbuseOfOffice
crm.politicalcrime.policemisconduct	CRM.PoliticalCrime.PoliceMisconduct
crm.violentcrime	CRM.ViolentCrime
crm.violentcrime.terrorism	CRM.ViolentCrime.Terrorism
fac	FAC
fac.building	FAC.Building
fac.building.apartmentbuilding	FAC.Building.ApartmentBuilding
fac.building.governmentbuilding	FAC.Building.GovernmentBuilding
fac.building.house	FAC.Building.House
fac.building.officebuilding	FAC.Building.OfficeBuilding
fac.building.school	FAC.Building.School
fac.building.storeshop	FAC.Building.StoreShop
fac.building.votingfacility	FAC.Building.VotingFacility
fac.geographicalarea	FAC.GeographicalArea
fac.geographicalarea.border	FAC.GeographicalArea.Border
fac.geographicalarea.checkpoint	FAC.GeographicalArea.Checkpoint
fac.installation	FAC.Installation
fac.installation.airport	FAC.Installation.Airport
fac.installation.militaryinstallation	FAC.Installation.MilitaryInstallation
fac.installation.trainstation	FAC.Installation.TrainStation
fac.structure	FAC.Structure
fac.structure.barricade	FAC.Structure.Barricade
fac.structure.bridge	FAC.Structure.Bridge
fac.structure.plaza	FAC.Structure.Plaza
fac.structure.tower	FAC.Structure.Tower
fac.way	FAC.Way
fac.way.highway	FAC.Way.Highway
fac.way.street	FAC.Way.Street
gpe	GPE
gpe.country.country	GPE.Country.Country
gpe.organizationofcountries.organizationofcountries	GPE.OrganizationOfCountries.OrganizationOfCountries
gpe.provincestate.provincestate	GPE.ProvinceState.ProvinceState
gpe.urbanarea	GPE.UrbanArea
gpe.urbanarea.city	GPE.UrbanArea.City
gpe.urbanarea.village	GPE.UrbanArea.Village
law	LAW
law.referendum.referendum	LAW.Referendum.Referendum
loc	LOC
loc.geographicpoint	LOC.GeographicPoint
loc.geographicpoint.address	LOC.GeographicPoint.Address
loc.land	LOC.Land
loc.land.continent	LOC.Land.Continent
loc.position	LOC.Position
loc.position.airspace	LOC.Position.AirSpace
loc.position.crimescene	LOC.Position.CrimeScene
loc.position.field	LOC.Position.Field
loc.position.neighborhood	LOC.Position.Neighborhood
loc.position.region	LOC.Position.Region
mon	MON
mon.assets.assets	MON.Assets.Assets
mon.cash.cash	MON.Cash.Cash
org	ORG
org.association	ORG.Association
org.association.club	ORG.Association.Club
org.association.team	ORG.Association.Team
org.commercialorganization	ORG.CommercialOrganization
org.commercialorganization.broadcastingcompany	ORG.CommercialOrganization.BroadcastingCompany
org.commercialorganization.corporation	ORG.CommercialOrganization.Corporation
org.commercialorganization.manufacturer	ORG.CommercialOrganization.Manufacturer
org.commercialorganization.newsagency	ORG.CommercialOrganization.NewsAgency
org.criminalorganization.criminalorganization	ORG.CriminalOrganization.CriminalOrganization
org.government	ORG.Government
org.government.agency	ORG.Government.Agency
org.government.council	ORG.Government.Council
org.government.firedepartment	ORG.Government.FireDepartment
org.government.lawenforcementagency	ORG.Government.LawEnforcementAgency
org.government.legislativebody	ORG.Government.LegislativeBody
org.government.prosecutoroffice	ORG.Government.ProsecutorOffice
