?docid	?edge_type_q	?edge_type	?object_cluster	?objectmo	?oinf_j_span	?subject_cluster	?subjectmo	?ej_span	?oinf_j_cv	?obcm_cv	?edge_cj_cv	?sbcm_cv	?ag_cv	?rank
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE06664>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.004503>	IC0015LMY:HC000030D:(2350,0)-(2370,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV80000363>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.000358>	IC0015LMY:HC000030D:(2334,0)-(2340,0);IC0015LMY:HC000030D:(2350,0)-(2370,0)	1.000000000000	1.000000000000	1.000000000000	1.000000000000	1	1
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000130>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.000058>	IC0015LMY:HC000030D:(283,0)-(286,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV80000179>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.000024>	IC0015LMY:HC000030D:(283,0)-(286,0);IC0015LMY:HC000030D:(326,0)-(333,0)	1.000000000000	1.000000000000	1.000000000000	1.000000000000	1	2
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack.SetFire_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE06665>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.004610>	IC0015LMY:HC000030D:(2523,0)-(2547,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV80000265>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.004576>	IC0015LMY:HC000030D:(2513,0)-(2518,0);IC0015LMY:HC000030D:(2523,0)-(2547,0)	1.000000000000	1.000000000000	1.000000000000	1.000000000000	1	3
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack.FirearmAttack_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04736>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.001125>	IC0015LMY:HC000030D:(3614,0)-(3634,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV80000180>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.001104>	IC0015LMY:HC000030D:(3614,0)-(3634,0);IC0015LMY:HC000030D:(3641,0)-(3644,0)	1.000000000000	1.000000000000	1.000000000000	1.000000000000	1	4
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04727>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.000851>	IC0015LMY:HC000030D:(3114,0)-(3134,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV80000179>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.000817>	IC0015LMY:HC000030D:(3114,0)-(3134,0);IC0015LMY:HC000030D:(3190,0)-(3198,0)	1.000000000000	1.000000000000	1.000000000000	1.000000000000	1	5
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack.SetFire_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04737>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.001279>	IC0015LMY:HC000030D:(4072,0)-(4100,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV80000367>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.001245>	IC0015LMY:HC000030D:(4072,0)-(4100,0);IC0015LMY:HC000030D:(4107,0)-(4113,0)	1.000000000000	1.000000000000	1.000000000000	1.000000000000	1	6
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack.FirearmAttack_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04740>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.001741>	IC0015LMY:HC000030D:(4684,0)-(4697,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV80000180>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.001707>	IC0015LMY:HC000030D:(4684,0)-(4697,0);IC0015LMY:HC000030D:(4745,0)-(4750,0)	1.000000000000	1.000000000000	1.000000000000	1.000000000000	1	7
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack.SetFire_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04731>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.005426>	IC0015LMY:HC000030D:(5132,0)-(5146,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV80000183>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.005379>	IC0015LMY:HC000030D:(5132,0)-(5146,0);IC0015LMY:HC000030D:(5189,0)-(5196,0)	1.000000000000	1.000000000000	1.000000000000	1.000000000000	1	8
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack.FirearmAttack_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE06657>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.002062>	IC0015LMY:HC000030D:(4884,0)-(4913,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV80000180>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.002028>	IC0015LMY:HC000030D:(4869,0)-(4876,0);IC0015LMY:HC000030D:(4884,0)-(4913,0)	1.000000000000	1.000000000000	1.000000000000	1.000000000000	1	9
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Target>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04741>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.004892>	IC0015LMY:HC000030D:(5609,0)-(5612,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV80000182>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.004871>	IC0015LMY:HC000030D:(5600,0)-(5607,0);IC0015LMY:HC000030D:(5609,0)-(5612,0)	1.000000000000	1.000000000000	1.000000000000	1.000000000000	1	10
