?docid	?query_type	?cluster	?type	?infj_span	?t_cv	?cm_cv	?j_cv
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000078>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization.GovernmentArmedForces>	IC0015L64:HC00002ZG:(2262,0)-(2279,0)	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000082>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization.Intelligence>	IC0015L64:HC00002ZG:(806,0)-(859,0)	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000084>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization.GovernmentArmedForces>	IC0015L64:HC00002ZG:(8675,0)-(8690,0)	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000085>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization.GovernmentArmedForces>	IC0015L64:HC00002ZG:(1008,0)-(1029,0)	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000085>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization.Intelligence>	IC0015L64:HC00002ZG:(1008,0)-(1029,0)	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04051>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization.NonGovernmentMilitia>	IC0015L64:HC00002ZG:(4029,0)-(4035,0)	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04052>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization.NonGovernmentMilitia>	IC0015L64:HC00002ZG:(6890,0)-(6903,0)	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04055>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization.GovernmentArmedForces>	IC0015L64:HC00002ZG:(7506,0)-(7549,0)	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04055>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization>	IC0015L64:HC00002ZG:(7506,0)-(7549,0)	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04057>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#ORG.MilitaryOrganization.GovernmentArmedForces>	IC0015L64:HC00002ZG:(8169,0)-(8200,0)	1.0E0	1.0E0	1.0E0
