?docid	?edge_type_q	?edge_type	?object_cluster	?objectmo	?oinf_j_span	?subject_cluster	?subjectmo	?ej_span	?oinf_j_cv	?obcm_cv	?edge_cj_cv	?sbcm_cv
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE05085>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.000572>	IC0015L64:HC00002ZG:(2017,0)-(2028,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000873>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.000538>	IC0015L64:HC00002ZG:(1994,0)-(1997,0);IC0015L64:HC00002ZG:(2017,0)-(2028,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-2017370>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.000666>	IC0015L64:HC00002ZG:(2086,0)-(2092,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000875>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.000632>	IC0015L64:HC00002ZG:(2086,0)-(2092,0);IC0015L64:HC00002ZG:(2094,0)-(2100,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000055>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.000666>	IC0015L64:HC00002ZG:(2086,0)-(2092,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000875>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.000632>	IC0015L64:HC00002ZG:(2086,0)-(2092,0);IC0015L64:HC00002ZG:(2094,0)-(2100,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-2017370>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.001624>	IC0015L64:HC00002ZG:(3039,0)-(3044,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000889>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.001590>	IC0015L64:HC00002ZG:(3034,0)-(3037,0);IC0015L64:HC00002ZG:(3039,0)-(3044,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000055>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.001624>	IC0015L64:HC00002ZG:(3039,0)-(3044,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000889>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.001590>	IC0015L64:HC00002ZG:(3034,0)-(3037,0);IC0015L64:HC00002ZG:(3039,0)-(3044,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04003>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.001671>	IC0015L64:HC00002ZG:(3047,0)-(3053,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000890>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.001637>	IC0015L64:HC00002ZG:(3034,0)-(3037,0);IC0015L64:HC00002ZG:(3047,0)-(3053,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04004>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.001718>	IC0015L64:HC00002ZG:(3056,0)-(3065,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000891>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.001684>	IC0015L64:HC00002ZG:(3034,0)-(3037,0);IC0015L64:HC00002ZG:(3056,0)-(3065,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE05089>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.001765>	IC0015L64:HC00002ZG:(3071,0)-(3108,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000892>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.001731>	IC0015L64:HC00002ZG:(3034,0)-(3037,0);IC0015L64:HC00002ZG:(3071,0)-(3108,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-690791>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.002543>	IC0015L64:HC00002ZG:(8306,0)-(8314,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000906>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.002509>	IC0015L64:HC00002ZG:(8306,0)-(8314,0);IC0015L64:HC00002ZG:(8316,0)-(8326,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015L64	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000032>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015L64.002543>	IC0015L64:HC00002ZG:(8306,0)-(8314,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILR000906>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#RMIC0015L64.002509>	IC0015L64:HC00002ZG:(8306,0)-(8314,0);IC0015L64:HC00002ZG:(8316,0)-(8326,0)	1.0E0	1.0E0	1.0E0	1.0E0
