?docid	?edge_type_q	?edge_type	?object_cluster	?objectmo	?oinf_j_span	?subject_cluster	?subjectmo	?ej_span	?oinf_j_cv	?obcm_cv	?edge_cj_cv	?sbcm_cv
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE06644>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.000178>	IC0015LMY:HC000030D:(889,0)-(892,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV80000180>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.000003>	IC0015LMY:HC000030D:(889,0)-(892,0);IC0015LMY:HC000030D:(898,0)-(908,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000320>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.000392>	IC0015LMY:HC000030D:(2342,0)-(2345,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV80000363>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.000358>	IC0015LMY:HC000030D:(2334,0)-(2340,0);IC0015LMY:HC000030D:(2342,0)-(2345,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000320>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.000465>	IC0015LMY:HC000030D:(2661,0)-(2675,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV80000179>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.000418>	IC0015LMY:HC000030D:(2649,0)-(2656,0);IC0015LMY:HC000030D:(2661,0)-(2675,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack.SetFire_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000319>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.000731>	IC0015LMY:HC000030D:(2557,0)-(2560,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV80000183>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.000697>	IC0015LMY:HC000030D:(2557,0)-(2560,0);IC0015LMY:HC000030D:(2584,0)-(2587,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack.FirearmAttack_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE06645>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.000791>	IC0015LMY:HC000030D:(3155,0)-(3159,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV80000180>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.000757>	IC0015LMY:HC000030D:(3149,0)-(3153,0);IC0015LMY:HC000030D:(3155,0)-(3159,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000320>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.000864>	IC0015LMY:HC000030D:(3167,0)-(3188,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV80000179>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.000817>	IC0015LMY:HC000030D:(3167,0)-(3188,0);IC0015LMY:HC000030D:(3190,0)-(3198,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack.FirearmAttack_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04734>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.000971>	IC0015LMY:HC000030D:(3341,0)-(3347,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV80000180>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.000937>	IC0015LMY:HC000030D:(3336,0)-(3339,0);IC0015LMY:HC000030D:(3341,0)-(3347,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack.SetFire_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000319>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.001031>	IC0015LMY:HC000030D:(3359,0)-(3375,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV02964>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.000997>	IC0015LMY:HC000030D:(3353,0)-(3357,0);IC0015LMY:HC000030D:(3359,0)-(3375,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack.SetFire_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000319>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.001608>	IC0015LMY:HC000030D:(4604,0)-(4620,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV00782>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.001561>	IC0015LMY:HC000030D:(4595,0)-(4602,0);IC0015LMY:HC000030D:(4604,0)-(4620,0)	1.0E0	1.0E0	1.0E0	1.0E0
IC0015LMY	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntology#Conflict.Attack.FirearmAttack_Instrument>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04734>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#EMIC0015LMY.001754>	IC0015LMY:HC000030D:(4752,0)-(4758,0)	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV80000180>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#VMIC0015LMY.001707>	IC0015LMY:HC000030D:(4745,0)-(4750,0);IC0015LMY:HC000030D:(4752,0)-(4758,0)	1.0E0	1.0E0	1.0E0	1.0E0
