?cluster	?metatype	?type	?mention_span	?type_statement_confidence	?cluster_membership_confidence	?mention_type_justification_confidence
cluster-NILE22455	Entity	VAL.Number.Number	JC002YF02:JC002YF53:(4026,0)-(4026,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22456	Entity	VAL.Number.Number	JC002YF02:JC002YF53:(2802,0)-(2804,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22457	Entity	VAL.Number.Number	JC002YF02:JC002YF53:(2933,0)-(2939,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22458	Entity	MHI.Disease.Disease	JC002YF02:JC002YF53:(2725,0)-(2735,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22458	Entity	MHI.Disease.Disease	JC002YF02:JC002YF53:(2833,0)-(2843,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22458	Entity	MHI.Disease.Disease	JC002YF02:JC002YF53:(4551,0)-(4561,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22458	Entity	MHI.Disease.Disease	JC002YF02:JC002YF53:(4846,0)-(4856,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22459	Entity	PER	JC002YF02:JC002YF53:(2802,0)-(2817,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22460	Entity	VAL.Number.Number	JC002YF02:JC002YF53:(2620,0)-(2625,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22461	Entity	VAL.Number.Number	JC002YF02:JC002YF53:(2620,0)-(2633,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22462	Entity	MHI.Disease.Disease	JC002YF02:JC002YF53:(2620,0)-(2649,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22463	Entity	VAL.Number.Number	JC002YF02:JC002YF53:(2924,0)-(2929,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22464	Entity	VAL.Number.Number	JC002YF02:JC002YF53:(4026,0)-(4034,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22465	Entity	PER	JC002YF02:JC002YF53:(4026,0)-(4047,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22466	Entity	MHI.Disease.Disease	JC002YF02:JC002YF53:(4071,0)-(4077,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22467	Entity	GPE.Country.Country	JC002YF02:JC002YF53:(4700,0)-(4708,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22468	Entity	PER	JC002YF02:JC002YF53:(2700,0)-(2711,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22469	Entity	PER	JC002YF02:JC002YF53:(4028,0)-(4034,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22470	Entity	MHI.Disease.Disease	JC002YF02:JC002YF53:(2635,0)-(2649,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22470	Entity	MHI.Disease.Disease	JC002YF02:JC002YF53:(2645,0)-(2649,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22471	Entity	VAL.Number.Number	JC002YF02:JC002YF53:(2918,0)-(2939,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22472	Entity	PER	JC002YF02:JC002YF53:(2918,0)-(2963,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22473	Entity	PER.ProfessionalPosition.Minister	JC002YF02:JC002YF53:(2566,0)-(2572,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22474	Entity	TTL	JC002YF02:JC002YF53:(2566,0)-(2588,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22475	Entity	PER.ProfessionalPosition.Minister	JC002YF02:JC002YF53:(2566,0)-(2600,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22475	Entity	PER.ProfessionalPosition.Minister	JC002YF02:JC002YF53:(2590,0)-(2600,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22476	Entity	MHI.Disease.Disease	JC002YF02:JC002YF53:(4059,0)-(4077,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22477	Entity	PER.Politician.HeadOfGovernment	JC002YF02:JC002YF53:(4271,0)-(4279,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22478	Entity	TTL	JC002YF02:JC002YF53:(4109,0)-(4133,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22479	Entity	PER.Politician.HeadOfGovernment	JC002YF02:JC002YF53:(4271,0)-(4286,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22480	Entity	PER.Politician.HeadOfGovernment	JC002YF02:JC002YF53:(4378,0)-(4378,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22481	Entity	GPE.ProvinceState.ProvinceState	JC002YF02:JC002YF53:(4036,0)-(4047,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22481	Entity	GPE.ProvinceState.ProvinceState	JC002YF02:JC002YF53:(4501,0)-(4512,0)	"1.0"	"1.0"	"1.0"
cluster-NILR22455	Relation	Measurement.Size.Count	JC002YF02:JC002YF53:(4026,0)-(4026,0)	"1.0"	"1.0"	"1.0"
cluster-NILR22456	Relation	Measurement.Size.Count	JC002YF02:JC002YF53:(2802,0)-(2804,0)	"1.0"	"1.0"	"1.0"
cluster-NILR22457	Relation	Measurement.Size.Count	JC002YF02:JC002YF53:(2620,0)-(2625,0)	"1.0"	"1.0"	"1.0"
cluster-NILR22458	Relation	Measurement.Size.Count	JC002YF02:JC002YF53:(2918,0)-(2939,0)	"1.0"	"1.0"	"1.0"
cluster-NILR22459	Relation	PersonalSocial.Role.ProfessionalRole	JC002YF02:JC002YF53:(2566,0)-(2588,0)	"1.0"	"1.0"	"1.0"
cluster-NILV22455	Event	Conflict.Attack.BiologicalChemicalPoisonAttack	JC002YF02:JC002YF53:(4673,0)-(4691,0)	"1.0"	"1.0"	"1.0"
cluster-NILV22456	Event	Contact.ThreatenCoerce	JC002YF02:JC002YF53:(4317,0)-(4326,0)	"1.0"	"1.0"	"1.0"
cluster-NILV22457	Event	Disaster.DiseaseOutbreak.DiseaseOutbreak	JC002YF02:JC002YF53:(2615,0)-(2618,0)	"1.0"	"1.0"	"1.0"
cluster-NILV22458	Event	Disaster.DiseaseOutbreak.DiseaseOutbreak	JC002YF02:JC002YF53:(2714,0)-(2723,0)	"1.0"	"1.0"	"1.0"
