?cluster	?sa_month	?sa_day	?sa_year	?sb_month	?sb_day	?sb_year	?ea_month	?ea_day	?ea_year	?eb_month	?eb_day	?eb_year
cluster-NILR20066				"08"	"05"	"2018"						
cluster-NILR20067												
cluster-NILR20068												
cluster-NILR20069												
cluster-NILR20070												
cluster-NILR20071												
cluster-NILR20072												
cluster-NILR20073												
cluster-NILR20075												
cluster-NILR20076	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILR20077												
cluster-NILR20078												
cluster-NILR20079												
cluster-NILR20080	"08"	"04"	"2018"	"08"	"04"	"2018"						
cluster-NILR20081				"12"	"31"	"2014"						
cluster-NILR20082												
cluster-NILR20083	"08"	"04"	"2018"	"08"	"04"	"2018"						
cluster-NILR20084	"08"	"04"	"2018"	"08"	"04"	"2018"						
cluster-NILR20085	"08"	"04"	"2018"	"08"	"04"	"2018"						
cluster-NILR20086												
cluster-NILR20087												
cluster-NILR20088												
cluster-NILR20090												
cluster-NILR20091												
cluster-NILV20066	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20067				"08"	"05"	"2018"				"08"	"05"	"2018"
cluster-NILV20068	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20069	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20070				"08"	"04"	"2018"						
cluster-NILV20071	"08"	"05"	"2018"	"08"	"05"	"2018"	"08"	"05"	"2018"	"08"	"05"	"2018"
cluster-NILV20072	"08"	"04"	"2018"				"08"	"04"	"2018"			
cluster-NILV20073												
cluster-NILV20074	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20075	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20076	"08"	"04"	"2018"	"08"	"04"	"2018"						
cluster-NILV20077	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20078	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20079	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20080	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20081	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20082	"01"	"01"	"2014"	"12"	"31"	"2014"	"01"	"01"	"2014"	"12"	"31"	"2014"
cluster-NILV20083	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20084	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20085	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20086												
cluster-NILV20087	"08"	"05"	"2018"	"08"	"05"	"2018"	"08"	"05"	"2018"	"08"	"05"	"2018"
cluster-NILV20088	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20089	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20090	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
