DocID     RunID       GoldClusterID     SystemClusterID     Prec Recall     F1
IC001V8WF example-run cluster-NILE20001 cluster-NILE20001 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20002 cluster-NILE20002 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20003 cluster-NILE20003 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20004 cluster-NILE20004 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20005 cluster-NILE20005 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20006 cluster-NILE20006 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20007 cluster-NILE20007 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20008 cluster-NILE20008 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20009 cluster-NILE20009 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20010 cluster-NILE20010 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20011 cluster-NILE20011 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20012 cluster-NILE20012 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20013 cluster-NILE20013 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20014 cluster-NILE20014 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20015 cluster-NILE20015 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20016 cluster-NILE20016 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20017 cluster-NILE20017 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20018 cluster-NILE20018 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20019 cluster-NILE20019 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20020 cluster-NILE20020 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20021 cluster-NILE20021 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20022 cluster-NILE20022 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILE20023 cluster-NILE20023 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILR20003 cluster-NILR20003 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILR20004 cluster-NILR20004 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILR20005 cluster-NILR20005 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILR20006 cluster-NILR20006 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILR20007 cluster-NILR20007 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILR20008 cluster-NILR20008 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20001 cluster-NILV20001 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20002 cluster-NILV20002 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20003 cluster-NILV20003 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20004 cluster-NILV20004 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20005 cluster-NILV20005 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20006 cluster-NILV20006 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20007 cluster-NILV20007 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20008 cluster-NILV20008 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20009 cluster-NILV20009 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20010 cluster-NILV20010 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20011 cluster-NILV20011 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20012 cluster-NILV20012 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20066 cluster-NILE20066 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20067 cluster-NILE20067 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20069 cluster-NILE20069 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20070 cluster-NILE20070 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20071 cluster-NILE20071 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20072 cluster-NILE20072 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20073 cluster-NILE20073 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20074 cluster-NILE20074 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20075 cluster-NILE20075 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20076 cluster-NILE20076 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20077 cluster-NILE20077 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20078 cluster-NILE20078 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20079 cluster-NILE20079 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20080 cluster-NILE20080 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20081 cluster-NILE20081 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20082 cluster-NILE20082 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20083 cluster-NILE20083 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20084 cluster-NILE20084 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20085 cluster-NILE20085 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20086 cluster-NILE20086 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20087 cluster-NILE20087 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20088 cluster-NILE20088 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20089 cluster-NILE20089 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20090 cluster-NILE20090 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20091 cluster-NILE20091 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20092 cluster-NILE20092 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20093 cluster-NILE20093 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20094 cluster-NILE20094 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20095 cluster-NILE20095 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20096 cluster-NILE20096 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20097 cluster-NILE20097 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20098 cluster-NILE20098 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20099 cluster-NILE20099 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20100 cluster-NILE20100 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20101 cluster-NILE20101 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20102 cluster-NILE20102 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20103 cluster-NILE20103 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20104 cluster-NILE20104 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20105 cluster-NILE20105 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20106 cluster-NILE20106 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20107 cluster-NILE20107 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20108 cluster-NILE20108 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20109 cluster-NILE20109 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20110 cluster-NILE20110 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20111 cluster-NILE20111 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20112 cluster-NILE20112 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20113 cluster-NILE20113 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20114 cluster-NILE20114 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20115 cluster-NILE20115 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20116 cluster-NILE20116 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20117 cluster-NILE20117 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20118 cluster-NILE20118 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20119 cluster-NILE20119 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20120 cluster-NILE20120 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20121 cluster-NILE20121 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20122 cluster-NILE20122 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20123 cluster-NILE20123 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20124 cluster-NILE20124 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20125 cluster-NILE20125 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20126 cluster-NILE20126 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20127 cluster-NILE20127 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20128 cluster-NILE20128 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20129 cluster-NILE20129 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20130 cluster-NILE20130 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20131 cluster-NILE20131 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20132 cluster-NILE20132 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20133 cluster-NILE20133 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20134 cluster-NILE20134 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20135 cluster-NILE20135 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20136 cluster-NILE20136 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILE20137 cluster-NILE20137 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20066 cluster-NILR20066 1.0000 1.0000 1.0000
