?metatype	?subject	?predicate	?object	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
Event	cluster-NILV22021	Conflict.Attack.Bombing_Attacker	cluster-NILE21995	IC001V76J:IC001V7D3:(277,0)-(285,0)	"1.0"	"1.0"
Event	cluster-NILV22021	Conflict.Attack.Bombing_Attacker	cluster-NILE22033	IC001V76J:IC001V7D3:(3462,0)-(3470,0)	"1.0"	"1.0"
Event	cluster-NILV22021	Conflict.Attack.Bombing_Instrument	cluster-NILE21995	IC001V76J:IC001V7D3:(5698,0)-(5702,0)	"1.0"	"1.0"
Event	cluster-NILV22021	Conflict.Attack.Bombing_Target	cluster-NILE21999	IC001V76J:IC001V7D3:(277,0)-(285,0)	"1.0"	"1.0"
Event	cluster-NILV22021	Conflict.Attack.Bombing_Target	cluster-NILE21999	IC001V76J:IC001V7D3:(3462,0)-(3470,0)	"1.0"	"1.0"
Event	cluster-NILV22021	Conflict.Attack.Bombing_Target	cluster-NILE21999	IC001V76J:IC001V7D3:(5467,0)-(5482,0)	"1.0"	"1.0"
Event	cluster-NILV22021	Conflict.Attack.Bombing_Target	cluster-NILE21999	IC001V76J:IC001V7D3:(94,0)-(110,0)	"1.0"	"1.0"
Event	cluster-NILV22021	Conflict.Attack.Bombing_Target	cluster-NILE21999	IC001V76J:IC001V7D3:(976,0)-(984,0)	"1.0"	"1.0"
Event	cluster-NILV22022	ArtifactExistence.DamageDestroy.Damage_Artifact	cluster-NILE21995	IC001V76J:IC001V7D3:(3291,0)-(3301,0)	"1.0"	"1.0"
Event	cluster-NILV22022	ArtifactExistence.DamageDestroy.Damage_Artifact	cluster-NILE21995	IC001V76J:IC001V7D3:(5798,0)-(5802,0)	"1.0"	"1.0"
Event	cluster-NILV22022	ArtifactExistence.DamageDestroy.Damage_Damager	cluster-NILE22013	IC001V76J:IC001V7D3:(5798,0)-(5802,0)	"1.0"	"1.0"
Event	cluster-NILV22022	ArtifactExistence.DamageDestroy.Damage_Damager	cluster-NILE22032	IC001V76J:IC001V7D3:(3291,0)-(3301,0)	"1.0"	"1.0"
