?cluster	?metatype	?type	?mention_span	?type_statement_confidence	?cluster_membership_confidence	?mention_type_justification_confidence
cluster-NILE21055	Entity	VAL.Number.Number	IC001V8NY:IC001VBHL:(4834,0)-(4835,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21056	Entity	VAL.Number.Number	IC001V8NY:IC001VBHL:(1472,0)-(1473,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21057	Entity	VAL.Number.Number	IC001V8NY:IC001VBHL:(2686,0)-(2688,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21057	Entity	VAL.Number.Number	IC001V8NY:IC001VBHL:(4223,0)-(4225,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21058	Entity	VAL.Number.Number	IC001V8NY:IC001VBHL:(7065,0)-(7075,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21059	Entity	LOC	IC001V8NY:IC001VBHL:(2739,0)-(2744,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21060	Entity	PER	IC001V8NY:IC001VBHL:(6348,0)-(6352,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21060	Entity	PER	IC001V8NY:IC001VBHL:(6394,0)-(6395,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21060	Entity	PER	IC001V8NY:IC001VBHL:(6849,0)-(6851,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21060	Entity	PER	IC001V8NY:IC001VBHL:(6866,0)-(6921,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21061	Entity	VEH.Aircraft.Drone	IC001V8NY:IC001VBHL:(1883,0)-(1899,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21061	Entity	VEH.Aircraft.Drone	IC001V8NY:IC001VBHL:(2939,0)-(2950,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21062	Entity	ORG.Government.LegislativeBody	IC001V8NY:IC001VBHL:(8425,0)-(8441,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21063	Entity	FAC.Way.Street	IC001V8NY:IC001VBHL:(1167,0)-(1181,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21063	Entity	FAC.Way.Street	IC001V8NY:IC001VBHL:(2083,0)-(2097,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21063	Entity	FAC.Way.Street	IC001V8NY:IC001VBHL:(3942,0)-(3956,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21063	Entity	FAC.Way.Street	IC001V8NY:IC001VBHL:(4078,0)-(4092,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21064	Entity	FAC.Way.Street	IC001V8NY:IC001VBHL:(1459,0)-(1473,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21065	Entity	FAC.Way.Street	IC001V8NY:IC001VBHL:(1482,0)-(1492,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21065	Entity	FAC.Way.Street	IC001V8NY:IC001VBHL:(4875,0)-(4885,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21066	Entity	GPE.UrbanArea.City	IC001V8NY:IC001VBHL:(8456,0)-(8461,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21067	Entity	PER.Politician	IC001V8NY:IC001VBHL:(8392,0)-(8403,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21067	Entity	PER.Politician	IC001V8NY:IC001VBHL:(8406,0)-(8461,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21067	Entity	PER.Politician	IC001V8NY:IC001VBHL:(8758,0)-(8763,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21068	Entity	VEH.Aircraft.Drone	IC001V8NY:IC001VBHL:(1030,0)-(1040,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21068	Entity	VEH.Aircraft.Drone	IC001V8NY:IC001VBHL:(1890,0)-(1899,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21068	Entity	VEH.Aircraft.Drone	IC001V8NY:IC001VBHL:(2654,0)-(2793,0)	"1.0"	"1.0"	"1.0"
