?cluster	?metatype	?type	?mention_span	?type_statement_confidence	?cluster_membership_confidence	?mention_type_justification_confidence
cluster-NILE22240	Entity	GPE.UrbanArea.City	IC001ZTKF:IC002312Y:(1770,0)-(1789,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22240	Entity	GPE.UrbanArea.City	IC001ZTKF:IC002312Y:(2396,0)-(2403,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22240	Entity	GPE.UrbanArea.City	IC001ZTKF:IC002312Y:(316,0)-(323,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22241	Entity	GPE.UrbanArea.City	IC001ZTKF:IC002312Y:(1348,0)-(1353,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22242	Entity	GPE.Country.Country	IC001ZTKF:IC002312Y:(1113,0)-(1125,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22242	Entity	GPE.Country.Country	IC001ZTKF:IC002312Y:(1519,0)-(1527,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22242	Entity	GPE.Country.Country	IC001ZTKF:IC002312Y:(1784,0)-(1789,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22242	Entity	GPE.Country.Country	IC001ZTKF:IC002312Y:(1890,0)-(1898,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22242	Entity	GPE.Country.Country	IC001ZTKF:IC002312Y:(1925,0)-(1933,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22242	Entity	GPE.Country.Country	IC001ZTKF:IC002312Y:(199,0)-(204,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22242	Entity	GPE.Country.Country	IC001ZTKF:IC002312Y:(269,0)-(277,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22242	Entity	GPE.Country.Country	IC001ZTKF:IC002312Y:(2988,0)-(2996,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22242	Entity	GPE.Country.Country	IC001ZTKF:IC002312Y:(468,0)-(473,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22242	Entity	GPE.Country.Country	IC001ZTKF:IC002312Y:(74,0)-(86,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22243	Entity	GPE.Country.Country	IC001ZTKF:IC002312Y:(1158,0)-(1169,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22243	Entity	GPE.Country.Country	IC001ZTKF:IC002312Y:(1256,0)-(1263,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22243	Entity	GPE.Country.Country	IC001ZTKF:IC002312Y:(1313,0)-(1320,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22243	Entity	GPE.Country.Country	IC001ZTKF:IC002312Y:(1596,0)-(1603,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22244	Entity	GPE.Country.Country	IC001ZTKF:IC002312Y:(2066,0)-(2068,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22244	Entity	GPE.Country.Country	IC001ZTKF:IC002312Y:(2345,0)-(2347,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22244	Entity	GPE.Country.Country	IC001ZTKF:IC002312Y:(2406,0)-(2407,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22245	Entity	VEH.Aircraft.Drone	IC001ZTKF:IC002312Y:(140,0)-(145,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22245	Entity	VEH.Aircraft.Drone	IC001ZTKF:IC002312Y:(148,0)-(154,0)	"1.0"	"1.0"	"1.0"
cluster-NILE22245	Entity	VEH.Aircraft.Drone	IC001ZTKF:IC002312Y:(2721,0)-(2743,0)	"1.0"	"1.0"	"1.0"
