?metatype	?subject	?predicate	?object	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
Event	cluster-NILV20870	Conflict.Attack.FirearmAttack_Attacker	cluster-NILE20867	KC003A6NA:KC003ADT2:(2591,0)-(2594,0)	"1.0"	"1.0"
Event	cluster-NILV20870	Conflict.Attack.FirearmAttack_Place	cluster-NILE20853	KC003A6NA:KC003ADT2:(2439,0)-(2444,0)	"1.0"	"1.0"
Event	cluster-NILV20870	Conflict.Attack.FirearmAttack_Place	cluster-NILE20853	KC003A6NA:KC003ADT2:(2591,0)-(2594,0)	"1.0"	"1.0"
Event	cluster-NILV20870	Conflict.Attack.FirearmAttack_Target	cluster-NILE20866	KC003A6NA:KC003ADT2:(2439,0)-(2444,0)	"1.0"	"1.0"
Event	cluster-NILV20870	Conflict.Attack.FirearmAttack_Target	cluster-NILE20866	KC003A6NA:KC003ADT2:(2591,0)-(2594,0)	"1.0"	"1.0"
Event	cluster-NILV20870	Life.Die.DeathCausedByViolentEvents_Place	cluster-NILE20853	KC003A6NA:KC003ADT2:(2439,0)-(2444,0)	"1.0"	"1.0"
Event	cluster-NILV20870	Life.Die.DeathCausedByViolentEvents_Victim	cluster-NILE20866	KC003A6NA:KC003ADT2:(2439,0)-(2444,0)	"1.0"	"1.0"
Event	cluster-NILV20872	Conflict.Attack_Attacker	cluster-NILE20867	KC003A6NA:KC003ADT2:(2521,0)-(2531,0)	"1.0"	"1.0"
Event	cluster-NILV20872	Conflict.Attack_Place	cluster-NILE20853	KC003A6NA:KC003ADT2:(2521,0)-(2531,0)	"1.0"	"1.0"
Event	cluster-NILV20873	Disaster.FireExplosion.FireExplosion_Place	cluster-NILE20861	KC003A6NA:KC003ADT2:(2634,0)-(2642,0)	"1.0"	"1.0"
Event	cluster-NILV20873	Disaster.FireExplosion.FireExplosion_Place	cluster-NILE20862	KC003A6NA:KC003ADT2:(2888,0)-(2894,0)	"1.0"	"1.0"
Event	cluster-NILV20874	Life.Injure.InjuryCausedByViolentEvents_Place	cluster-NILE20861	KC003A6NA:KC003ADT2:(2715,0)-(2722,0)	"1.0"	"1.0"
Event	cluster-NILV20874	Life.Injure.InjuryCausedByViolentEvents_Victim	cluster-NILE20875	KC003A6NA:KC003ADT2:(2715,0)-(2722,0)	"1.0"	"1.0"
Event	cluster-NILV20875	Conflict.Attack_Attacker	cluster-NILE20882	KC003A6NA:KC003ADT2:(2965,0)-(2969,0)	"1.0"	"1.0"
Event	cluster-NILV20875	Conflict.Attack_Instrument	cluster-NILE20847	KC003A6NA:KC003ADT2:(2965,0)-(2969,0)	"1.0"	"1.0"
Event	cluster-NILV20875	Conflict.Attack_Target	cluster-NILE20883	KC003A6NA:KC003ADT2:(2965,0)-(2969,0)	"1.0"	"1.0"
Event	cluster-NILV20876	Conflict.Attack_Attacker	cluster-NILE20882	KC003A6NA:KC003ADT2:(3083,0)-(3089,0)	"1.0"	"1.0"
Event	cluster-NILV20876	Conflict.Attack_Instrument	cluster-NILE20846	KC003A6NA:KC003ADT2:(3083,0)-(3089,0)	"1.0"	"1.0"
Event	cluster-NILV20876	Conflict.Attack_Instrument	cluster-NILE20848	KC003A6NA:KC003ADT2:(3083,0)-(3089,0)	"1.0"	"1.0"
Event	cluster-NILV20876	Conflict.Attack_Instrument	cluster-NILE20849	KC003A6NA:KC003ADT2:(3083,0)-(3089,0)	"1.0"	"1.0"
Event	cluster-NILV20876	Conflict.Attack_Target	cluster-NILE20883	KC003A6NA:KC003ADT2:(3083,0)-(3089,0)	"1.0"	"1.0"
Event	cluster-NILV20877	Conflict.Attack_Attacker	cluster-NILE20882	KC003A6NA:KC003ADT2:(3116,0)-(3119,0)	"1.0"	"1.0"
Event	cluster-NILV20877	Conflict.Attack_Instrument	cluster-NILE20846	KC003A6NA:KC003ADT2:(3116,0)-(3119,0)	"1.0"	"1.0"
Event	cluster-NILV20877	Conflict.Attack_Instrument	cluster-NILE20848	KC003A6NA:KC003ADT2:(3116,0)-(3119,0)	"1.0"	"1.0"
Event	cluster-NILV20877	Conflict.Attack_Instrument	cluster-NILE20849	KC003A6NA:KC003ADT2:(3116,0)-(3119,0)	"1.0"	"1.0"
Event	cluster-NILV20877	Conflict.Attack_Target	cluster-NILE20883	KC003A6NA:KC003ADT2:(3116,0)-(3119,0)	"1.0"	"1.0"
Event	cluster-NILV20878	Conflict.Attack_Target	cluster-NILE20886	KC003A6NA:KC003ADT2:(3173,0)-(3178,0)	"1.0"	"1.0"
Event	cluster-NILV20878	Life.Die.DeathCausedByViolentEvents_Victim	cluster-NILE20886	KC003A6NA:KC003ADT2:(3173,0)-(3178,0)	"1.0"	"1.0"
Event	cluster-NILV20879	Conflict.Attack_Attacker	cluster-NILE20882	KC003A6NA:KC003ADT2:(3183,0)-(3189,0)	"1.0"	"1.0"
Event	cluster-NILV20879	Conflict.Attack_Attacker	cluster-NILE20883	KC003A6NA:KC003ADT2:(3183,0)-(3189,0)	"1.0"	"1.0"
Event	cluster-NILV20879	Conflict.Attack_Target	cluster-NILE20882	KC003A6NA:KC003ADT2:(3183,0)-(3189,0)	"1.0"	"1.0"
Event	cluster-NILV20879	Conflict.Attack_Target	cluster-NILE20883	KC003A6NA:KC003ADT2:(3183,0)-(3189,0)	"1.0"	"1.0"
Event	cluster-NILV20880	Conflict.Attack.FirearmAttack_Place	cluster-NILE20859	KC003A6NA:KC003ADT2:(3295,0)-(3298,0)	"1.0"	"1.0"
Event	cluster-NILV20880	Conflict.Attack.FirearmAttack_Target	cluster-NILE20884	KC003A6NA:KC003ADT2:(3295,0)-(3298,0)	"1.0"	"1.0"
Event	cluster-NILV20880	Life.Die.DeathCausedByViolentEvents_Place	cluster-NILE20859	KC003A6NA:KC003ADT2:(3173,0)-(3178,0)	"1.0"	"1.0"
Event	cluster-NILV20880	Life.Die.DeathCausedByViolentEvents_Victim	cluster-NILE20884	KC003A6NA:KC003ADT2:(3173,0)-(3178,0)	"1.0"	"1.0"
Event	cluster-NILV20881	Conflict.Attack.FirearmAttack_Place	cluster-NILE20852	KC003A6NA:KC003ADT2:(3354,0)-(3357,0)	"1.0"	"1.0"
Event	cluster-NILV20881	Conflict.Attack.FirearmAttack_Target	cluster-NILE20885	KC003A6NA:KC003ADT2:(3354,0)-(3357,0)	"1.0"	"1.0"
Event	cluster-NILV20882	Conflict.Attack.FirearmAttack_Instrument	cluster-NILE20850	KC003A6NA:KC003ADT2:(3483,0)-(3489,0)	"1.0"	"1.0"
Event	cluster-NILV20882	Conflict.Attack.FirearmAttack_Place	cluster-NILE20854	KC003A6NA:KC003ADT2:(3418,0)-(3423,0)	"1.0"	"1.0"
Event	cluster-NILV20882	Conflict.Attack.FirearmAttack_Place	cluster-NILE20854	KC003A6NA:KC003ADT2:(3483,0)-(3489,0)	"1.0"	"1.0"
Event	cluster-NILV20882	Conflict.Attack.FirearmAttack_Target	cluster-NILE20870	KC003A6NA:KC003ADT2:(3418,0)-(3423,0)	"1.0"	"1.0"
Event	cluster-NILV20882	Conflict.Attack.FirearmAttack_Target	cluster-NILE20870	KC003A6NA:KC003ADT2:(3483,0)-(3489,0)	"1.0"	"1.0"
Event	cluster-NILV20882	Life.Die.DeathCausedByViolentEvents_Place	cluster-NILE20854	KC003A6NA:KC003ADT2:(3418,0)-(3423,0)	"1.0"	"1.0"
Event	cluster-NILV20882	Life.Die.DeathCausedByViolentEvents_Victim	cluster-NILE20870	KC003A6NA:KC003ADT2:(3418,0)-(3423,0)	"1.0"	"1.0"
Event	cluster-NILV20884	Movement.TransportPerson.PreventEntry_Destination	cluster-NILE20868	KC003A6NA:KC003ADT2:(3850,0)-(3855,0)	"1.0"	"1.0"
Event	cluster-NILV20884	Movement.TransportPerson.PreventEntry_Preventer	cluster-NILE20864	KC003A6NA:KC003ADT2:(3850,0)-(3855,0)	"1.0"	"1.0"
Event	cluster-NILV20885	Contact.MediaStatement_Communicator	cluster-NILE20871	KC003A6NA:KC003ADT2:(3973,0)-(3983,0)	"1.0"	"1.0"
Event	cluster-NILV20885	Contact.MediaStatement_Communicator	cluster-NILE20871	KC003A6NA:KC003ADT2:(4033,0)-(4036,0)	"1.0"	"1.0"
Event	cluster-NILV20885	Contact.MediaStatement_Communicator	cluster-NILE20872	KC003A6NA:KC003ADT2:(3973,0)-(3983,0)	"1.0"	"1.0"
Event	cluster-NILV20885	Contact.MediaStatement_Place	cluster-NILE20863	KC003A6NA:KC003ADT2:(3973,0)-(3983,0)	"1.0"	"1.0"
Event	cluster-NILV20886	Government.Vote.CastVote_Ballot	cluster-NILE20851	KC003A6NA:KC003ADT2:(4994,0)-(4997,0)	"1.0"	"1.0"
Event	cluster-NILV20886	Government.Vote.CastVote_Ballot	cluster-NILE20851	KC003A6NA:KC003ADT2:(5319,0)-(5322,0)	"1.0"	"1.0"
Event	cluster-NILV20886	Government.Vote.CastVote_Result	cluster-NILE20831	KC003A6NA:KC003ADT2:(4844,0)-(4847,0)	"1.0"	"1.0"
Event	cluster-NILV20886	Government.Vote.CastVote_Result	cluster-NILE20832	KC003A6NA:KC003ADT2:(4844,0)-(4847,0)	"1.0"	"1.0"
Event	cluster-NILV20886	Government.Vote.CastVote_Result	cluster-NILE20833	KC003A6NA:KC003ADT2:(4994,0)-(4997,0)	"1.0"	"1.0"
Event	cluster-NILV20886	Government.Vote.CastVote_Result	cluster-NILE20873	KC003A6NA:KC003ADT2:(4994,0)-(4997,0)	"1.0"	"1.0"
Event	cluster-NILV20886	Government.Vote.CastVote_Result	cluster-NILE20874	KC003A6NA:KC003ADT2:(5319,0)-(5322,0)	"1.0"	"1.0"
Event	cluster-NILV20886	Government.Vote.CastVote_Voter	cluster-NILE20873	KC003A6NA:KC003ADT2:(4994,0)-(4997,0)	"1.0"	"1.0"
Event	cluster-NILV20886	Government.Vote.CastVote_Voter	cluster-NILE20874	KC003A6NA:KC003ADT2:(5319,0)-(5322,0)	"1.0"	"1.0"
Event	cluster-NILV20888	Inspection.SensoryObserve.MonitorElection_Monitor	cluster-NILE20865	KC003A6NA:KC003ADT2:(5081,0)-(5088,0)	"1.0"	"1.0"
Event	cluster-NILV20888	Inspection.SensoryObserve.MonitorElection_Place	cluster-NILE20858	KC003A6NA:KC003ADT2:(5081,0)-(5088,0)	"1.0"	"1.0"
Relation	cluster-NILR20870	OrganizationAffiliation.EmploymentMembership.Employment_Employee	cluster-NILE20882	KC003A6NA:KC003ADT2:(3010,0)-(3019,0)	"1.0"	"1.0"
Relation	cluster-NILR20870	OrganizationAffiliation.EmploymentMembership.Employment_PlaceOfEmployment	cluster-NILE20864	KC003A6NA:KC003ADT2:(3010,0)-(3019,0)	"1.0"	"1.0"
Relation	cluster-NILR20871	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	cluster-NILE20834	KC003A6NA:KC003ADT2:(4850,0)-(4859,0)	"1.0"	"1.0"
Relation	cluster-NILR20871	GeneralAffiliation.MemberOriginReligionEthnicity_Person	cluster-NILE20881	KC003A6NA:KC003ADT2:(4850,0)-(4859,0)	"1.0"	"1.0"
Relation	cluster-NILR20872	Measurement.Size.Count_EntityOrFiller	cluster-NILE20832	KC003A6NA:KC003ADT2:(4825,0)-(4831,0)	"1.0"	"1.0"
Relation	cluster-NILR20872	Measurement.Size.Count_Measurement	cluster-NILE20839	KC003A6NA:KC003ADT2:(4825,0)-(4831,0)	"1.0"	"1.0"
Relation	cluster-NILR20873	Measurement.Size.Percentage_EntityOrFiller	cluster-NILE20832	KC003A6NA:KC003ADT2:(4883,0)-(4889,0)	"1.0"	"1.0"
Relation	cluster-NILR20873	Measurement.Size.Percentage_Measurement	cluster-NILE20840	KC003A6NA:KC003ADT2:(4883,0)-(4889,0)	"1.0"	"1.0"
