?metatype	?subject	?predicate	?object	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
Event	cluster-NILV21320	Transaction.TransferMoney_Giver	cluster-NILE21327	IC001VFA7:IC001VFZU:(3271,0)-(3277,0)	"1.0"	"1.0"
Event	cluster-NILV21320	Transaction.TransferOwnership.BorrowLend_Artifact	cluster-NILE21346	IC001VFA7:IC001VFZU:(3215,0)-(3224,0)	"1.0"	"1.0"
Event	cluster-NILV21321	Conflict.Attack_Target	cluster-NILE21328	IC001VFA7:IC001VFZU:(3445,0)-(3453,0)	"1.0"	"1.0"
Event	cluster-NILV21321	Life.Die.DeathCausedByViolentEvents_Victim	cluster-NILE21328	IC001VFA7:IC001VFZU:(3445,0)-(3453,0)	"1.0"	"1.0"
Event	cluster-NILV21322	Conflict.Attack_Attacker	cluster-NILE21320	IC001VFA7:IC001VFZU:(1023,0)-(1028,0)	"1.0"	"1.0"
Event	cluster-NILV21322	Conflict.Attack_Attacker	cluster-NILE21324	IC001VFA7:IC001VFZU:(2325,0)-(2334,0)	"1.0"	"1.0"
Event	cluster-NILV21322	Conflict.Attack_Attacker	cluster-NILE21353	IC001VFA7:IC001VFZU:(755,0)-(762,0)	"1.0"	"1.0"
Event	cluster-NILV21322	Conflict.Attack_Place	cluster-NILE21323	IC001VFA7:IC001VFZU:(534,0)-(543,0)	"1.0"	"1.0"
Event	cluster-NILV21322	Conflict.Attack_Target	cluster-NILE21330	IC001VFA7:IC001VFA9:(49.561,0)-(55.955,0)	"1.0"	"1.0"
Event	cluster-NILV21322	Conflict.Attack_Target	cluster-NILE21330	IC001VFA7:IC001VFA9:(55.838,0)-(59.568,0)	"1.0"	"1.0"
Event	cluster-NILV21322	Conflict.Attack_Target	cluster-NILE21330	IC001VFA7:IC001VFZU:(1023,0)-(1028,0)	"1.0"	"1.0"
Event	cluster-NILV21322	Conflict.Attack_Target	cluster-NILE21330	IC001VFA7:IC001VFZU:(2749,0)-(2754,0)	"1.0"	"1.0"
Event	cluster-NILV21322	Conflict.Attack_Target	cluster-NILE21330	IC001VFA7:IC001VFZU:(351,0)-(358,0)	"1.0"	"1.0"
Event	cluster-NILV21322	Conflict.Attack_Target	cluster-NILE21330	IC001VFA7:IC001VFZU:(534,0)-(543,0)	"1.0"	"1.0"
Event	cluster-NILV21323	Justice.ArrestJailDetain.ArrestJailDetain_Detainee	cluster-NILE21324	IC001VFA7:IC001VFZU:(2192,0)-(2198,0)	"1.0"	"1.0"
Event	cluster-NILV21323	Justice.ArrestJailDetain.ArrestJailDetain_Detainee	cluster-NILE21324	IC001VFA7:IC001VFZU:(2374,0)-(2380,0)	"1.0"	"1.0"
Event	cluster-NILV21324	Justice.ArrestJailDetain.ArrestJailDetain_Detainee	cluster-NILE21353	IC001VFA7:IC001VFZU:(773,0)-(782,0)	"1.0"	"1.0"
