?metatype	?subject	?predicate	?object	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
Event	cluster-NILV20387	Movement.TransportPerson.EvacuationRescue_Passenger	cluster-NILE20396	IC001VGO2:IC001VGWW:(1881,0)-(1890,0)	"1.0"	"1.0"
Event	cluster-NILV20388	Movement.TransportArtifact.LossOfControl_ControlledThing	cluster-NILE20410	IC001VGO2:IC001VGWW:(1459,0)-(1470,0)	"1.0"	"1.0"
Event	cluster-NILV20389	Movement.TransportArtifact.LossOfControl_ControlledThing	cluster-NILE20400	IC001VGO2:IC001VGWW:(1361,0)-(1372,0)	"1.0"	"1.0"
Event	cluster-NILV20389	Movement.TransportArtifact.LossOfControl_Controller	cluster-NILE20409	IC001VGO2:IC001VGWW:(1361,0)-(1372,0)	"1.0"	"1.0"
Event	cluster-NILV20390	Movement.TransportArtifact.BringCarryUnload_Artifact	cluster-NILE20377	IC001VGO2:IC001VGWW:(356,0)-(359,0)	"1.0"	"1.0"
Event	cluster-NILV20390	Movement.TransportArtifact.BringCarryUnload_Destination	cluster-NILE20386	IC001VGO2:IC001VGWW:(1219,0)-(1222,0)	"1.0"	"1.0"
Event	cluster-NILV20390	Movement.TransportArtifact.BringCarryUnload_Origin	cluster-NILE20398	IC001VGO2:IC001VGWW:(1153,0)-(1161,0)	"1.0"	"1.0"
Event	cluster-NILV20390	Movement.TransportArtifact.BringCarryUnload_Transporter	cluster-NILE20409	IC001VGO2:IC001VGWW:(1219,0)-(1222,0)	"1.0"	"1.0"
Event	cluster-NILV20390	Movement.TransportArtifact.BringCarryUnload_Vehicle	cluster-NILE20400	IC001VGO2:IC001VGWW:(1219,0)-(1222,0)	"1.0"	"1.0"
Event	cluster-NILV20390	Movement.TransportArtifact.BringCarryUnload_Vehicle	cluster-NILE20406	IC001VGO2:IC001VGWW:(356,0)-(359,0)	"1.0"	"1.0"
Event	cluster-NILV20390	Movement.TransportArtifact.BringCarryUnload_Vehicle	cluster-NILE20414	IC001VGO2:IC001VGWW:(1153,0)-(1161,0)	"1.0"	"1.0"
Event	cluster-NILV20391	Movement.TransportArtifact.Fall_Artifact	cluster-NILE20410	IC001VGO2:IC001VGWW:(1476,0)-(1479,0)	"1.0"	"1.0"
Event	cluster-NILV20391	Movement.TransportArtifact.Fall_Destination	cluster-NILE20393	IC001VGO2:IC001VGWW:(1476,0)-(1479,0)	"1.0"	"1.0"
Event	cluster-NILV20392	Movement.TransportArtifact.BringCarryUnload_Artifact	cluster-NILE20377	IC001VGO2:IC001VGWW:(956,0)-(962,0)	"1.0"	"1.0"
Event	cluster-NILV20392	Movement.TransportArtifact.BringCarryUnload_Transporter	cluster-NILE20409	IC001VGO2:IC001VGWW:(956,0)-(962,0)	"1.0"	"1.0"
Event	cluster-NILV20392	Movement.TransportArtifact.BringCarryUnload_Vehicle	cluster-NILE20414	IC001VGO2:IC001VGWW:(956,0)-(962,0)	"1.0"	"1.0"
Event	cluster-NILV20393	Life.Injure.InjuryCausedByViolentEvents_Victim	cluster-NILE20417	IC001VGO2:IC001VGWW:(1934,0)-(1937,0)	"1.0"	"1.0"
Event	cluster-NILV20394	Justice.ArrestJailDetain.ArrestJailDetain_Detainee	cluster-NILE20392	IC001VGO2:IC001VGWW:(809,0)-(816,0)	"1.0"	"1.0"
