?metatype	?subject	?predicate	?object	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV22385>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Disaster.DiseaseOutbreak.DiseaseOutbreak_Disease>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22388>	JC002YC48:JC002YEMH:(11,0)-(17,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV22385>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Disaster.DiseaseOutbreak.DiseaseOutbreak_Disease>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22388>	JC002YC48:JC002YEMH:(243,0)-(263,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV22385>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Disaster.DiseaseOutbreak.DiseaseOutbreak_Disease>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22388>	JC002YC48:JC002YEMH:(51,0)-(66,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV22385>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Disaster.DiseaseOutbreak.DiseaseOutbreak_Place>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22392>	JC002YC48:JC002YEMH:(11,0)-(17,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV22385>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Disaster.DiseaseOutbreak.DiseaseOutbreak_Place>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22392>	JC002YC48:JC002YEMH:(243,0)-(263,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV22385>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Disaster.DiseaseOutbreak.DiseaseOutbreak_Place>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22392>	JC002YC48:JC002YEMH:(51,0)-(66,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV22386>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Disaster.DiseaseOutbreak.DiseaseOutbreak_Disease>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22388>	JC002YC48:JC002YEMH:(624,0)-(632,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV22386>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Disaster.DiseaseOutbreak.DiseaseOutbreak_Place>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22389>	JC002YC48:JC002YEMH:(624,0)-(632,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV22388>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Movement.TransportPerson.SelfMotion_Origin>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22396>	JC002YC48:JC002YEMH:(751,0)-(757,0)	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Event>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILV22388>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#Movement.TransportPerson.SelfMotion_Transporter>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22394>	JC002YC48:JC002YEMH:(751,0)-(757,0)	"1.0"	"1.0"
