DocID     RunID       GoldClusterID     SystemClusterID     Prec Recall     F1
IC001V8WF example-run cluster-NILR20003 cluster-NILR20003 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILR20004 cluster-NILR20004 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILR20005 cluster-NILR20005 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILR20006 cluster-NILR20006 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILR20007 cluster-NILR20007 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILR20008 cluster-NILR20008 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20001 cluster-NILV20001 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20002 cluster-NILV20002 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20003 cluster-NILV20003 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20004 cluster-NILV20004 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20005 cluster-NILV20005 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20006 cluster-NILV20006 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20007 cluster-NILV20007 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20008 cluster-NILV20008 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20009 cluster-NILV20009 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20010 cluster-NILV20010 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20011 cluster-NILV20011 1.0000 1.0000 1.0000
IC001V8WF example-run cluster-NILV20012 cluster-NILV20012 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20066 cluster-NILR20066 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20067 cluster-NILR20067 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20068 cluster-NILR20068 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20069 cluster-NILR20069 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20070 cluster-NILR20070 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20071 cluster-NILR20071 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20072 cluster-NILR20072 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20073 cluster-NILR20073 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20075 cluster-NILR20075 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20076 cluster-NILR20076 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20077 cluster-NILR20077 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20078 cluster-NILR20078 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20079 cluster-NILR20079 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20080 cluster-NILR20080 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20081 cluster-NILR20081 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20082 cluster-NILR20082 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20083 cluster-NILR20083 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20084 cluster-NILR20084 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20085 cluster-NILR20085 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20086 cluster-NILR20086 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20087 cluster-NILR20087 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20088 cluster-NILR20088 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20090 cluster-NILR20090 1.0000 1.0000 1.0000
IC001V9U9 example-run cluster-NILR20091 cluster-NILR20091 1.0000 1.0000 1.0000
