DocID     RunID       Metatype GoldClusterID     SystemClusterID   Similarity
IC001V8WF example-run Event    cluster-NILV20001 cluster-NILV20001     1.0000
IC001V8WF example-run Event    cluster-NILV20002 cluster-NILV20002     1.0000
IC001V8WF example-run Event    cluster-NILV20003 cluster-NILV20003     1.0000
IC001V8WF example-run Event    cluster-NILV20004 cluster-NILV20004     1.0000
IC001V8WF example-run Event    cluster-NILV20005 cluster-NILV20005     1.0000
IC001V8WF example-run Event    cluster-NILV20006 cluster-NILV20006     1.0000
IC001V8WF example-run Event    cluster-NILV20007 cluster-NILV20007     1.0000
IC001V8WF example-run Event    cluster-NILV20008 cluster-NILV20008     1.0000
IC001V8WF example-run Event    cluster-NILV20009 cluster-NILV20009     1.0000
IC001V8WF example-run Event    cluster-NILV20010 cluster-NILV20010     1.0000
IC001V8WF example-run Event    cluster-NILV20011 cluster-NILV20011     1.0000
IC001V8WF example-run Event    cluster-NILV20012 cluster-NILV20012     1.0000
IC001V8WF example-run Relation cluster-NILR20003 cluster-NILR20003     1.0000
IC001V8WF example-run Relation cluster-NILR20008 cluster-NILR20008     1.0000
IC001V9U9 example-run Event    cluster-NILV20066 cluster-NILV20066     1.0000
IC001V9U9 example-run Event    cluster-NILV20067 cluster-NILV20067     1.0000
IC001V9U9 example-run Event    cluster-NILV20068 cluster-NILV20068     1.0000
IC001V9U9 example-run Event    cluster-NILV20069 cluster-NILV20069     1.0000
IC001V9U9 example-run Event    cluster-NILV20070 cluster-NILV20070     1.0000
IC001V9U9 example-run Event    cluster-NILV20071 cluster-NILV20071     1.0000
IC001V9U9 example-run Event    cluster-NILV20072 cluster-NILV20072     1.0000
IC001V9U9 example-run Event    cluster-NILV20074 cluster-NILV20074     1.0000
IC001V9U9 example-run Event    cluster-NILV20075 cluster-NILV20075     1.0000
IC001V9U9 example-run Event    cluster-NILV20076 cluster-NILV20076     1.0000
IC001V9U9 example-run Event    cluster-NILV20077 cluster-NILV20077     1.0000
IC001V9U9 example-run Event    cluster-NILV20078 cluster-NILV20078     1.0000
IC001V9U9 example-run Event    cluster-NILV20079 cluster-NILV20079     1.0000
IC001V9U9 example-run Event    cluster-NILV20080 cluster-NILV20080     1.0000
IC001V9U9 example-run Event    cluster-NILV20081 cluster-NILV20081     1.0000
IC001V9U9 example-run Event    cluster-NILV20082 cluster-NILV20082     1.0000
IC001V9U9 example-run Event    cluster-NILV20083 cluster-NILV20083     1.0000
IC001V9U9 example-run Event    cluster-NILV20084 cluster-NILV20084     1.0000
IC001V9U9 example-run Event    cluster-NILV20085 cluster-NILV20085     1.0000
IC001V9U9 example-run Event    cluster-NILV20087 cluster-NILV20087     1.0000
IC001V9U9 example-run Event    cluster-NILV20088 cluster-NILV20088     1.0000
IC001V9U9 example-run Event    cluster-NILV20089 cluster-NILV20089     1.0000
IC001V9U9 example-run Event    cluster-NILV20090 cluster-NILV20090     1.0000
IC001V9U9 example-run Relation cluster-NILR20066 cluster-NILR20066     1.0000
IC001V9U9 example-run Relation cluster-NILR20076 cluster-NILR20076     1.0000
IC001V9U9 example-run Relation cluster-NILR20080 cluster-NILR20080     1.0000
IC001V9U9 example-run Relation cluster-NILR20081 cluster-NILR20081     1.0000
IC001V9U9 example-run Relation cluster-NILR20083 cluster-NILR20083     1.0000
IC001V9U9 example-run Relation cluster-NILR20084 cluster-NILR20084     1.0000
IC001V9U9 example-run Relation cluster-NILR20085 cluster-NILR20085     1.0000
IC001VAPK example-run Event    cluster-NILV20310 cluster-NILV20310     1.0000
IC001VAPK example-run Event    cluster-NILV20311 cluster-NILV20311     1.0000
IC001VAPK example-run Event    cluster-NILV20312 cluster-NILV20312     1.0000
IC001VAPK example-run Event    cluster-NILV20313 cluster-NILV20313     1.0000
IC001VAPK example-run Event    cluster-NILV20314 cluster-NILV20314     1.0000
IC001VAPK example-run Event    cluster-NILV20315 cluster-NILV20315     1.0000
IC001VAPK example-run Event    cluster-NILV20316 cluster-NILV20316     1.0000
IC001VAPK example-run Event    cluster-NILV20317 cluster-NILV20317     1.0000
IC001VAPK example-run Event    cluster-NILV20318 cluster-NILV20318     1.0000
IC001VAPK example-run Relation cluster-NILR20310 cluster-NILR20310     1.0000
IC001VAPK example-run Relation cluster-NILR20312 cluster-NILR20312     1.0000
IC001VAPK example-run Relation cluster-NILR20317 cluster-NILR20317     1.0000
IC001VAPK example-run Relation cluster-NILR20318 cluster-NILR20318     1.0000
IC001VAPK example-run Relation cluster-NILR20319 cluster-NILR20319     1.0000
IC001VAPK example-run Relation cluster-NILR20320 cluster-NILR20320     1.0000
IC001VAPK example-run Relation cluster-NILR20322 cluster-NILR20322     1.0000
IC001VCIQ example-run Event    cluster-NILV21300 cluster-NILV21300     1.0000
IC001VCIQ example-run Event    cluster-NILV21301 cluster-NILV21301     1.0000
IC001VCIQ example-run Event    cluster-NILV21302 cluster-NILV21302     1.0000
IC001VGO2 example-run Event    cluster-NILV20387 cluster-NILV20387     1.0000
IC001VGO2 example-run Event    cluster-NILV20388 cluster-NILV20388     1.0000
IC001VGO2 example-run Event    cluster-NILV20389 cluster-NILV20389     1.0000
IC001VGO2 example-run Event    cluster-NILV20390 cluster-NILV20390     1.0000
IC001VGO2 example-run Event    cluster-NILV20391 cluster-NILV20391     1.0000
IC001VGO2 example-run Event    cluster-NILV20392 cluster-NILV20392     1.0000
IC001VGO2 example-run Event    cluster-NILV20393 cluster-NILV20393     1.0000
IC001VGO2 example-run Event    cluster-NILV20394 cluster-NILV20394     1.0000
IC001VGO2 example-run Event    cluster-NILV20395 cluster-NILV20395     1.0000
IC001VGO2 example-run Event    cluster-NILV20396 cluster-NILV20396     1.0000
IC001VGO2 example-run Event    cluster-NILV20397 cluster-NILV20397     1.0000
IC001VGO2 example-run Event    cluster-NILV20398 cluster-NILV20398     1.0000
IC001VGO2 example-run Event    cluster-NILV20399 cluster-NILV20399     1.0000
IC001VGO2 example-run Event    cluster-NILV20400 cluster-NILV20400     1.0000
IC001VGO2 example-run Event    cluster-NILV20401 cluster-NILV20401     1.0000
IC001VGO2 example-run Event    cluster-NILV20402 cluster-NILV20402     1.0000
IC001VGO2 example-run Event    cluster-NILV20403 cluster-NILV20403     1.0000
IC001VGO2 example-run Event    cluster-NILV20404 cluster-NILV20404     1.0000
IC001VGO2 example-run Event    cluster-NILV20405 cluster-NILV20405     1.0000
IC001VGO2 example-run Relation cluster-NILR20375 cluster-NILR20375     1.0000
IC001VGO2 example-run Relation cluster-NILR20376 cluster-NILR20376     1.0000
IC001VGO2 example-run Relation cluster-NILR20377 cluster-NILR20377     1.0000
IC001VGO2 example-run Relation cluster-NILR20379 cluster-NILR20379     1.0000
IC001VGO2 example-run Relation cluster-NILR20381 cluster-NILR20381     1.0000
IC001VGO2 example-run Relation cluster-NILR20384 cluster-NILR20384     1.0000
IC001VGO2 example-run Relation cluster-NILR20388 cluster-NILR20388     1.0000
IC001VGO2 example-run Relation cluster-NILR20389 cluster-NILR20389     1.0000
IC001VGO2 example-run Relation cluster-NILR20391 cluster-NILR20391     1.0000
IC001VGO2 example-run Relation cluster-NILR20392 cluster-NILR20392     1.0000
IC001VGO2 example-run Relation cluster-NILR20393 cluster-NILR20393     1.0000
JC002YCXK example-run Event    cluster-NILV20494 cluster-NILV20494     1.0000
JC002YCXK example-run Event    cluster-NILV20495 cluster-NILV20495     1.0000
JC002YCXK example-run Event    cluster-NILV20496 cluster-NILV20496     1.0000
JC002YCXK example-run Event    cluster-NILV20497 cluster-NILV20497     1.0000
JC002YCXK example-run Event    cluster-NILV20499 cluster-NILV20499     1.0000
JC002YCXK example-run Event    cluster-NILV20500 cluster-NILV20500     1.0000
JC002YCXK example-run Event    cluster-NILV20501 cluster-NILV20501     1.0000
JC002YCXK example-run Event    cluster-NILV20502 cluster-NILV20502     1.0000
JC002YCXK example-run Relation cluster-NILR20496 cluster-NILR20496     1.0000
JC002YF02 example-run Event    cluster-NILV22457 cluster-NILV22457     1.0000
JC002YF02 example-run Event    cluster-NILV22458 cluster-NILV22458     1.0000
JC002YF02 example-run Relation cluster-NILR22456 cluster-NILR22456     1.0000
JC002YF02 example-run Relation cluster-NILR22457 cluster-NILR22457     1.0000
JC002YF02 example-run Relation cluster-NILR22458 cluster-NILR22458     1.0000
KC003A59I example-run Event    cluster-NILV20705 cluster-NILV20705     1.0000
KC003A59I example-run Event    cluster-NILV20706 cluster-NILV20706     1.0000
KC003A59I example-run Event    cluster-NILV20707 cluster-NILV20707     1.0000
KC003A6NA example-run Event    cluster-NILV20870 cluster-NILV20870     1.0000
KC003A6NA example-run Event    cluster-NILV20871 cluster-NILV20871     1.0000
KC003A6NA example-run Event    cluster-NILV20872 cluster-NILV20872     1.0000
KC003A6NA example-run Event    cluster-NILV20873 cluster-NILV20873     1.0000
KC003A6NA example-run Event    cluster-NILV20874 cluster-NILV20874     1.0000
KC003A6NA example-run Event    cluster-NILV20875 cluster-NILV20875     1.0000
KC003A6NA example-run Event    cluster-NILV20876 cluster-NILV20876     1.0000
KC003A6NA example-run Event    cluster-NILV20877 cluster-NILV20877     1.0000
KC003A6NA example-run Event    cluster-NILV20878 cluster-NILV20878     1.0000
KC003A6NA example-run Event    cluster-NILV20879 cluster-NILV20879     1.0000
KC003A6NA example-run Event    cluster-NILV20880 cluster-NILV20880     1.0000
KC003A6NA example-run Event    cluster-NILV20881 cluster-NILV20881     1.0000
KC003A6NA example-run Event    cluster-NILV20882 cluster-NILV20882     1.0000
KC003A6NA example-run Event    cluster-NILV20883 cluster-NILV20883     1.0000
