metatype	system_or_gold1	cluster1	system_or_gold2	cluster2	similarity
Entity	system	cluster-NILE20310	system	cluster-NILE20310	3
Entity	system	cluster-NILE20310	system	cluster-NILE20311	0
Entity	system	cluster-NILE20310	system	cluster-NILE20312	0
Entity	system	cluster-NILE20310	system	cluster-NILE20313	0
Entity	system	cluster-NILE20310	system	cluster-NILE20314	0
Entity	system	cluster-NILE20310	system	cluster-NILE20315	0
Entity	system	cluster-NILE20310	system	cluster-NILE20316	0
Entity	system	cluster-NILE20310	system	cluster-NILE20317	0
Entity	system	cluster-NILE20310	system	cluster-NILE20318	0
Entity	system	cluster-NILE20310	system	cluster-NILE20319	0
Entity	system	cluster-NILE20310	system	cluster-NILE20320	0
Entity	system	cluster-NILE20310	system	cluster-NILE20321	0
Entity	system	cluster-NILE20310	system	cluster-NILE20322	0
Entity	system	cluster-NILE20310	system	cluster-NILE20323	0
Entity	system	cluster-NILE20310	system	cluster-NILE20324	0
Entity	system	cluster-NILE20310	system	cluster-NILE20325	0
Entity	system	cluster-NILE20310	system	cluster-NILE20326	0
Entity	system	cluster-NILE20310	system	cluster-NILE20327	0
Entity	system	cluster-NILE20310	system	cluster-NILE20328	0
Entity	system	cluster-NILE20310	system	cluster-NILE20329	0
Entity	system	cluster-NILE20310	system	cluster-NILE20330	0
Entity	system	cluster-NILE20310	system	cluster-NILE20331	0
Entity	system	cluster-NILE20310	system	cluster-NILE20332	0
Entity	system	cluster-NILE20310	system	cluster-NILE20333	0
Entity	system	cluster-NILE20310	system	cluster-NILE20334	0
Entity	system	cluster-NILE20310	system	cluster-NILE20335	0
Entity	system	cluster-NILE20310	system	cluster-NILE20336	0
Entity	system	cluster-NILE20310	system	cluster-NILE20337	0
Entity	system	cluster-NILE20310	system	cluster-NILE20338	0
Entity	system	cluster-NILE20310	system	cluster-NILE20339	0
Entity	system	cluster-NILE20310	system	cluster-NILE20340	0
Entity	system	cluster-NILE20310	system	cluster-NILE20341	0
Entity	system	cluster-NILE20310	system	cluster-NILE20342	0
Entity	system	cluster-NILE20310	system	cluster-NILE20343	0
Entity	system	cluster-NILE20310	system	cluster-NILE20344	0
Entity	system	cluster-NILE20311	system	cluster-NILE20310	0
Entity	system	cluster-NILE20311	system	cluster-NILE20311	1
Entity	system	cluster-NILE20311	system	cluster-NILE20312	0
Entity	system	cluster-NILE20311	system	cluster-NILE20313	0
Entity	system	cluster-NILE20311	system	cluster-NILE20314	0
Entity	system	cluster-NILE20311	system	cluster-NILE20315	0
Entity	system	cluster-NILE20311	system	cluster-NILE20316	0
Entity	system	cluster-NILE20311	system	cluster-NILE20317	0
Entity	system	cluster-NILE20311	system	cluster-NILE20318	0
Entity	system	cluster-NILE20311	system	cluster-NILE20319	0
Entity	system	cluster-NILE20311	system	cluster-NILE20320	0
Entity	system	cluster-NILE20311	system	cluster-NILE20321	0
Entity	system	cluster-NILE20311	system	cluster-NILE20322	0
Entity	system	cluster-NILE20311	system	cluster-NILE20323	0
