metatype	system_or_gold1	cluster1	system_or_gold2	cluster2	similarity
Entity	system	cluster-NILE21835	system	cluster-NILE21835	1
Entity	system	cluster-NILE21835	system	cluster-NILE21836	0
Entity	system	cluster-NILE21835	system	cluster-NILE21837	0
Entity	system	cluster-NILE21835	system	cluster-NILE21838	0
Entity	system	cluster-NILE21835	system	cluster-NILE21839	0
Entity	system	cluster-NILE21835	system	cluster-NILE21840	0
Entity	system	cluster-NILE21835	system	cluster-NILE21841	0
Entity	system	cluster-NILE21835	system	cluster-NILE21842	0
Entity	system	cluster-NILE21835	system	cluster-NILE21843	0
Entity	system	cluster-NILE21835	system	cluster-NILE21844	0
Entity	system	cluster-NILE21835	system	cluster-NILE21845	0
Entity	system	cluster-NILE21836	system	cluster-NILE21835	0
Entity	system	cluster-NILE21836	system	cluster-NILE21836	1
Entity	system	cluster-NILE21836	system	cluster-NILE21837	0
Entity	system	cluster-NILE21836	system	cluster-NILE21838	0
Entity	system	cluster-NILE21836	system	cluster-NILE21839	0
Entity	system	cluster-NILE21836	system	cluster-NILE21840	0
Entity	system	cluster-NILE21836	system	cluster-NILE21841	0
Entity	system	cluster-NILE21836	system	cluster-NILE21842	0
Entity	system	cluster-NILE21836	system	cluster-NILE21843	0
Entity	system	cluster-NILE21836	system	cluster-NILE21844	0
Entity	system	cluster-NILE21836	system	cluster-NILE21845	0
Entity	system	cluster-NILE21837	system	cluster-NILE21835	0
Entity	system	cluster-NILE21837	system	cluster-NILE21836	0
Entity	system	cluster-NILE21837	system	cluster-NILE21837	1
Entity	system	cluster-NILE21837	system	cluster-NILE21838	0
Entity	system	cluster-NILE21837	system	cluster-NILE21839	0
Entity	system	cluster-NILE21837	system	cluster-NILE21840	0
Entity	system	cluster-NILE21837	system	cluster-NILE21841	0
Entity	system	cluster-NILE21837	system	cluster-NILE21842	0
Entity	system	cluster-NILE21837	system	cluster-NILE21843	0
Entity	system	cluster-NILE21837	system	cluster-NILE21844	0
Entity	system	cluster-NILE21837	system	cluster-NILE21845	0
Entity	system	cluster-NILE21838	system	cluster-NILE21835	0
Entity	system	cluster-NILE21838	system	cluster-NILE21836	0
Entity	system	cluster-NILE21838	system	cluster-NILE21837	0
Entity	system	cluster-NILE21838	system	cluster-NILE21838	1
Entity	system	cluster-NILE21838	system	cluster-NILE21839	0
Entity	system	cluster-NILE21838	system	cluster-NILE21840	0
Entity	system	cluster-NILE21838	system	cluster-NILE21841	0
Entity	system	cluster-NILE21838	system	cluster-NILE21842	0
Entity	system	cluster-NILE21838	system	cluster-NILE21843	0
Entity	system	cluster-NILE21838	system	cluster-NILE21844	0
Entity	system	cluster-NILE21838	system	cluster-NILE21845	0
Entity	system	cluster-NILE21839	system	cluster-NILE21835	0
Entity	system	cluster-NILE21839	system	cluster-NILE21836	0
Entity	system	cluster-NILE21839	system	cluster-NILE21837	0
Entity	system	cluster-NILE21839	system	cluster-NILE21838	0
Entity	system	cluster-NILE21839	system	cluster-NILE21839	1
Entity	system	cluster-NILE21839	system	cluster-NILE21840	0
Entity	system	cluster-NILE21839	system	cluster-NILE21841	0
Entity	system	cluster-NILE21839	system	cluster-NILE21842	0
Entity	system	cluster-NILE21839	system	cluster-NILE21843	0
Entity	system	cluster-NILE21839	system	cluster-NILE21844	0
Entity	system	cluster-NILE21839	system	cluster-NILE21845	0
Entity	system	cluster-NILE21840	system	cluster-NILE21835	0
Entity	system	cluster-NILE21840	system	cluster-NILE21836	0
Entity	system	cluster-NILE21840	system	cluster-NILE21837	0
Entity	system	cluster-NILE21840	system	cluster-NILE21838	0
Entity	system	cluster-NILE21840	system	cluster-NILE21839	0
Entity	system	cluster-NILE21840	system	cluster-NILE21840	1
Entity	system	cluster-NILE21840	system	cluster-NILE21841	0
Entity	system	cluster-NILE21840	system	cluster-NILE21842	0
Entity	system	cluster-NILE21840	system	cluster-NILE21843	0
Entity	system	cluster-NILE21840	system	cluster-NILE21844	0
Entity	system	cluster-NILE21840	system	cluster-NILE21845	0
Entity	system	cluster-NILE21841	system	cluster-NILE21835	0
Entity	system	cluster-NILE21841	system	cluster-NILE21836	0
Entity	system	cluster-NILE21841	system	cluster-NILE21837	0
Entity	system	cluster-NILE21841	system	cluster-NILE21838	0
Entity	system	cluster-NILE21841	system	cluster-NILE21839	0
