?cluster	?metatype	?type	?mention_span	?type_statement_confidence	?cluster_membership_confidence	?mention_type_justification_confidence
cluster-NILE20310	Entity	GPE.Country.Country	IC001VAPK:IC001VBFN:(2582,0)-(2590,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20310	Entity	GPE.Country.Country	IC001VAPK:IC001VBFN:(839,0)-(848,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20310	Entity	GPE.Country.Country	IC001VAPK:IC001VBFN:(92,0)-(101,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20311	Entity	GPE.Country.Country	IC001VAPK:IC001VBFN:(2426,0)-(2432,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20312	Entity	GPE.Country.Country	IC001VAPK:IC001VBFN:(2481,0)-(2489,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20312	Entity	GPE.Country.Country	IC001VAPK:IC001VBFN:(801,0)-(809,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20313	Entity	GPE.Country.Country	IC001VAPK:IC001VBFN:(2399,0)-(2409,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20314	Entity	GPE.Country.Country	IC001VAPK:IC001VBFN:(2412,0)-(2420,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20315	Entity	GPE.Country.Country	IC001VAPK:IC001VBFN:(1068,0)-(1069,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20316	Entity	VEH.Aircraft.Drone	IC001VAPK:IC001VBFN:(310,0)-(316,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20317	Entity	VEH.Aircraft.Drone	IC001VAPK:IC001VBFN:(2876,0)-(2911,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20318	Entity	ORG.MilitaryOrganization.GovernmentArmedForces	IC001VAPK:IC001VBFN:(2316,0)-(2329,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20318	Entity	ORG.MilitaryOrganization.GovernmentArmedForces	IC001VAPK:IC001VBFN:(568,0)-(581,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20319	Entity	PER.Politician.HeadOfGovernment	IC001VAPK:IC001VBFN:(818,0)-(835,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20320	Entity	PER.Politician.HeadOfGovernment	IC001VAPK:IC001VBFN:(113,0)-(126,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20320	Entity	PER.Politician.HeadOfGovernment	IC001VAPK:IC001VBFN:(141,0)-(154,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20320	Entity	PER.Politician.HeadOfGovernment	IC001VAPK:IC001VBFN:(160,0)-(162,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20320	Entity	PER.Politician.HeadOfGovernment	IC001VAPK:IC001VBFN:(237,0)-(256,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20320	Entity	PER.Politician.HeadOfGovernment	IC001VAPK:IC001VBFN:(2532,0)-(2540,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20320	Entity	PER.Politician.HeadOfGovernment	IC001VAPK:IC001VBFN:(2544,0)-(2546,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20320	Entity	PER.Politician.HeadOfGovernment	IC001VAPK:IC001VBFN:(403,0)-(404,0)	"1.0"	"1.0"	"1.0"
