?metatype	?subject	?predicate	?object	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
Event	cluster-NILV21445	Contact.ThreatenCoerce_Communicator	cluster-NILE21452	JC002YD6G:JC002YD6I:(677,0)-(683,0)	"1.0"	"1.0"
Event	cluster-NILV21445	Contact.ThreatenCoerce_Communicator	cluster-NILE21456	JC002YD6G:JC002YD6I:(541,0)-(547,0)	"1.0"	"1.0"
Event	cluster-NILV21445	Contact.ThreatenCoerce_Recipient	cluster-NILE21459	JC002YD6G:JC002YD6I:(541,0)-(547,0)	"1.0"	"1.0"
Event	cluster-NILV21447	Life.Die.NonviolentDeath_MedicalIssue	cluster-NILE21448	JC002YD6G:JC002YD6I:(190,0)-(197,0)	"1.0"	"1.0"
Event	cluster-NILV21447	Life.Die.NonviolentDeath_MedicalIssue	cluster-NILE21451	JC002YD6G:JC002YD6I:(190,0)-(197,0)	"1.0"	"1.0"
Event	cluster-NILV21447	Life.Die.NonviolentDeath_MedicalIssue	cluster-NILE21460	JC002YD6G:JC002YD6I:(768,0)-(776,0)	"1.0"	"1.0"
Event	cluster-NILV21447	Life.Die.NonviolentDeath_Place	cluster-NILE21449	JC002YD6G:JC002YD6I:(768,0)-(776,0)	"1.0"	"1.0"
Event	cluster-NILV21447	Life.Die.NonviolentDeath_Place	cluster-NILE21453	JC002YD6G:JC002YD6I:(482,0)-(487,0)	"1.0"	"1.0"
Event	cluster-NILV21447	Life.Die.NonviolentDeath_Place	cluster-NILE21461	JC002YD6G:JC002YD6I:(190,0)-(197,0)	"1.0"	"1.0"
Event	cluster-NILV21447	Life.Die.NonviolentDeath_Victim	cluster-NILE21445	JC002YD6G:JC002YD6I:(482,0)-(487,0)	"1.0"	"1.0"
Event	cluster-NILV21447	Life.Die.NonviolentDeath_Victim	cluster-NILE21457	JC002YD6G:JC002YD6I:(190,0)-(197,0)	"1.0"	"1.0"
Relation	cluster-NILR21445	OrganizationAffiliation.Leadership_Leader	cluster-NILE21459	JC002YD6G:JC002YD6I:(393,0)-(402,0)	"1.0"	"1.0"
Relation	cluster-NILR21445	OrganizationAffiliation.Leadership_Organization	cluster-NILE21450	JC002YD6G:JC002YD6I:(393,0)-(402,0)	"1.0"	"1.0"
