?metatype	?subject	?predicate	?object	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
Event	cluster-NILV21630	Life.Die.NonviolentDeath_MedicalIssue	cluster-NILE21626	JC002YF1M:JC002YF4Y:(93,0)-(105,0)	"1.0"	"1.0"
Event	cluster-NILV21630	Life.Die.NonviolentDeath_Place	cluster-NILE21622	JC002YF1M:JC002YF4Y:(569,0)-(576,0)	"1.0"	"1.0"
Event	cluster-NILV21630	Life.Die.NonviolentDeath_Victim	cluster-NILE21650	JC002YF1M:JC002YF4Y:(569,0)-(576,0)	"1.0"	"1.0"
Event	cluster-NILV21630	Life.Die.NonviolentDeath_Victim	cluster-NILE21650	JC002YF1M:JC002YF4Y:(93,0)-(105,0)	"1.0"	"1.0"
Event	cluster-NILV21631	Life.Die.NonviolentDeath_MedicalIssue	cluster-NILE21625	JC002YF1M:JC002YF4Y:(225,0)-(231,0)	"1.0"	"1.0"
Event	cluster-NILV21631	Life.Die.NonviolentDeath_Place	cluster-NILE21645	JC002YF1M:JC002YF4Y:(225,0)-(231,0)	"1.0"	"1.0"
Event	cluster-NILV21631	Life.Die.NonviolentDeath_Victim	cluster-NILE21652	JC002YF1M:JC002YF4Y:(225,0)-(231,0)	"1.0"	"1.0"
Event	cluster-NILV21633	Life.Die.NonviolentDeath_MedicalIssue	cluster-NILE21628	JC002YF1M:JC002YF4Y:(1600,0)-(1606,0)	"1.0"	"1.0"
Event	cluster-NILV21633	Life.Die.NonviolentDeath_MedicalIssue	cluster-NILE21630	JC002YF1M:JC002YF4Y:(1600,0)-(1606,0)	"1.0"	"1.0"
Event	cluster-NILV21634	Life.Die.NonviolentDeath_MedicalIssue	cluster-NILE21626	JC002YF1M:JC002YF4Y:(2773,0)-(2785,0)	"1.0"	"1.0"
Event	cluster-NILV21634	Life.Die.NonviolentDeath_Victim	cluster-NILE21652	JC002YF1M:JC002YF4Y:(2773,0)-(2785,0)	"1.0"	"1.0"
Event	cluster-NILV21635	Life.Die.NonviolentDeath_Place	cluster-NILE21623	JC002YF1M:JC002YF4Y:(2938,0)-(2943,0)	"1.0"	"1.0"
Event	cluster-NILV21635	Life.Die.NonviolentDeath_Victim	cluster-NILE21653	JC002YF1M:JC002YF4Y:(2938,0)-(2943,0)	"1.0"	"1.0"
Event	cluster-NILV21635	Life.Die.NonviolentDeath_Victim	cluster-NILE21653	JC002YF1M:JC002YF4Y:(3137,0)-(3142,0)	"1.0"	"1.0"
Event	cluster-NILV21636	Life.Die.NonviolentDeath_Place	cluster-NILE21645	JC002YF1M:JC002YF4Y:(3156,0)-(3165,0)	"1.0"	"1.0"
Event	cluster-NILV21636	Life.Die.NonviolentDeath_Victim	cluster-NILE21652	JC002YF1M:JC002YF4Y:(3156,0)-(3165,0)	"1.0"	"1.0"
Event	cluster-NILV21637	Life.Die.NonviolentDeath_Victim	cluster-NILE21652	JC002YF1M:JC002YF4Y:(3583,0)-(3588,0)	"1.0"	"1.0"
Event	cluster-NILV21639	Disaster.DiseaseOutbreak.DiseaseOutbreak_Disease	cluster-NILE21625	JC002YF1M:JC002YF4Y:(1483,0)-(1492,0)	"1.0"	"1.0"
Event	cluster-NILV21640	Disaster.DiseaseOutbreak.DiseaseOutbreak_Disease	cluster-NILE21625	JC002YF1M:JC002YF4Y:(1568,0)-(1577,0)	"1.0"	"1.0"
Event	cluster-NILV21641	Life.Injure.IllnessDegredationSickness_Disease	cluster-NILE21646	JC002YF1M:JC002YF4Y:(436,0)-(453,0)	"1.0"	"1.0"
Event	cluster-NILV21641	Life.Injure.IllnessDegredationSickness_Disease	cluster-NILE21647	JC002YF1M:JC002YF4Y:(436,0)-(453,0)	"1.0"	"1.0"
Event	cluster-NILV21641	Life.Injure.IllnessDegredationSickness_Disease	cluster-NILE21648	JC002YF1M:JC002YF4Y:(436,0)-(453,0)	"1.0"	"1.0"
Event	cluster-NILV21641	Life.Injure.IllnessDegredationSickness_Victim	cluster-NILE21650	JC002YF1M:JC002YF4Y:(436,0)-(453,0)	"1.0"	"1.0"
Event	cluster-NILV21642	Life.Injure.IllnessDegredationSickness_Disease	cluster-NILE21646	JC002YF1M:JC002YF4Y:(709,0)-(723,0)	"1.0"	"1.0"
Event	cluster-NILV21643	Life.Injure.IllnessDegredationSickness_Disease	cluster-NILE21627	JC002YF1M:JC002YF4Y:(828,0)-(831,0)	"1.0"	"1.0"
Event	cluster-NILV21643	Life.Injure.IllnessDegredationSickness_Disease	cluster-NILE21649	JC002YF1M:JC002YF4Y:(828,0)-(831,0)	"1.0"	"1.0"
Event	cluster-NILV21644	Life.Injure.IllnessDegredationSickness_Disease	cluster-NILE21631	JC002YF1M:JC002YF4Y:(2381,0)-(2399,0)	"1.0"	"1.0"
Event	cluster-NILV21644	Life.Injure.IllnessDegredationSickness_Victim	cluster-NILE21651	JC002YF1M:JC002YF4Y:(2381,0)-(2399,0)	"1.0"	"1.0"
Event	cluster-NILV21645	Medical.Intervention.Intervention_Patient	cluster-NILE21650	JC002YF1M:JC002YF4Y:(524,0)-(531,0)	"1.0"	"1.0"
Event	cluster-NILV21645	Medical.Intervention.Intervention_Place	cluster-NILE21622	JC002YF1M:JC002YF4Y:(524,0)-(531,0)	"1.0"	"1.0"
Event	cluster-NILV21646	Medical.Intervention.Intervention_Instrument	cluster-NILE21632	JC002YF1M:JC002YF4Y:(774,0)-(799,0)	"1.0"	"1.0"
Event	cluster-NILV21646	Medical.Intervention.Intervention_MedicalIssue	cluster-NILE21646	JC002YF1M:JC002YF4Y:(774,0)-(799,0)	"1.0"	"1.0"
Event	cluster-NILV21648	Life.Die.NonviolentDeath_MedicalIssue	cluster-NILE21646	JC002YF1M:JC002YF4Y:(2320,0)-(2326,0)	"1.0"	"1.0"
Event	cluster-NILV21648	Life.Die.NonviolentDeath_Victim	cluster-NILE21651	JC002YF1M:JC002YF4Y:(2320,0)-(2326,0)	"1.0"	"1.0"
Relation	cluster-NILR21620	OrganizationAffiliation.Leadership_Leader	cluster-NILE21644	JC002YF1M:JC002YF4Y:(2692,0)-(2701,0)	"1.0"	"1.0"
Relation	cluster-NILR21620	OrganizationAffiliation.Leadership_Organization	cluster-NILE21621	JC002YF1M:JC002YF4Y:(2692,0)-(2701,0)	"1.0"	"1.0"
Relation	cluster-NILR21621	OrganizationAffiliation.Leadership_Leader	cluster-NILE21639	JC002YF1M:JC002YF4Y:(3320,0)-(3329,0)	"1.0"	"1.0"
Relation	cluster-NILR21621	OrganizationAffiliation.Leadership_Organization	cluster-NILE21645	JC002YF1M:JC002YF4Y:(3320,0)-(3329,0)	"1.0"	"1.0"
Relation	cluster-NILR21622	Measurement.Size.Count_EntityOrFiller	cluster-NILE21652	JC002YF1M:JC002YF4Y:(198,0)-(201,0)	"1.0"	"1.0"
Relation	cluster-NILR21622	Measurement.Size.Count_Measurement	cluster-NILE21637	JC002YF1M:JC002YF4Y:(198,0)-(201,0)	"1.0"	"1.0"
Relation	cluster-NILR21623	Measurement.Size.Count_EntityOrFiller	cluster-NILE21652	JC002YF1M:JC002YF4Y:(2790,0)-(2793,0)	"1.0"	"1.0"
Relation	cluster-NILR21623	Measurement.Size.Count_Measurement	cluster-NILE21638	JC002YF1M:JC002YF4Y:(2790,0)-(2793,0)	"1.0"	"1.0"
