?cluster	?metatype	?type	?mention_span	?type_statement_confidence	?cluster_membership_confidence	?mention_type_justification_confidence
cluster-NILE20540	Entity	GPE.Country.Country	JC002YFXO:JC002YGFT:(1026,0)-(1034,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20540	Entity	GPE.Country.Country	JC002YFXO:JC002YGFT:(2001,0)-(2009,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20540	Entity	GPE.Country.Country	JC002YFXO:JC002YGFT:(2221,0)-(2231,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20540	Entity	GPE.Country.Country	JC002YFXO:JC002YGFT:(2397,0)-(2405,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20540	Entity	GPE.Country.Country	JC002YFXO:JC002YGFT:(2397,0)-(2405,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20540	Entity	GPE.Country.Country	JC002YFXO:JC002YGFT:(2874,0)-(2882,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20540	Entity	GPE.Country.Country	JC002YFXO:JC002YGFT:(3079,0)-(3087,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20540	Entity	GPE.Country.Country	JC002YFXO:JC002YGFT:(3079,0)-(3087,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20540	Entity	GPE.Country.Country	JC002YFXO:JC002YGFT:(3163,0)-(3172,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20540	Entity	GPE.Country.Country	JC002YFXO:JC002YGFT:(3194,0)-(3206,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20540	Entity	GPE.Country.Country	JC002YFXO:JC002YGFT:(398,0)-(406,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20540	Entity	GPE.Country.Country	JC002YFXO:JC002YGFT:(580,0)-(590,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20541	Entity	GPE.Country.Country	JC002YFXO:JC002YGFT:(5235,0)-(5236,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20541	Entity	GPE.Country.Country	JC002YFXO:JC002YGFT:(5828,0)-(5829,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20541	Entity	GPE.Country.Country	JC002YFXO:JC002YGFT:(5828,0)-(5829,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20541	Entity	GPE.Country.Country	JC002YFXO:JC002YGFT:(5880,0)-(5890,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20541	Entity	GPE.Country.Country	JC002YFXO:JC002YGFT:(6023,0)-(6024,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20542	Entity	MHI.Disease.Disease	JC002YFXO:JC002YGFT:(1171,0)-(1181,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20542	Entity	MHI.Disease.Disease	JC002YFXO:JC002YGFT:(1246,0)-(1256,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20542	Entity	MHI.Disease.Disease	JC002YFXO:JC002YGFT:(1246,0)-(1256,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20542	Entity	MHI.Disease.Disease	JC002YFXO:JC002YGFT:(1446,0)-(1456,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20542	Entity	MHI.Disease.Disease	JC002YFXO:JC002YGFT:(1515,0)-(1516,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20542	Entity	MHI.Disease.Disease	JC002YFXO:JC002YGFT:(2029,0)-(2039,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20542	Entity	MHI.Disease.Disease	JC002YFXO:JC002YGFT:(2293,0)-(2303,0)	"1.0"	"1.0"	"1.0"
