?metatype	?subject	?predicate	?object	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
Event	cluster-NILV21705	Conflict.Attack_Target	cluster-NILE21717	KC003A7C4:KC003ADUG:(2221,0)-(2230,0)	"1.0"	"1.0"
Event	cluster-NILV21705	Conflict.Attack_Target	cluster-NILE21755	KC003A7C4:KC003ADUG:(2221,0)-(2230,0)	"1.0"	"1.0"
Event	cluster-NILV21705	Life.Die.DeathCausedByViolentEvents_Victim	cluster-NILE21717	KC003A7C4:KC003ADUG:(1928,0)-(1944,0)	"1.0"	"1.0"
Event	cluster-NILV21705	Life.Die.DeathCausedByViolentEvents_Victim	cluster-NILE21717	KC003A7C4:KC003ADUG:(2064,0)-(2073,0)	"1.0"	"1.0"
Event	cluster-NILV21705	Life.Die.DeathCausedByViolentEvents_Victim	cluster-NILE21717	KC003A7C4:KC003ADUG:(2221,0)-(2230,0)	"1.0"	"1.0"
Event	cluster-NILV21705	Life.Die.DeathCausedByViolentEvents_Victim	cluster-NILE21717	KC003A7C4:KC003ADUG:(758,0)-(763,0)	"1.0"	"1.0"
Event	cluster-NILV21705	Life.Die.DeathCausedByViolentEvents_Victim	cluster-NILE21755	KC003A7C4:KC003ADUG:(2221,0)-(2230,0)	"1.0"	"1.0"
Event	cluster-NILV21706	Conflict.Attack_Target	cluster-NILE21725	KC003A7C4:KC003ADUG:(4697,0)-(4706,0)	"1.0"	"1.0"
Event	cluster-NILV21706	Life.Die.DeathCausedByViolentEvents_Victim	cluster-NILE21725	KC003A7C4:KC003ADUG:(4697,0)-(4706,0)	"1.0"	"1.0"
Event	cluster-NILV21707	Contact.PublicStatementInPerson.Broadcast_Communicator	cluster-NILE21735	KC003A7C4:KC003ADUG:(3060,0)-(3072,0)	"1.0"	"1.0"
Event	cluster-NILV21707	Contact.PublicStatementInPerson.Broadcast_Recipient	cluster-NILE21749	KC003A7C4:KC003ADUG:(3060,0)-(3072,0)	"1.0"	"1.0"
Event	cluster-NILV21708	Conflict.Attack_Attacker	cluster-NILE21733	KC003A7C4:KC003ADUG:(1801,0)-(1815,0)	"1.0"	"1.0"
Event	cluster-NILV21708	Conflict.Attack_Attacker	cluster-NILE21752	KC003A7C4:KC003ADUG:(1801,0)-(1815,0)	"1.0"	"1.0"
Event	cluster-NILV21708	Conflict.Attack_Place	cluster-NILE21740	KC003A7C4:KC003ADUG:(93,0)-(99,0)	"1.0"	"1.0"
Event	cluster-NILV21708	Conflict.Attack_Target	cluster-NILE21733	KC003A7C4:KC003ADUG:(1801,0)-(1815,0)	"1.0"	"1.0"
Event	cluster-NILV21708	Conflict.Attack_Target	cluster-NILE21752	KC003A7C4:KC003ADUG:(1801,0)-(1815,0)	"1.0"	"1.0"
Event	cluster-NILV21709	Personnel.Elect_Candidate	cluster-NILE21746	KC003A7C4:KC003ADUG:(1422,0)-(1429,0)	"1.0"	"1.0"
Event	cluster-NILV21709	Personnel.Elect_Candidate	cluster-NILE21746	KC003A7C4:KC003ADUG:(263,0)-(268,0)	"1.0"	"1.0"
Event	cluster-NILV21709	Personnel.Elect_Candidate	cluster-NILE21746	KC003A7C4:KC003ADUG:(3396,0)-(3406,0)	"1.0"	"1.0"
Event	cluster-NILV21710	Life.Injure.InjuryCausedByViolentEvents_Victim	cluster-NILE21756	KC003A7C4:KC003ADUG:(1974,0)-(1980,0)	"1.0"	"1.0"
Event	cluster-NILV21711	Conflict.Demonstrate.MarchProtestPoliticalGathering_Place	cluster-NILE21728	KC003A7C4:KC003ADUG:(1207,0)-(1215,0)	"1.0"	"1.0"
Event	cluster-NILV21711	Conflict.Demonstrate.MarchProtestPoliticalGathering_Place	cluster-NILE21728	KC003A7C4:KC003ADUG:(4505,0)-(4519,0)	"1.0"	"1.0"
Event	cluster-NILV21712	Life.Die.DeathCausedByViolentEvents_Victim	cluster-NILE21716	KC003A7C4:KC003ADUG:(4626,0)-(4632,0)	"1.0"	"1.0"
Event	cluster-NILV21713	Contact.CommandOrder_Communicator	cluster-NILE21739	KC003A7C4:KC003ADUG:(4782,0)-(4786,0)	"1.0"	"1.0"
Event	cluster-NILV21714	Conflict.Demonstrate.MarchProtestPoliticalGathering_Demonstrator	cluster-NILE21752	KC003A7C4:KC003ADUG:(1741,0)-(1749,0)	"1.0"	"1.0"
Event	cluster-NILV21714	Conflict.Demonstrate.MarchProtestPoliticalGathering_Place	cluster-NILE21728	KC003A7C4:KC003ADUG:(1741,0)-(1749,0)	"1.0"	"1.0"
Event	cluster-NILV21714	Movement.TransportPerson_Passenger	cluster-NILE21752	KC003A7C4:KC003ADUG:(1677,0)-(1684,0)	"1.0"	"1.0"
Event	cluster-NILV21716	Contact.PublicStatementInPerson_Communicator	cluster-NILE21734	KC003A7C4:KC003ADUG:(2317,0)-(2331,0)	"1.0"	"1.0"
Relation	cluster-NILR21705	Measurement.Size.Percentage_EntityOrFiller	cluster-NILE21747	KC003A7C4:KC003ADUG:(2446,0)-(2448,0)	"1.0"	"1.0"
Relation	cluster-NILR21705	Measurement.Size.Percentage_Measurement	cluster-NILE21705	KC003A7C4:KC003ADUG:(2446,0)-(2448,0)	"1.0"	"1.0"
Relation	cluster-NILR21706	Measurement.Size.Percentage_EntityOrFiller	cluster-NILE21730	KC003A7C4:KC003ADUG:(2757,0)-(2759,0)	"1.0"	"1.0"
Relation	cluster-NILR21706	Measurement.Size.Percentage_Measurement	cluster-NILE21706	KC003A7C4:KC003ADUG:(2757,0)-(2759,0)	"1.0"	"1.0"
Relation	cluster-NILR21707	Measurement.Size.Count_EntityOrFiller	cluster-NILE21717	KC003A7C4:KC003ADUG:(2209,0)-(2210,0)	"1.0"	"1.0"
Relation	cluster-NILR21707	Measurement.Size.Count_Measurement	cluster-NILE21710	KC003A7C4:KC003ADUG:(2209,0)-(2210,0)	"1.0"	"1.0"
Relation	cluster-NILR21708	Measurement.Size.Count_EntityOrFiller	cluster-NILE21746	KC003A7C4:KC003ADUG:(3414,0)-(3416,0)	"1.0"	"1.0"
Relation	cluster-NILR21708	Measurement.Size.Count_Measurement	cluster-NILE21715	KC003A7C4:KC003ADUG:(3414,0)-(3416,0)	"1.0"	"1.0"
