?cluster	?sa_month	?sa_day	?sa_year	?sb_month	?sb_day	?sb_year	?ea_month	?ea_day	?ea_year	?eb_month	?eb_day	?eb_year
cluster-NILR20915				"07"	"31"	"2017"						
cluster-NILR20916	"07"	"29"	"2017"									
cluster-NILR20917												
cluster-NILR20918												
cluster-NILR20919												
cluster-NILR20920												
cluster-NILR20921												
cluster-NILR20923												
cluster-NILR20924												
cluster-NILR20925												
cluster-NILR20926												
cluster-NILR20927												
cluster-NILR20928				"07"	"30"	"2017"						
cluster-NILR20929				"07"	"30"	"2017"						
cluster-NILR20930												
cluster-NILR20931				"07"	"30"	"2017"						
cluster-NILR20932												
cluster-NILR20933												
cluster-NILR20934												
cluster-NILR20935												
cluster-NILR20936												
cluster-NILR20937												
cluster-NILR20938				"07"	"30"	"2017"						
cluster-NILR20939				"07"	"30"	"2017"						
cluster-NILV20915	"07"	"29"	"2017"							"07"	"30"	"2017"
cluster-NILV20916	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"
cluster-NILV20917	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"
cluster-NILV20918	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"
cluster-NILV20919	"03"	"01"	"2017"				"07"	"30"	"2017"	"07"	"30"	"2017"
cluster-NILV20920	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"
cluster-NILV20921	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"
cluster-NILV20922	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"
cluster-NILV20923	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"
cluster-NILV20924	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"
cluster-NILV20925				"07"	"30"	"2017"						
cluster-NILV20926	"07"	"01"	"2017"	"07"	"31"	"2017"	"07"	"01"	"2017"	"07"	"31"	"2017"
cluster-NILV20927	"01"	"01"	"2013"	"12"	"31"	"2013"	"01"	"01"	"2013"	"12"	"31"	"2013"
cluster-NILV20928	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"
cluster-NILV20929				"07"	"30"	"2017"				"07"	"30"	"2017"
cluster-NILV20930	"07"	"29"	"2017"							"07"	"30"	"2017"
cluster-NILV20931	"07"	"29"	"2017"							"07"	"30"	"2017"
cluster-NILV20932	"04"	"01"	"2017"	"04"	"30"	"2017"						
cluster-NILV20933	"03"	"01"	"2017"	"03"	"31"	"2017"						
cluster-NILV20934	"07"	"01"	"2017"	"07"	"31"	"2017"	"07"	"01"	"2017"	"07"	"31"	"2017"
cluster-NILV20935	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"	"07"	"30"	"2017"
