?cluster	?sa_month	?sa_day	?sa_year	?sb_month	?sb_day	?sb_year	?ea_month	?ea_day	?ea_year	?eb_month	?eb_day	?eb_year
cluster-NILR21055	"08"	"04"	"2018"									
cluster-NILR21056	"08"	"04"	"2018"	"08"	"04"	"2018"						
cluster-NILR21057	"08"	"04"	"2018"									
cluster-NILR21058	"08"	"04"	"2018"									
cluster-NILR21059	"08"	"04"	"2018"									
cluster-NILR21060	"08"	"04"	"2018"				"08"	"04"	"2018"			
cluster-NILR21061				"08"	"04"	"2018"						
cluster-NILR21062	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILR21063	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILR21064												
cluster-NILR21066	"08"	"04"	"2018"									
cluster-NILR21067												
cluster-NILR21068												
cluster-NILR21069												
cluster-NILR21070												
cluster-NILR21071												
cluster-NILR21072				"08"	"04"	"2018"	"08"	"04"	"2018"			
cluster-NILR21073												
cluster-NILR21074												
cluster-NILR21075												
cluster-NILR21076												
cluster-NILR21077	"08"	"04"	"2018"	"08"	"04"	"2018"						
cluster-NILR21078				"08"	"04"	"2018"						
cluster-NILR21079												
cluster-NILR21080				"08"	"04"	"2018"						
cluster-NILR21081												
cluster-NILR21082				"08"	"04"	"2018"	"08"	"04"	"2018"			
cluster-NILR21084												
cluster-NILR21085												
cluster-NILR21086	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILR21087	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILR21088				"08"	"04"	"2018"						
cluster-NILR21089				"08"	"04"	"2018"						
cluster-NILR21090												
cluster-NILR21091												
cluster-NILR21092				"08"	"04"	"2018"						
cluster-NILR21093				"08"	"04"	"2018"						
cluster-NILR21094				"08"	"31"	"2017"						
cluster-NILR21095				"08"	"04"	"2018"						
cluster-NILR21096				"08"	"04"	"2018"						
cluster-NILR21097				"08"	"04"	"2018"						
cluster-NILR21098				"08"	"04"	"2018"						
cluster-NILR21099				"08"	"04"	"2018"	"08"	"04"	"2018"			
cluster-NILR21100												
cluster-NILR21101												
cluster-NILR21102				"08"	"04"	"2018"						
cluster-NILR21103												
cluster-NILR21104												
cluster-NILR21105												
cluster-NILR21106												
cluster-NILR21107												
cluster-NILR21108												
cluster-NILR21109												
cluster-NILV21055	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV21056	"08"	"01"	"2017"	"08"	"31"	"2017"	"08"	"01"	"2017"	"08"	"31"	"2017"
cluster-NILV21057	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV21058	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV21059				"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV21060	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV21061	"08"	"04"	"2018"				"08"	"04"	"2018"			
cluster-NILV21062	"08"	"04"	"2018"				"08"	"04"	"2018"			
cluster-NILV21063	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV21064	"08"	"04"	"2018"	"08"	"10"	"2018"	"08"	"10"	"2018"	"08"	"10"	"2018"
cluster-NILV21065	"08"	"04"	"2018"				"08"	"04"	"2018"			
cluster-NILV21066	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV21067	"08"	"04"	"2018"				"08"	"04"	"2018"			
cluster-NILV21068	"08"	"04"	"2018"				"08"	"04"	"2018"			
cluster-NILV21069				"08"	"04"	"2018"				"08"	"04"	"2018"
cluster-NILV21070				"08"	"04"	"2018"				"08"	"04"	"2018"
cluster-NILV21071				"08"	"31"	"2017"				"08"	"31"	"2017"
cluster-NILV21072	"05"	"01"	"2018"	"05"	"31"	"2018"	"05"	"01"	"2018"	"05"	"31"	"2018"
cluster-NILV21073	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV21074	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV21075	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV21076	"08"	"04"	"2018"									
cluster-NILV21077	"08"	"04"	"2018"				"08"	"04"	"2018"			
