?metatype	?subject	?predicate	?object	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
Event	cluster-NILV20001	Disaster.AccidentCrash.AccidentCrash_CrashObject	cluster-NILE20001	IC001V8WF:IC001VBI8:(1998,0)-(2004,0)	"1.0"	"1.0"
Event	cluster-NILV20001	Disaster.AccidentCrash.AccidentCrash_Vehicle	cluster-NILE20021	IC001V8WF:IC001VBI8:(1998,0)-(2004,0)	"1.0"	"1.0"
Event	cluster-NILV20001	Disaster.AccidentCrash.AccidentCrash_Vehicle	cluster-NILE20022	IC001V8WF:IC001VBI8:(2045,0)-(2052,0)	"1.0"	"1.0"
Event	cluster-NILV20001	Disaster.FireExplosion.FireExplosion_Instrument	cluster-NILE20020	IC001V8WF:IC001VBI8:(180,0)-(187,0)	"1.0"	"1.0"
Event	cluster-NILV20001	Disaster.FireExplosion.FireExplosion_Instrument	cluster-NILE20020	IC001V8WF:IC001VBI8:(536,0)-(543,0)	"1.0"	"1.0"
Event	cluster-NILV20001	Disaster.FireExplosion.FireExplosion_Place	cluster-NILE20003	IC001V8WF:IC001VBI8:(180,0)-(187,0)	"1.0"	"1.0"
Event	cluster-NILV20002	Justice.ArrestJailDetain.ArrestJailDetain_Crime	cluster-NILV20005	IC001V8WF:IC001VBI8:(1074,0)-(1081,0)	"1.0"	"1.0"
Event	cluster-NILV20002	Justice.ArrestJailDetain.ArrestJailDetain_Crime	cluster-NILV20005	IC001V8WF:IC001VBI8:(1752,0)-(1759,0)	"1.0"	"1.0"
Event	cluster-NILV20002	Justice.ArrestJailDetain.ArrestJailDetain_Detainee	cluster-NILE20008	IC001V8WF:IC001VBI8:(1074,0)-(1081,0)	"1.0"	"1.0"
Event	cluster-NILV20002	Justice.ArrestJailDetain.ArrestJailDetain_Jailer	cluster-NILE20009	IC001V8WF:IC001VBI8:(1074,0)-(1081,0)	"1.0"	"1.0"
Event	cluster-NILV20002	Justice.ArrestJailDetain.ArrestJailDetain_Jailer	cluster-NILE20011	IC001V8WF:IC001VBI8:(1752,0)-(1759,0)	"1.0"	"1.0"
Event	cluster-NILV20003	ArtifactExistence.ArtifactFailure.MechanicalFailure_MechanicalArtifact	cluster-NILE20020	IC001V8WF:IC001VBI8:(1968,0)-(1980,0)	"1.0"	"1.0"
Event	cluster-NILV20004	ArtifactExistence.ArtifactFailure.MechanicalFailure_MechanicalArtifact	cluster-NILE20022	IC001V8WF:IC001VBI8:(2068,0)-(2078,0)	"1.0"	"1.0"
Event	cluster-NILV20005	Conflict.Attack_Instrument	cluster-NILE20020	IC001V8WF:IC001VBI8:(2115,0)-(2120,0)	"1.0"	"1.0"
Event	cluster-NILV20005	Conflict.Attack_Target	cluster-NILE20005	IC001V8WF:IC001VBI8:(2115,0)-(2120,0)	"1.0"	"1.0"
Event	cluster-NILV20005	Conflict.Attack_Target	cluster-NILE20005	IC001V8WF:IC001VBI8:(382,0)-(392,0)	"1.0"	"1.0"
Event	cluster-NILV20005	Inspection.TargetAimAt.TargetAimAt_Instrument	cluster-NILE20020	IC001V8WF:IC001VBI8:(2211,0)-(2216,0)	"1.0"	"1.0"
Event	cluster-NILV20005	Inspection.TargetAimAt.TargetAimAt_Target	cluster-NILE20005	IC001V8WF:IC001VBI8:(2211,0)-(2216,0)	"1.0"	"1.0"
Event	cluster-NILV20006	Life.Injure.InjuryCausedByViolentEvents_Instrument	cluster-NILE20020	IC001V8WF:IC001VBI8:(500,0)-(505,0)	"1.0"	"1.0"
Event	cluster-NILV20006	Life.Injure.InjuryCausedByViolentEvents_Victim	cluster-NILE20005	IC001V8WF:IC001VBI8:(500,0)-(505,0)	"1.0"	"1.0"
Event	cluster-NILV20007	Life.Injure.InjuryCausedByViolentEvents_Victim	cluster-NILE20012	IC001V8WF:IC001VBI8:(2131,0)-(2138,0)	"1.0"	"1.0"
Event	cluster-NILV20008	Justice.Investigate.InvestigateCrime_Crime	cluster-NILV20005	IC001V8WF:IC001VBI8:(841,0)-(854,0)	"1.0"	"1.0"
Event	cluster-NILV20008	Justice.Investigate.InvestigateCrime_Defendant	cluster-NILE20007	IC001V8WF:IC001VBI8:(841,0)-(854,0)	"1.0"	"1.0"
Event	cluster-NILV20009	Contact.PublicStatementInPerson_Communicator	cluster-NILE20005	IC001V8WF:IC001VBI8:(218,0)-(225,0)	"1.0"	"1.0"
Event	cluster-NILV20009	Contact.PublicStatementInPerson_Communicator	cluster-NILE20005	IC001V8WF:IC001VBI8:(447,0)-(453,0)	"1.0"	"1.0"
Event	cluster-NILV20009	Contact.PublicStatementInPerson_Place	cluster-NILE20003	IC001V8WF:IC001VBI8:(218,0)-(225,0)	"1.0"	"1.0"
Event	cluster-NILV20009	Contact.PublicStatementInPerson_Recipient	cluster-NILE20006	IC001V8WF:IC001VBI8:(447,0)-(453,0)	"1.0"	"1.0"
Event	cluster-NILV20010	Contact.PublicStatementInPerson_Communicator	cluster-NILE20005	IC001V8WF:IC001VBI8:(568,0)-(573,0)	"1.0"	"1.0"
Event	cluster-NILV20011	Contact.PublicStatementInPerson_Communicator	cluster-NILE20010	IC001V8WF:IC001VBI8:(1717,0)-(1725,0)	"1.0"	"1.0"
Event	cluster-NILV20012	Movement.TransportArtifact.BringCarryUnload_Artifact	cluster-NILE20023	IC001V8WF:IC001VBI8:(156,0)-(171,0)	"1.0"	"1.0"
Event	cluster-NILV20012	Movement.TransportArtifact.BringCarryUnload_Artifact	cluster-NILE20023	IC001V8WF:IC001VBI8:(1869,0)-(1876,0)	"1.0"	"1.0"
Event	cluster-NILV20012	Movement.TransportArtifact.BringCarryUnload_Artifact	cluster-NILE20023	IC001V8WF:IC001VBI8:(512,0)-(527,0)	"1.0"	"1.0"
Event	cluster-NILV20012	Movement.TransportArtifact.BringCarryUnload_Destination	cluster-NILE20003	IC001V8WF:IC001VBI8:(156,0)-(171,0)	"1.0"	"1.0"
Event	cluster-NILV20012	Movement.TransportArtifact.BringCarryUnload_Vehicle	cluster-NILE20020	IC001V8WF:IC001VBI8:(156,0)-(171,0)	"1.0"	"1.0"
Event	cluster-NILV20012	Movement.TransportArtifact.BringCarryUnload_Vehicle	cluster-NILE20020	IC001V8WF:IC001VBI8:(1869,0)-(1876,0)	"1.0"	"1.0"
Event	cluster-NILV20012	Movement.TransportArtifact.BringCarryUnload_Vehicle	cluster-NILE20020	IC001V8WF:IC001VBI8:(512,0)-(527,0)	"1.0"	"1.0"
Relation	cluster-NILR20001	ResponsibilityBlame.AssignBlame.AssignBlame_EntityResponsible	cluster-NILE20007	IC001V8WF:IC001VBI8:(594,0)-(597,0)	"1.0"	"1.0"
Relation	cluster-NILR20001	ResponsibilityBlame.AssignBlame.AssignBlame_EntityResponsible	cluster-NILE20007	IC001V8WF:IC001VBI8:(813,0)-(821,0)	"1.0"	"1.0"
Relation	cluster-NILR20001	ResponsibilityBlame.AssignBlame.AssignBlame_Event	cluster-NILV20005	IC001V8WF:IC001VBI8:(594,0)-(597,0)	"1.0"	"1.0"
Relation	cluster-NILR20001	ResponsibilityBlame.AssignBlame.AssignBlame_Event	cluster-NILV20005	IC001V8WF:IC001VBI8:(813,0)-(821,0)	"1.0"	"1.0"
Relation	cluster-NILR20002	ResponsibilityBlame.AssignBlame.AssignBlame_EntityResponsible	cluster-NILE20008	IC001V8WF:IC001VBI8:(939,0)-(949,0)	"1.0"	"1.0"
Relation	cluster-NILR20002	ResponsibilityBlame.AssignBlame.AssignBlame_Event	cluster-NILV20005	IC001V8WF:IC001VBI8:(939,0)-(949,0)	"1.0"	"1.0"
Relation	cluster-NILR20003	ResponsibilityBlame.AssignBlame.AssignBlame_EntityResponsible	cluster-NILE20013	IC001V8WF:IC001VBI8:(312,0)-(318,0)	"1.0"	"1.0"
Relation	cluster-NILR20003	ResponsibilityBlame.AssignBlame.AssignBlame_Event	cluster-NILV20005	IC001V8WF:IC001VBI8:(312,0)-(318,0)	"1.0"	"1.0"
Relation	cluster-NILR20004	OrganizationAffiliation.Leadership.HeadOfState_Country	cluster-NILE20002	IC001V8WF:IC001VBI8:(125,0)-(133,0)	"1.0"	"1.0"
Relation	cluster-NILR20004	OrganizationAffiliation.Leadership.HeadOfState_Country	cluster-NILE20002	IC001V8WF:IC001VBI8:(283,0)-(291,0)	"1.0"	"1.0"
Relation	cluster-NILR20004	OrganizationAffiliation.Leadership.HeadOfState_Leader	cluster-NILE20005	IC001V8WF:IC001VBI8:(125,0)-(133,0)	"1.0"	"1.0"
Relation	cluster-NILR20004	OrganizationAffiliation.Leadership.HeadOfState_Leader	cluster-NILE20005	IC001V8WF:IC001VBI8:(283,0)-(291,0)	"1.0"	"1.0"
Relation	cluster-NILR20005	Measurement.Size.Count_EntityOrFiller	cluster-NILE20011	IC001V8WF:IC001VBI8:(1732,0)-(1734,0)	"1.0"	"1.0"
Relation	cluster-NILR20005	Measurement.Size.Count_Measurement	cluster-NILE20017	IC001V8WF:IC001VBI8:(1732,0)-(1734,0)	"1.0"	"1.0"
Relation	cluster-NILR20006	Measurement.Size.Count_EntityOrFiller	cluster-NILE20020	IC001V8WF:IC001VBI8:(1829,0)-(1832,0)	"1.0"	"1.0"
Relation	cluster-NILR20006	Measurement.Size.Count_Measurement	cluster-NILE20018	IC001V8WF:IC001VBI8:(1829,0)-(1832,0)	"1.0"	"1.0"
Relation	cluster-NILR20007	Measurement.Size.Count_EntityOrFiller	cluster-NILE20012	IC001V8WF:IC001VBI8:(2149,0)-(2153,0)	"1.0"	"1.0"
Relation	cluster-NILR20007	Measurement.Size.Count_Measurement	cluster-NILE20016	IC001V8WF:IC001VBI8:(2149,0)-(2153,0)	"1.0"	"1.0"
Relation	cluster-NILR20008	GeneralAffiliation.Sponsorship.Affiliated_ActorOrEvent	cluster-NILV20005	IC001V8WF:IC001VBI8:(1764,0)-(1773,0)	"1.0"	"1.0"
Relation	cluster-NILR20008	GeneralAffiliation.Sponsorship.Affiliated_Sponsor	cluster-NILE20011	IC001V8WF:IC001VBI8:(1764,0)-(1773,0)	"1.0"	"1.0"
Relation	cluster-NILR20009	GeneralAffiliation.Sponsorship.Affiliated_ActorOrEvent	cluster-NILV20005	IC001V8WF:IC001VBI8:(690,0)-(703,0)	"1.0"	"1.0"
Relation	cluster-NILR20009	GeneralAffiliation.Sponsorship.Affiliated_Sponsor	cluster-NILE20007	IC001V8WF:IC001VBI8:(690,0)-(703,0)	"1.0"	"1.0"
Relation	cluster-NILR20010	GeneralAffiliation.Sponsorship.Affiliated_ActorOrEvent	cluster-NILV20005	IC001V8WF:IC001VBI8:(977,0)-(984,0)	"1.0"	"1.0"
Relation	cluster-NILR20010	GeneralAffiliation.Sponsorship.Affiliated_Sponsor	cluster-NILE20008	IC001V8WF:IC001VBI8:(977,0)-(984,0)	"1.0"	"1.0"
