?cluster	?sa_month	?sa_day	?sa_year	?sb_month	?sb_day	?sb_year	?ea_month	?ea_day	?ea_year	?eb_month	?eb_day	?eb_year
cluster-NILR21230												
cluster-NILR21231												
cluster-NILR21232												
cluster-NILV21230	"07"	"31"	"2018"							"08"	"04"	"2018"
cluster-NILV21231	"08"	"04"	"2014"							"08"	"10"	"2018"
cluster-NILV21232	"08"	"04"	"2018"							"08"	"10"	"2018"
cluster-NILV21233	"08"	"04"	"2018"							"08"	"10"	"2018"
cluster-NILV21234	"08"	"04"	"2018"							"08"	"10"	"2018"
cluster-NILV21235	"08"	"04"	"2018"							"08"	"10"	"2018"
cluster-NILV21236				"08"	"10"	"2018"				"08"	"10"	"2018"
cluster-NILV21237				"08"	"10"	"2018"				"08"	"10"	"2018"
