?metatype	?subject	?predicate	?object	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
Event	cluster-NILV22340	Movement.TransportPerson.SelfMotion_Destination	cluster-NILE22342	JC002YC3Z:JC002YEMF:(122,0)-(129,0)	"1.0"	"1.0"
Event	cluster-NILV22340	Movement.TransportPerson.SelfMotion_Destination	cluster-NILE22342	JC002YC3Z:JC002YEMF:(554,0)-(560,0)	"1.0"	"1.0"
Event	cluster-NILV22340	Movement.TransportPerson.SelfMotion_Origin	cluster-NILE22360	JC002YC3Z:JC002YEMF:(554,0)-(560,0)	"1.0"	"1.0"
Event	cluster-NILV22340	Movement.TransportPerson.SelfMotion_Transporter	cluster-NILE22354	JC002YC3Z:JC002YEMF:(554,0)-(560,0)	"1.0"	"1.0"
Event	cluster-NILV22340	Movement.TransportPerson.SelfMotion_Transporter	cluster-NILE22355	JC002YC3Z:JC002YEMF:(122,0)-(129,0)	"1.0"	"1.0"
Event	cluster-NILV22341	Conflict.Attack.BiologicalChemicalPoisonAttack_Attacker	cluster-NILE22352	JC002YC3Z:JC002YEMF:(773,0)-(780,0)	"1.0"	"1.0"
Event	cluster-NILV22341	Conflict.Attack.BiologicalChemicalPoisonAttack_Attacker	cluster-NILE22358	JC002YC3Z:JC002YEMF:(297,0)-(308,0)	"1.0"	"1.0"
Event	cluster-NILV22341	Conflict.Attack.BiologicalChemicalPoisonAttack_Instrument	cluster-NILE22347	JC002YC3Z:JC002YEMF:(297,0)-(308,0)	"1.0"	"1.0"
Event	cluster-NILV22341	Conflict.Attack.BiologicalChemicalPoisonAttack_Instrument	cluster-NILE22347	JC002YC3Z:JC002YEMF:(773,0)-(780,0)	"1.0"	"1.0"
Event	cluster-NILV22341	Conflict.Attack.BiologicalChemicalPoisonAttack_Target	cluster-NILE22340	JC002YC3Z:JC002YEMF:(773,0)-(780,0)	"1.0"	"1.0"
Event	cluster-NILV22341	Conflict.Attack.BiologicalChemicalPoisonAttack_Target	cluster-NILE22356	JC002YC3Z:JC002YEMF:(297,0)-(308,0)	"1.0"	"1.0"
Event	cluster-NILV22342	Disaster.DiseaseOutbreak.DiseaseOutbreak_Disease	cluster-NILE22344	JC002YC3Z:JC002YEMF:(1098,0)-(1106,0)	"1.0"	"1.0"
Event	cluster-NILV22342	Disaster.DiseaseOutbreak.DiseaseOutbreak_Place	cluster-NILE22340	JC002YC3Z:JC002YEMF:(1098,0)-(1106,0)	"1.0"	"1.0"
Event	cluster-NILV22343	Life.Die.NonviolentDeath_MedicalIssue	cluster-NILE22344	JC002YC3Z:JC002YEMF:(1165,0)-(1170,0)	"1.0"	"1.0"
Event	cluster-NILV22343	Life.Die.NonviolentDeath_Place	cluster-NILE22340	JC002YC3Z:JC002YEMF:(1165,0)-(1170,0)	"1.0"	"1.0"
Event	cluster-NILV22343	Life.Die.NonviolentDeath_Place	cluster-NILE22340	JC002YC3Z:JC002YEMF:(1363,0)-(1368,0)	"1.0"	"1.0"
Event	cluster-NILV22343	Life.Die.NonviolentDeath_Victim	cluster-NILE22348	JC002YC3Z:JC002YEMF:(1165,0)-(1170,0)	"1.0"	"1.0"
Event	cluster-NILV22343	Life.Die.NonviolentDeath_Victim	cluster-NILE22348	JC002YC3Z:JC002YEMF:(1363,0)-(1368,0)	"1.0"	"1.0"
