?metatype	?subject	?predicate	?object	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
Event	cluster-NILV22385	Disaster.DiseaseOutbreak.DiseaseOutbreak_Disease	cluster-NILE22388	JC002YC48:JC002YEMH:(11,0)-(17,0)	"1.0"	"1.0"
Event	cluster-NILV22385	Disaster.DiseaseOutbreak.DiseaseOutbreak_Disease	cluster-NILE22388	JC002YC48:JC002YEMH:(243,0)-(263,0)	"1.0"	"1.0"
Event	cluster-NILV22385	Disaster.DiseaseOutbreak.DiseaseOutbreak_Disease	cluster-NILE22388	JC002YC48:JC002YEMH:(51,0)-(66,0)	"1.0"	"1.0"
Event	cluster-NILV22385	Disaster.DiseaseOutbreak.DiseaseOutbreak_Place	cluster-NILE22392	JC002YC48:JC002YEMH:(11,0)-(17,0)	"1.0"	"1.0"
Event	cluster-NILV22385	Disaster.DiseaseOutbreak.DiseaseOutbreak_Place	cluster-NILE22392	JC002YC48:JC002YEMH:(243,0)-(263,0)	"1.0"	"1.0"
Event	cluster-NILV22385	Disaster.DiseaseOutbreak.DiseaseOutbreak_Place	cluster-NILE22392	JC002YC48:JC002YEMH:(51,0)-(66,0)	"1.0"	"1.0"
Event	cluster-NILV22386	Disaster.DiseaseOutbreak.DiseaseOutbreak_Disease	cluster-NILE22388	JC002YC48:JC002YEMH:(624,0)-(632,0)	"1.0"	"1.0"
Event	cluster-NILV22386	Disaster.DiseaseOutbreak.DiseaseOutbreak_Place	cluster-NILE22389	JC002YC48:JC002YEMH:(624,0)-(632,0)	"1.0"	"1.0"
Event	cluster-NILV22388	Movement.TransportPerson.SelfMotion_Origin	cluster-NILE22396	JC002YC48:JC002YEMH:(751,0)-(757,0)	"1.0"	"1.0"
Event	cluster-NILV22388	Movement.TransportPerson.SelfMotion_Transporter	cluster-NILE22394	JC002YC48:JC002YEMH:(751,0)-(757,0)	"1.0"	"1.0"
Relation	cluster-NILR22385	Measurement.Size.Count_EntityOrFiller	cluster-NILE22388	JC002YC48:JC002YEMH:(68,0)-(76,0)	"1.0"	"1.0"
Relation	cluster-NILR22385	Measurement.Size.Count_Measurement	cluster-NILE22398	JC002YC48:JC002YEMH:(68,0)-(76,0)	"1.0"	"1.0"
Relation	cluster-NILR22386	Physical.Resident.Resident_Place	cluster-NILE22386	JC002YC48:JC002YEMH:(361,0)-(361,0)	"1.0"	"1.0"
Relation	cluster-NILR22386	Physical.Resident.Resident_Resident	cluster-NILE22400	JC002YC48:JC002YEMH:(361,0)-(361,0)	"1.0"	"1.0"
Relation	cluster-NILR22387	Physical.Resident.Resident_Place	cluster-NILE22397	JC002YC48:JC002YEMH:(381,0)-(381,0)	"1.0"	"1.0"
Relation	cluster-NILR22387	Physical.Resident.Resident_Resident	cluster-NILE22400	JC002YC48:JC002YEMH:(381,0)-(381,0)	"1.0"	"1.0"
Relation	cluster-NILR22388	Physical.Resident.Resident_Place	cluster-NILE22385	JC002YC48:JC002YEMH:(381,0)-(381,0)	"1.0"	"1.0"
Relation	cluster-NILR22388	Physical.Resident.Resident_Resident	cluster-NILE22400	JC002YC48:JC002YEMH:(381,0)-(381,0)	"1.0"	"1.0"
Relation	cluster-NILR22389	Physical.Resident.Resident_Place	cluster-NILE22391	JC002YC48:JC002YEMH:(381,0)-(381,0)	"1.0"	"1.0"
Relation	cluster-NILR22389	Physical.Resident.Resident_Resident	cluster-NILE22400	JC002YC48:JC002YEMH:(381,0)-(381,0)	"1.0"	"1.0"
Relation	cluster-NILR22390	Physical.Resident.Resident_Place	cluster-NILE22387	JC002YC48:JC002YEMH:(310,0)-(318,0)	"1.0"	"1.0"
Relation	cluster-NILR22390	Physical.Resident.Resident_Resident	cluster-NILE22400	JC002YC48:JC002YEMH:(310,0)-(318,0)	"1.0"	"1.0"
Relation	cluster-NILR22391	Physical.Resident.Resident_Place	cluster-NILE22393	JC002YC48:JC002YEMH:(310,0)-(318,0)	"1.0"	"1.0"
Relation	cluster-NILR22391	Physical.Resident.Resident_Resident	cluster-NILE22400	JC002YC48:JC002YEMH:(310,0)-(318,0)	"1.0"	"1.0"
