?cluster	?metatype	?type	?mention_span	?type_statement_confidence	?cluster_membership_confidence	?mention_type_justification_confidence
cluster-NILE21705	Entity	VAL.Number.Number	KC003A7C4:KC003ADUG:(1090,0)-(1096,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21705	Entity	VAL.Number.Number	KC003A7C4:KC003ADUG:(2446,0)-(2448,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21706	Entity	VAL.Number.Number	KC003A7C4:KC003ADUG:(2757,0)-(2759,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21707	Entity	VAL.Number.Number	KC003A7C4:KC003ADUG:(76,0)-(78,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21708	Entity	VAL.Number.Number	KC003A7C4:KC003ADUG:(4950,0)-(4952,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21709	Entity	VAL.Number.Number	KC003A7C4:KC003ADUG:(1914,0)-(1915,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21709	Entity	VAL.Number.Number	KC003A7C4:KC003ADUG:(2257,0)-(2258,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21710	Entity	VAL.Number.Number	KC003A7C4:KC003ADUG:(2092,0)-(2093,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21710	Entity	VAL.Number.Number	KC003A7C4:KC003ADUG:(2209,0)-(2210,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21711	Entity	VAL.Number.Number	KC003A7C4:KC003ADUG:(83,0)-(84,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21712	Entity	VAL.Number.Number	KC003A7C4:KC003ADUG:(1919,0)-(1920,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21713	Entity	VAL.Number.Number	KC003A7C4:KC003ADUG:(4613,0)-(4615,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21714	Entity	VAL.Number.Number	KC003A7C4:KC003ADUG:(2804,0)-(2806,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21715	Entity	VAL.Number.Number	KC003A7C4:KC003ADUG:(3414,0)-(3416,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21716	Entity	PER	KC003A7C4:KC003ADUG:(4613,0)-(4624,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21717	Entity	PER	KC003A7C4:KC003ADUG:(1858,0)-(1925,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21717	Entity	PER	KC003A7C4:KC003ADUG:(1888,0)-(1892,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21717	Entity	PER	KC003A7C4:KC003ADUG:(2064,0)-(2073,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21717	Entity	PER	KC003A7C4:KC003ADUG:(2209,0)-(2219,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21717	Entity	PER	KC003A7C4:KC003ADUG:(782,0)-(803,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21718	Entity	VAL.Number.Number	KC003A7C4:KC003ADUG:(1109,0)-(1130,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21718	Entity	VAL.Number.Number	KC003A7C4:KC003ADUG:(2516,0)-(2524,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21719	Entity	VAL.Number.Number	KC003A7C4:KC003ADUG:(923,0)-(929,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21720	Entity	PER	KC003A7C4:KC003ADUG:(1090,0)-(1106,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21720	Entity	PER	KC003A7C4:KC003ADUG:(1135,0)-(1142,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21720	Entity	PER	KC003A7C4:KC003ADUG:(2443,0)-(2467,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21720	Entity	PER	KC003A7C4:KC003ADUG:(603,0)-(620,0)	"1.0"	"1.0"	"1.0"
