?metatype	?subject	?predicate	?object	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
Event	cluster-NILV20915	Life.Die.DeathCausedByViolentEvents_Victim	cluster-NILE20970	KC003A9VN:KC003ADPC:(5693,0)-(5702,0)	"1.0"	"1.0"
Event	cluster-NILV20915	Life.Die.DeathCausedByViolentEvents_Victim	cluster-NILE20970	KC003A9VN:KC003ADPC:(5776,0)-(5781,0)	"1.0"	"1.0"
Event	cluster-NILV20916	Government.Vote.CastVote_Place	cluster-NILE20971	KC003A9VN:KC003ADPC:(2755,0)-(2759,0)	"1.0"	"1.0"
Event	cluster-NILV20916	Government.Vote.CastVote_Voter	cluster-NILE20928	KC003A9VN:KC003ADPC:(2755,0)-(2759,0)	"1.0"	"1.0"
Event	cluster-NILV20917	Government.Vote.CastVote_Place	cluster-NILE20976	KC003A9VN:KC003ADPC:(6420,0)-(6425,0)	"1.0"	"1.0"
Event	cluster-NILV20917	Government.Vote.CastVote_Voter	cluster-NILE20935	KC003A9VN:KC003ADPC:(6420,0)-(6425,0)	"1.0"	"1.0"
Event	cluster-NILV20918	Life.Die.DeathCausedByViolentEvents_Place	cluster-NILE20949	KC003A9VN:KC003ADPC:(107,0)-(112,0)	"1.0"	"1.0"
Event	cluster-NILV20918	Life.Die.DeathCausedByViolentEvents_Victim	cluster-NILE20943	KC003A9VN:KC003ADPC:(607,0)-(612,0)	"1.0"	"1.0"
Event	cluster-NILV20919	Life.Die.DeathCausedByViolentEvents_Victim	cluster-NILE20990	KC003A9VN:KC003ADPC:(959,0)-(964,0)	"1.0"	"1.0"
Event	cluster-NILV20920	Government.Vote.CastVote_Result	cluster-NILE20960	KC003A9VN:KC003ADPC:(4043,0)-(4047,0)	"1.0"	"1.0"
Event	cluster-NILV20920	Government.Vote.CastVote_Result	cluster-NILE20975	KC003A9VN:KC003ADPC:(4043,0)-(4047,0)	"1.0"	"1.0"
Event	cluster-NILV20920	Government.Vote.CastVote_Voter	cluster-NILE20961	KC003A9VN:KC003ADPC:(4043,0)-(4047,0)	"1.0"	"1.0"
Event	cluster-NILV20921	Conflict.Demonstrate.MarchProtestPoliticalGathering_Place	cluster-NILE20949	KC003A9VN:KC003ADPC:(114,0)-(121,0)	"1.0"	"1.0"
