?cluster	?sa_month	?sa_day	?sa_year	?sb_month	?sb_day	?sb_year	?ea_month	?ea_day	?ea_year	?eb_month	?eb_day	?eb_year
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILR21620>												
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILR21621>				"09"	"12"	"2014"						
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILR21622>												
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILR21623>												
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILV21630>	"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILV21631>				"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILV21633>				"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILV21634>				"09"	"13"	"2014"				"09"	"13"	"2014"
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILV21635>				"09"	"15"	"2014"				"09"	"15"	"2014"
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILV21636>				"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILV21637>				"09"	"13"	"2014"				"09"	"13"	"2014"
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILV21639>				"09"	"15"	"2014"						
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILV21640>				"09"	"15"	"2014"						
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILV21641>				"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILV21642>				"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILV21643>				"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILV21644>				"09"	"15"	"2014"				"09"	"15"	"2014"
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILV21645>	"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILV21646>	"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILV21647>				"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
<https://raw.githubusercontent.com/NextCenturyCorporation/AIDA-Interchange-Format/master/java/src/main/resources/com/ncc/aif/ontologies/LdcAnnotations#cluster-NILV21648>				"09"	"15"	"2014"	"09"	"15"	"2014"	"09"	"15"	"2014"
