DocID     RunID       Language Metatype GoldClusterID     SystemClusterID     Prec Recall     F1
IC001V6F1 example-run RUS      Event    cluster-NILV21868 cluster-NILV21868 1.0000 1.0000 1.0000
IC001V6F1 example-run RUS      Event    cluster-NILV21869 cluster-NILV21869 1.0000 1.0000 1.0000
IC001V6F1 example-run RUS      Event    cluster-NILV21870 cluster-NILV21870 1.0000 1.0000 1.0000
IC001V6F1 example-run RUS      Event    cluster-NILV21871 cluster-NILV21871 1.0000 1.0000 1.0000
IC001V6F1 example-run RUS      Event    cluster-NILV21872 cluster-NILV21872 1.0000 1.0000 1.0000
IC001V6F1 example-run RUS      Event    cluster-NILV21874 cluster-NILV21874 1.0000 1.0000 1.0000
IC001V6F1 example-run RUS      Event    cluster-NILV21875 cluster-NILV21875 1.0000 1.0000 1.0000
IC001V6F1 example-run RUS      Event    cluster-NILV21876 cluster-NILV21876 1.0000 1.0000 1.0000
IC001V6F1 example-run RUS      Relation cluster-NILR21855 cluster-NILR21855 1.0000 1.0000 1.0000
IC001V6F1 example-run RUS      Relation cluster-NILR21856 cluster-NILR21856 1.0000 1.0000 1.0000
IC001V6F1 example-run RUS      Relation cluster-NILR21857 cluster-NILR21857 1.0000 1.0000 1.0000
IC001V6F1 example-run RUS      Relation cluster-NILR21858 cluster-NILR21858 1.0000 1.0000 1.0000
IC001V6F1 example-run RUS      Relation cluster-NILR21859 cluster-NILR21859 1.0000 1.0000 1.0000
IC001V6F1 example-run RUS      Relation cluster-NILR21860 cluster-NILR21860 1.0000 1.0000 1.0000
IC001V6OI example-run RUS      Event    cluster-NILV21960 cluster-NILV21960 1.0000 1.0000 1.0000
IC001V6OI example-run RUS      Event    cluster-NILV21961 cluster-NILV21961 1.0000 1.0000 1.0000
IC001V6OI example-run RUS      Event    cluster-NILV21962 cluster-NILV21962 1.0000 1.0000 1.0000
IC001V6OI example-run RUS      Event    cluster-NILV21964 cluster-NILV21964 1.0000 1.0000 1.0000
IC001V6OI example-run RUS      Event    cluster-NILV21965 cluster-NILV21965 1.0000 1.0000 1.0000
IC001V6OI example-run RUS      Relation cluster-NILR21960 cluster-NILR21960 1.0000 1.0000 1.0000
IC001V6OI example-run RUS      Relation cluster-NILR21962 cluster-NILR21962 1.0000 1.0000 1.0000
IC001V6OI example-run RUS      Relation cluster-NILR21964 cluster-NILR21964 1.0000 1.0000 1.0000
IC001V6OI example-run RUS      Relation cluster-NILR21965 cluster-NILR21965 1.0000 1.0000 1.0000
IC001V6OI example-run RUS      Relation cluster-NILR21966 cluster-NILR21966 1.0000 1.0000 1.0000
IC001V76J example-run RUS      Event    cluster-NILV22021 cluster-NILV22021 1.0000 1.0000 1.0000
IC001V76J example-run RUS      Event    cluster-NILV22022 cluster-NILV22022 1.0000 1.0000 1.0000
IC001V76J example-run RUS      Event    cluster-NILV22023 cluster-NILV22023 1.0000 1.0000 1.0000
IC001V76J example-run RUS      Event    cluster-NILV22024 cluster-NILV22024 1.0000 1.0000 1.0000
IC001V76J example-run RUS      Event    cluster-NILV22025 cluster-NILV22025 1.0000 1.0000 1.0000
IC001V76J example-run RUS      Event    cluster-NILV22026 cluster-NILV22026 1.0000 1.0000 1.0000
