metatype	system_or_gold1	cluster1	system_or_gold2	cluster2	similarity
Entity	system	cluster-NILE21230	system	cluster-NILE21230	3
Entity	system	cluster-NILE21230	system	cluster-NILE21231	0
Entity	system	cluster-NILE21230	system	cluster-NILE21232	0
Entity	system	cluster-NILE21230	system	cluster-NILE21233	0
Entity	system	cluster-NILE21230	system	cluster-NILE21234	0
Entity	system	cluster-NILE21230	system	cluster-NILE21235	0
Entity	system	cluster-NILE21230	system	cluster-NILE21236	0
Entity	system	cluster-NILE21230	system	cluster-NILE21237	0
Entity	system	cluster-NILE21230	system	cluster-NILE21238	0
Entity	system	cluster-NILE21230	system	cluster-NILE21239	0
Entity	system	cluster-NILE21230	system	cluster-NILE21240	0
Entity	system	cluster-NILE21230	system	cluster-NILE21241	0
Entity	system	cluster-NILE21230	system	cluster-NILE21242	0
Entity	system	cluster-NILE21230	system	cluster-NILE21243	0
Entity	system	cluster-NILE21230	system	cluster-NILE21244	0
Entity	system	cluster-NILE21230	system	cluster-NILE21245	0
Entity	system	cluster-NILE21230	system	cluster-NILE21246	0
Entity	system	cluster-NILE21230	system	cluster-NILE21247	0
Entity	system	cluster-NILE21230	system	cluster-NILE21248	0
Entity	system	cluster-NILE21230	system	cluster-NILE21249	0
Entity	system	cluster-NILE21230	system	cluster-NILE21250	0
Entity	system	cluster-NILE21230	system	cluster-NILE21251	0
Entity	system	cluster-NILE21230	system	cluster-NILE21252	0
Entity	system	cluster-NILE21230	system	cluster-NILE21253	0
Entity	system	cluster-NILE21230	system	cluster-NILE21254	0
Entity	system	cluster-NILE21230	system	cluster-NILE21255	0
Entity	system	cluster-NILE21230	system	cluster-NILE21256	0
Entity	system	cluster-NILE21230	system	cluster-NILE21257	0
Entity	system	cluster-NILE21231	system	cluster-NILE21230	0
Entity	system	cluster-NILE21231	system	cluster-NILE21231	4
Entity	system	cluster-NILE21231	system	cluster-NILE21232	0
Entity	system	cluster-NILE21231	system	cluster-NILE21233	0
Entity	system	cluster-NILE21231	system	cluster-NILE21234	0
Entity	system	cluster-NILE21231	system	cluster-NILE21235	0
Entity	system	cluster-NILE21231	system	cluster-NILE21236	0
Entity	system	cluster-NILE21231	system	cluster-NILE21237	0
Entity	system	cluster-NILE21231	system	cluster-NILE21238	0
Entity	system	cluster-NILE21231	system	cluster-NILE21239	0
Entity	system	cluster-NILE21231	system	cluster-NILE21240	0
Entity	system	cluster-NILE21231	system	cluster-NILE21241	0
Entity	system	cluster-NILE21231	system	cluster-NILE21242	0
Entity	system	cluster-NILE21231	system	cluster-NILE21243	0
