?docid	?edge_type	?is_assertion_negated	?object_cluster	?objectmo	?objectmo_metatype	?is_objectmo_negated	?oinf_j_span	?object_type	?subject_cluster	?subjectmo	?subjectmo_metatype	?is_subjectmo_negated	?sinf_j_span	?subject_type	?ej_span	?objectc_handle	?edge_cj_cv	?oinf_j_cv	?obcm_cv	?sinf_j_cv	?sbcm_cv
L0C04CWFV	A0	NotNegated	cluster-NILCEML0C04CWFV.000575	cluster-NILCEML0C04CWFV.000575-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q901	cluster-NILCRML0C04CWFV.000757	cluster-NILCRML0C04CWFV.000757-prototype	Relation	NotNegated	NULL	P108	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Nadezhda Izmozherova	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A1	NotNegated	cluster-NILCEML0C04CWFV.000779	cluster-NILCEML0C04CWFV.000779-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q43229	cluster-NILCRML0C04CWFV.000757	cluster-NILCRML0C04CWFV.000757-prototype	Relation	NotNegated	NULL	P108	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Ural State Medical University	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A0	NotNegated	cluster-NILCEML0C04CWFV.000575	cluster-NILCEML0C04CWFV.000575-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q901	cluster-NILCRML0C04CWFV.000792	cluster-NILCRML0C04CWFV.000792-prototype	Relation	NotNegated	NULL	P463	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Nadezhda Izmozherova	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A1	NotNegated	cluster-NILCEML0C04CWFV.000774	cluster-NILCEML0C04CWFV.000774-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q988108	cluster-NILCRML0C04CWFV.000792	cluster-NILCRML0C04CWFV.000792-prototype	Relation	NotNegated	NULL	P463	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Association of Clinical Pharmacologists of Russia	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A0	NotNegated	cluster-NILCEML0C04CWFV.000575	cluster-NILCEML0C04CWFV.000575-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q901	cluster-NILCRML0C04CWFV.000812	cluster-NILCRML0C04CWFV.000812-prototype	Relation	NotNegated	NULL	P463	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Nadezhda Izmozherova	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A1	NotNegated	cluster-NILCEML0C04CWFV.000769	cluster-NILCEML0C04CWFV.000769-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q988108	cluster-NILCRML0C04CWFV.000812	cluster-NILCRML0C04CWFV.000812-prototype	Relation	NotNegated	NULL	P463	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Russian National Society of Pharmacologists	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	EMPTY_REF	NotNegated	cluster-NILCEML0C04CWFV.000458	cluster-NILCEML0C04CWFV.000458-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q169872	cluster-NILCVML0C04CWFV.000416	cluster-NILCVML0C04CWFV.000416-prototype	Event	NotNegated	NULL	Q177719	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	chest pain	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	EMPTY_REF	NotNegated	cluster-NILCEML0C04CWFV.000448	cluster-NILCEML0C04CWFV.000448-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q169872	cluster-NILCVML0C04CWFV.000416	cluster-NILCVML0C04CWFV.000416-prototype	Event	NotNegated	NULL	Q177719	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	vomiting	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	EMPTY_REF	NotNegated	cluster-NILCEML0C04CWFV.000428	cluster-NILCEML0C04CWFV.000428-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q169872	cluster-NILCVML0C04CWFV.000416	cluster-NILCVML0C04CWFV.000416-prototype	Event	NotNegated	NULL	Q177719	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	increase in uric acid	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A1_ppt_theme_patient	NotNegated	cluster-NILCEML0C04CWFV.000500	cluster-NILCEML0C04CWFV.000500-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q215627	cluster-NILCVML0C04CWFV.000416	cluster-NILCVML0C04CWFV.000416-prototype	Event	NotNegated	NULL	Q177719	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	patients with COVID-19 receiving favipiravir	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
