?is_assertion_negated	?subject_metatype	?subject	?is_subject_negated	?predicate	?object_metatype	?object	?is_object_negated	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
NotNegated	Relation	cluster-NILR30012	NotNegated	A0	Entity	cluster-NILE30031	NotNegated	L0C04960U:L0C049DTH:(1194,0)-(1195,0)	"1.0"	"1.0"
NotNegated	Relation	cluster-NILR30012	NotNegated	A0	Entity	cluster-NILE30031	NotNegated	L0C04960U:L0C049DTH:(3428,0)-(3437,0)	"1.0"	"1.0"
NotNegated	Relation	cluster-NILR30012	NotNegated	A1	Entity	cluster-Q861888	NotNegated	L0C04960U:L0C049DTH:(1194,0)-(1195,0)	"1.0"	"1.0"
NotNegated	Relation	cluster-NILR30012	NotNegated	A1	Entity	cluster-Q861888	NotNegated	L0C04960U:L0C049DTH:(1197,0)-(1221,0)	"1.0"	"1.0"
NotNegated	Relation	cluster-NILR30013	NotNegated	A0	Entity	cluster-Q861888	NotNegated	L0C04960U:L0C049DTH:(1197,0)-(1221,0)	"1.0"	"1.0"
NotNegated	Relation	cluster-NILR30013	NotNegated	A0	Entity	cluster-Q861888	NotNegated	L0C04960U:L0C049DTH:(1210,0)-(1221,0)	"1.0"	"1.0"
NotNegated	Relation	cluster-NILR30013	NotNegated	A1	Entity	cluster-Q824	NotNegated	L0C04960U:L0C049DTH:(1210,0)-(1221,0)	"1.0"	"1.0"
NotNegated	Relation	cluster-NILR30013	NotNegated	A1	Entity	cluster-Q824	NotNegated	L0C04960U:L0C049DTH:(1216,0)-(1221,0)	"1.0"	"1.0"
NotNegated	Relation	cluster-NILR30014	NotNegated	A0	Entity	cluster-Q1006223	NotNegated	L0C04960U:L0C049DTH:(3494,0)-(3502,0)	"1.0"	"1.0"
NotNegated	Relation	cluster-NILR30014	NotNegated	A0	Entity	cluster-Q1006223	NotNegated	L0C04960U:L0C049DTH:(3494,0)-(3526,0)	"1.0"	"1.0"
NotNegated	Relation	cluster-NILR30014	NotNegated	A1	Entity	cluster-Q183	NotNegated	L0C04960U:L0C049DTH:(3494,0)-(3502,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30023	NotNegated	A1_ppt_patient_thing_destroyed	Entity	cluster-NILE30027	NotNegated	L0C04960U:L0C049DTH:(34,0)-(41,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30023	NotNegated	A1_ppt_patient_thing_destroyed	Entity	cluster-NILE30027	NotNegated	L0C04960U:L0C049DTH:(45,0)-(63,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30023	NotNegated	A2_mnr_instrument_instrument_of_destruction	Entity	cluster-NILE30025	NotNegated	L0C04960U:L0C049DTH:(1,0)-(9,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30023	NotNegated	A2_mnr_instrument_instrument_of_destruction	Entity	cluster-NILE30025	NotNegated	L0C04960U:L0C049DTH:(34,0)-(41,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30023	NotNegated	A2_mnr_instrument_instrument_of_destruction	Entity	cluster-NILE30028	NotNegated	L0C04960U:L0C049DTH:(13,0)-(18,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30023	NotNegated	A2_mnr_instrument_instrument_of_destruction	Entity	cluster-NILE30028	NotNegated	L0C04960U:L0C049DTH:(34,0)-(41,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30024	NotNegated	A1_ppt_patient_thing_destroyed	Entity	cluster-NILE30027	NotNegated	L0C04960U:L0C049DTH:(110,0)-(117,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30024	NotNegated	A1_ppt_patient_thing_destroyed	Entity	cluster-NILE30027	NotNegated	L0C04960U:L0C049DTH:(121,0)-(133,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30025	NotNegated	A3_mnr__instrument	Entity	cluster-NILE30025	NotNegated	L0C04960U:L0C049DTH:(250,0)-(258,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30025	NotNegated	A3_mnr__instrument	Entity	cluster-NILE30025	NotNegated	L0C04960U:L0C049DTH:(272,0)-(286,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30025	NotNegated	A3_mnr__instrument	Entity	cluster-NILE30028	NotNegated	L0C04960U:L0C049DTH:(233,0)-(247,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30025	NotNegated	A3_mnr__instrument	Entity	cluster-NILE30028	NotNegated	L0C04960U:L0C049DTH:(272,0)-(286,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30025	NotNegated	A3_mnr__instrument	Entity	cluster-NILE30031	NotNegated	L0C04960U:L0C049DTH:(262,0)-(270,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30025	NotNegated	A3_mnr__instrument	Entity	cluster-NILE30031	NotNegated	L0C04960U:L0C049DTH:(272,0)-(286,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30026	NotNegated	A2_ppt_theme_infectant	Entity	cluster-NILE30027	NotNegated	L0C04960U:L0C049DTH:(467,0)-(475,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30026	NotNegated	A2_ppt_theme_infectant	Entity	cluster-NILE30027	NotNegated	L0C04960U:L0C049DTH:(477,0)-(489,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30027	NotNegated	A1_ppt_theme_theme	Event	cluster-NILV30026	NotNegated	L0C04960U:L0C049DTH:(453,0)-(465,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30027	NotNegated	A1_ppt_theme_theme	Event	cluster-NILV30026	NotNegated	L0C04960U:L0C049DTH:(467,0)-(475,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30028	NotNegated	A1_ppt_patient_thing_destroyed	Entity	cluster-NILE30044	NotNegated	L0C04960U:L0C049DTH:(2001,0)-(2010,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30028	NotNegated	A1_ppt_patient_thing_destroyed	Entity	cluster-NILE30044	NotNegated	L0C04960U:L0C049DTH:(2012,0)-(2019,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30029	NotNegated	A1_ppt_patient_thing_destroyed	Entity	cluster-NILE30027	NotNegated	L0C04960U:L0C049DTH:(2058,0)-(2074,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30029	NotNegated	A1_ppt_patient_thing_destroyed	Entity	cluster-NILE30027	NotNegated	L0C04960U:L0C049DTH:(2082,0)-(2095,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30030	NotNegated	A1_dir_source_patient	Entity	cluster-NILE30045	NotNegated	L0C04960U:L0C049DTH:(2588,0)-(2607,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30030	NotNegated	A1_dir_source_patient	Entity	cluster-NILE30045	NotNegated	L0C04960U:L0C049DTH:(2625,0)-(2628,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30030	NotNegated	A3_mnr__instrument_treatment	Entity	cluster-NILE30025	NotNegated	L0C04960U:L0C049DTH:(2625,0)-(2628,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30030	NotNegated	A3_mnr__instrument_treatment	Entity	cluster-NILE30025	NotNegated	L0C04960U:L0C049DTH:(2630,0)-(2652,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILV30031	NotNegated	A1_ppt_patient_thing_destroyed	Entity	cluster-NILE30027	NotNegated	L0C04960U:L0C049DTH:(2897,0)-(2904,0)	"1.0"	"1.0"
