DocID     RunID             Language Metatype TRFscore
L0C0496GY example-task1-run RUS      Event      0.0000
L0C0496GY example-task1-run RUS      ALL        0.0000
L0C049DNW example-task1-run SPA      Event      0.0000
L0C049DNW example-task1-run SPA      ALL        0.0000
L0C04AJ15 example-task1-run ENG      Event      0.0000
L0C04AJ15 example-task1-run ENG      ALL        0.0000
L0C04AOT5 example-task1-run ENG      Event      0.0000
L0C04AOT5 example-task1-run ENG      ALL        0.0000
L0C04CSXF example-task1-run ENG      Event      0.0000
L0C04CSXF example-task1-run ENG      ALL        0.0000
ALL-Micro example-task1-run ENG      Event      0.0000
ALL-Micro example-task1-run ENG      ALL        0.0000
ALL-Micro example-task1-run RUS      Event      0.0000
ALL-Micro example-task1-run RUS      ALL        0.0000
ALL-Micro example-task1-run SPA      Event      0.0000
ALL-Micro example-task1-run SPA      ALL        0.0000
ALL-Micro example-task1-run ALL      Event      0.0000
ALL-Micro example-task1-run ALL      ALL        0.0000
ALL-Macro example-task1-run ENG      Event      0.0000
ALL-Macro example-task1-run ENG      ALL        0.0000
ALL-Macro example-task1-run RUS      Event      0.0000
ALL-Macro example-task1-run RUS      ALL        0.0000
ALL-Macro example-task1-run SPA      Event      0.0000
ALL-Macro example-task1-run SPA      ALL        0.0000
ALL-Macro example-task1-run ALL      Event      0.0000
ALL-Macro example-task1-run ALL      ALL        0.0000
