AnnotIndexID	Type	Output Value for Type	Subtype	Output Value for Subtype	Sub-subtype	Output Value for Sub-subtype	Definition
LDC_ent_001	BAL	bal	n/a	unspecified	n/a	unspecified	"A ballot for an election, either the paper ballot used for voting, including both physical paper ballots, and also the slate of candidates and ballot questions"
LDC_ent_002	BAL	bal	BallotSlate	ballotslate	BallotSlate	ballotslate	The slate of candidates listed on a ballot
LDC_ent_003	BAL	bal	PaperBallot	paperballot	PaperBallot	paperballot	The paper printed ballot
LDC_ent_004	COM	com	n/a	unspecified	n/a	unspecified	"A tangible product or article of trade for which someone pays or barters, or more generally, an artifact or a thing"
LDC_ent_005	COM	com	Document	document	n/a	unspecified	A document
LDC_ent_006	COM	com	Document	document	Map	map	"A symbolic depiction emphasizing relationships between elements of some space, such as objects, regions, or themes"
LDC_ent_007	COM	com	Document	document	PersonalIdentification	personalidentification	Document that proves a person's identity
LDC_ent_008	COM	com	Equipment	equipment	n/a	unspecified	"A piece of equipment, an instrumentality needed for an undertaking or to perform a service"
LDC_ent_009	COM	com	Equipment	equipment	HumanitarianAid	humanitarianaid	Supplies and items for humanitarian aid
LDC_ent_010	COM	com	Equipment	equipment	MedicalEquipment	medicalequipment	"Medical equipment and supplies, including medicines"
LDC_ent_011	COM	com	Equipment	equipment	MilitaryEquipment	militaryequipment	Equipment and supplies used by the military for military purposes
LDC_ent_012	COM	com	Equipment	equipment	Satellite	satellite	An artificial object which has been intentionally placed into orbit
LDC_ent_013	COM	com	Flag	flag	Flag	flag	"A piece of fabric (most often rectangular or quadrilateral) with a distinctive design and colours, used as a symbol, a signaling device, or for decoration"
LDC_ent_014	COM	com	Wreckage	wreckage	Wreckage	wreckage	"Rubble, debris, ruins, scattered remains of something destroyed"
LDC_ent_028	FAC	fac	n/a	unspecified	n/a	unspecified	"A functional, primarily man-made structure. Facilities are artifacts falling under the domains of architecture and civil engineering, including more temporary human constructs, such as police lines and checkpoints."
LDC_ent_029	FAC	fac	Building	building	n/a	unspecified	A structure that has a roof and walls and stands more or less permanently in one place
LDC_ent_030	FAC	fac	Building	building	ApartmentBuilding	apartmentbuilding	An apartment building
LDC_ent_031	FAC	fac	Building	building	GovernmentBuilding	governmentbuilding	A building that houses a department or branch of government
LDC_ent_032	FAC	fac	Building	building	House	house	"A house, a building that functions as a home"
LDC_ent_033	FAC	fac	Building	building	OfficeBuilding	officebuilding	"An office building, a building where people work in offices"
LDC_ent_034	FAC	fac	Building	building	School	school	A school
LDC_ent_035	FAC	fac	Building	building	StoreShop	storeshop	A shop or store
LDC_ent_036	FAC	fac	Building	building	VotingFacility	votingfacility	A voting facility or polling place
LDC_ent_037	FAC	fac	GeographicalArea	geographicalarea	n/a	unspecified	A demarcated (by humans) area of the Earth
LDC_ent_038	FAC	fac	GeographicalArea	geographicalarea	Border	border	"A border, a geographic boundary of a political entity or legal jurisdiction, such as a sovereign state, federated states, or other subnational entities"
LDC_ent_039	FAC	fac	GeographicalArea	geographicalarea	Checkpoint	checkpoint	"A border, security, or random checkpoint where travellers and/or goods are inspected"
LDC_ent_040	FAC	fac	Installation	installation	n/a	unspecified	A facility or installation that may consist of multiple buildings
LDC_ent_041	FAC	fac	Installation	installation	Airport	airport	An airport or airfield
LDC_ent_042	FAC	fac	Installation	installation	MilitaryInstallation	militaryinstallation	Any facility servicing military forces
LDC_ent_043	FAC	fac	Installation	installation	TrainStation	trainstation	"A train station, including any railway facility where trains stop regularly"
LDC_ent_044	FAC	fac	Structure	structure	n/a	unspecified	A thing constructed; a complex entity constructed of many parts
LDC_ent_045	FAC	fac	Structure	structure	Barricade	barricade	A barricade or roadblock
LDC_ent_046	FAC	fac	Structure	structure	Bridge	bridge	A  bridge
LDC_ent_047	FAC	fac	Structure	structure	Plaza	plaza	"An open urban public space, such as a city square"
LDC_ent_048	FAC	fac	Structure	structure	Tower	tower	"A tower, a tall structure, taller than it is wide"
LDC_ent_049	FAC	fac	Way	way	n/a	unspecified	Any artifact consisting of a road or path affording passage from one place to another
LDC_ent_050	FAC	fac	Way	way	Highway	highway	A major road
LDC_ent_051	FAC	fac	Way	way	Street	street	A thoroughfare (usually including sidewalks) that is lined with buildings
LDC_ent_052	GPE	gpe	n/a	unspecified	n/a	unspecified	"GPE entities are composite entities, consisting of a physical location, a government, and a population. All three of these elements must be present for an entity to be tagged as a GPE. A GPE entity may be a single geopolitical entity or a group."
LDC_ent_053	GPE	gpe	Country	country	Country	country	The territory occupied by a nation
LDC_ent_054	GPE	gpe	OrganizationOfCountries	organizationofcountries	OrganizationOfCountries	organizationofcountries	"An organized group of countries with its own governing body, such as the EU"
LDC_ent_055	GPE	gpe	ProvinceState	provincestate	ProvinceState	provincestate	"A region, province, or state with a government, an administrative division within a country or state"
LDC_ent_056	GPE	gpe	UrbanArea	urbanarea	n/a	unspecified	"A human settlement with a government, a geographical area constituting a city or town"
LDC_ent_057	GPE	gpe	UrbanArea	urbanarea	City	city	A large and densely populated urban area; may include several independent administrative districts
LDC_ent_058	GPE	gpe	UrbanArea	urbanarea	Village	village	An urban area with a fixed boundary that is smaller than a city
LDC_ent_192	INF	inf	TopicFIller	topicfiller	TopicFIller	topicfiller	"Filler for the Topic role in certain Contact events, for use only when the topic is something that is not otherwise an event or entity type in the annotation ontology"
LDC_ent_059	LAW	law	n/a	unspecified	n/a	unspecified	"A law, an act that is voted on by either a legislative body or an electorate, such as a law, referendum, act, regulation, statute, ordinance, etc."
LDC_ent_060	LAW	law	Referendum	referendum	Referendum	referendum	"A referendum, a direct vote in which an entire electorate is invited to vote on a particular proposal"
LDC_ent_061	LOC	loc	n/a	unspecified	n/a	unspecified	"Geographical entities such as geographical areas and landmasses, bodies of water"
LDC_ent_062	LOC	loc	GeographicPoint	geographicpoint	n/a	unspecified	A point on the surface of the Earth
LDC_ent_063	LOC	loc	GeographicPoint	geographicpoint	Address	address	The place where a person or organization can be found or communicated with
LDC_ent_064	LOC	loc	Land	land	n/a	unspecified	The solid part of the earth's surface
LDC_ent_065	LOC	loc	Land	land	Continent	continent	One of the large landmasses of the earth
LDC_ent_066	LOC	loc	Position	position	n/a	unspecified	The particular portion of space occupied by something
LDC_ent_067	LOC	loc	Position	position	AirSpace	airspace	The air space above a location
LDC_ent_068	LOC	loc	Position	position	CrimeScene	crimescene	A crime scene
LDC_ent_069	LOC	loc	Position	position	Field	field	A piece of land cleared of trees
LDC_ent_070	LOC	loc	Position	position	Neighborhood	neighborhood	"A neighborhood, a portion of a city that does not have its own government"
LDC_ent_071	LOC	loc	Position	position	Region	region	A geographic region that does not have its own government
LDC_ent_188	MHI	mhi	n/a	unspecified	n/a	unspecified	"Any medical condition or health issue, to include everything from disease to broken bones to fever to general ill health, medical errors, even natural causes (note subtypes available for diseases and symptoms or presentations)"
LDC_ent_189	MHI	mhi	Disease	disease	Disease	disease	A medical condition that is a disease
LDC_ent_190	MHI	mhi	SymptomPresentation	symptompresentation	SymptomPresentation	symptompresentation	"A symptom, sign, or presentation of a medical condition or health issue"
LDC_ent_072	MON	mon	n/a	unspecified	n/a	unspecified	"A monetary payment. The extent of a Money mention includes modifying quantifiers, the amount, and the currency unit, all of which can be optional."
LDC_ent_073	MON	mon	Assets	assets	Assets	assets	"An asset, value of ownership that can be converted into cash"
LDC_ent_074	MON	mon	Cash	cash	Cash	cash	Cash money
LDC_ent_075	ORG	org	n/a	unspecified	n/a	unspecified	"Corporations, agencies, and other groups of people defined by an established organizational structure. An ORG entity may be a single organization or a group. A key feature of an ORG is that it can change members without changing identity."
LDC_ent_076	ORG	org	Association	association	n/a	unspecified	A formal organization of people or groups of people
LDC_ent_077	ORG	org	Association	association	Club	club	A formal association of people with similar interests
LDC_ent_078	ORG	org	Association	association	Team	team	A cooperative unit (especially in sports)
LDC_ent_079	ORG	org	CommercialOrganization	commercialorganization	n/a	unspecified	"A commercial organization, including businesses and corporations"
LDC_ent_080	ORG	org	CommercialOrganization	commercialorganization	BroadcastingCompany	broadcastingcompany	A company that manages tv or radio stations
LDC_ent_081	ORG	org	CommercialOrganization	commercialorganization	Corporation	corporation	A business firm whose articles of incorporation have been approved in some state
LDC_ent_082	ORG	org	CommercialOrganization	commercialorganization	Manufacturer	manufacturer	A business engaged in manufacturing some product
LDC_ent_083	ORG	org	CommercialOrganization	commercialorganization	NewsAgency	newsagency	An agency that collects news reports for newspapers and distributes it electronically
LDC_ent_084	ORG	org	CriminalOrganization	criminalorganization	CriminalOrganization	criminalorganization	"Organized crime is a category of transnational, national, or local groupings of highly centralized enterprises run by criminals who intend to engage in illegal activity, most commonly for money and profit"
LDC_ent_085	ORG	org	Government	government	n/a	unspecified	A government organization
LDC_ent_086	ORG	org	Government	government	Agency	agency	"An agency, an administrative unit of government"
LDC_ent_087	ORG	org	Government	government	Council	council	"A council, such as a city council"
LDC_ent_088	ORG	org	Government	government	FireDepartment	firedepartment	A fire department
LDC_ent_089	ORG	org	Government	government	LawEnforcementAgency	lawenforcementagency	An agency responsible for security and insuring obedience to the laws
LDC_ent_090	ORG	org	Government	government	LegislativeBody	legislativebody	"A congress, parliament, or other legislative body"
LDC_ent_091	ORG	org	Government	government	ProsecutorOffice	prosecutoroffice	The prosecutor's office
LDC_ent_092	ORG	org	Government	government	Railway	railway	The railway or railroad organization
LDC_ent_093	ORG	org	International	international	n/a	unspecified	"An international organization, an organization with an international mission"
LDC_ent_094	ORG	org	International	international	Commission	commission	An international commission
LDC_ent_095	ORG	org	International	international	MonitoringGroup	monitoringgroup	An international monitoring group
LDC_ent_096	ORG	org	MilitaryOrganization	militaryorganization	n/a	unspecified	"A military organization, or an organization within the military"
LDC_ent_097	ORG	org	MilitaryOrganization	militaryorganization	GovernmentArmedForces	governmentarmedforces	"A permanent organization of the military forces of a nation or state, including special forces"
LDC_ent_098	ORG	org	MilitaryOrganization	militaryorganization	Intelligence	intelligence	An intelligence organization within the military
LDC_ent_099	ORG	org	MilitaryOrganization	militaryorganization	NonGovernmentMilitia	nongovernmentmilitia	"A militia, a non-governmental military organization"
LDC_ent_100	ORG	org	PoliticalOrganization	politicalorganization	n/a	unspecified	A political organization
LDC_ent_101	ORG	org	PoliticalOrganization	politicalorganization	Court	court	A court of law
LDC_ent_102	ORG	org	PoliticalOrganization	politicalorganization	Party	party	"A political party, an organization to gain political power"
LDC_ent_103	PER	per	n/a	unspecified	n/a	unspecified	Person entities are limited to humans. A PER entity may be a single person or a group.
LDC_ent_104	PER	per	Combatant	combatant	n/a	unspecified	Someone who fights (or is fighting)
LDC_ent_105	PER	per	Combatant	combatant	Mercenary	mercenary	"A mercenary, an individual who is hired to take part in an armed conflict but is not part of a regular army or other governmental military force"
LDC_ent_106	PER	per	Combatant	combatant	Sniper	sniper	"A sniper, a marksman who shoots at people from a concealed place"
LDC_ent_107	PER	per	Fan	fan	n/a	unspecified	"An enthusiast or supporter, especially with regard to entertainment and sports"
LDC_ent_108	PER	per	Fan	fan	SportsFan	sportsfan	A sports fan
LDC_ent_109	PER	per	MilitaryPersonnel	militarypersonnel	n/a	unspecified	Someone who serves in the armed forces; a member of a military force
