AnnotIndexID	Type	Output Value for Type	Subtype	Output Value for Subtype	Sub-subtype	Output Value for Sub-subtype	Definition	Template	arg1 label	Output value for arg1	arg1 type constraints	arg2 label	Output value for arg2	arg2 type constraints	arg3 label	Output value for arg3	arg3 type constraints	arg4 label	Output value for arg4	arg4 type constraints	arg5 label	Output value for arg5	arg5 type constraints			
LDC_evt_152	ArtifactExistence	artifactexistence	ArtifactFailure	artifactfailure	MechanicalFailure	mechanicalfailure	The physical failure of any mechanical artifact	<arg1> mechanical artifact failed due to <arg2> instrument at <arg3> place	MechanicalArtifact 	evt152arg01mechanicalartifact 	"com, veh, wea"	Instrument 	evt152arg02instrument 	"com, wea"	Place 	evt152arg03place 	"loc, gpe, fac"									
LDC_evt_001	ArtifactExistence	artifactexistence	DamageDestroy	damagedestroy	n/a	unspecified	The damaging or destruction of a thing	<arg1> damaged or destroyed <arg2> using <arg3> instrument in <arg4> place	DamagerDestroyer	evt001arg01damagerdestroyer	"per, org, gpe, sid"	Artifact	evt001arg02artifact	"bal, com, fac, loc, mon, veh, wea"	Instrument	evt001arg03instrument	"com, veh, wea"	Place	evt001arg04place	"fac, loc, gpe"						
LDC_evt_002	ArtifactExistence	artifactexistence	DamageDestroy	damagedestroy	Damage	damage	"The damaging, but not destruction, of a thing"	<arg1> damaged <arg2> using <arg3> instrument in <arg4> place	Damager	evt002arg01damager	"per, org, gpe, sid"	Artifact	evt002arg02artifact	"bal, com, fac, loc, mon, veh, wea"	Instrument	evt002arg03instrument	"com, veh, wea"	Place	evt002arg04place	"fac, loc, gpe"						
LDC_evt_003	ArtifactExistence	artifactexistence	DamageDestroy	damagedestroy	Destroy	destroy	The destruction of a thing	<arg1> destroyed <arg2> using <arg3> instrument in <arg4> place	Destroyer	evt003arg01destroyer	"per, org, gpe, sid"	Artifact	evt003arg02artifact	"bal, com, fac, loc, mon, veh, wea"	Instrument	evt003arg03instrument	"com, veh, wea"	Place	evt003arg04place	"fac, loc, gpe"						
LDC_evt_149	ArtifactExistence	artifactexistence	Shortage	shortage	Shortage	shortage	Explicit mentions of a shortage of some thing or things (on any scale)	<arg1> experienced a shortage of <arg2> supply at <arg3> place	Experiencer 	evt149arg01experiencer 	"per, org, gpe, sid"	Supply 	evt149arg02supply 	"bal, com, fac, mon, veh, wea"	Place 	evt149arg03place 	"loc, gpe, fac"									
LDC_evt_004	Conflict	conflict	Attack	attack	n/a	unspecified	An attack event	<arg1> attacked <arg2> using <arg3> at <arg4> place	Attacker	evt004arg01attacker	"per, org, gpe, sid"	Target	evt004arg02target	"loc, gpe, fac, per, com, veh, wea, sid"	Instrument	evt004arg03instrument	"com, veh, wea"	Place	evt004arg04place	"fac, loc, gpe"						
LDC_evt_005	Conflict	conflict	Attack	attack	AirstrikeMissileStrike	airstrikemissilestrike	"An attack using a missile, or an airstrike"	<arg1> attacked <arg2> using <arg3> at <arg4> place	Attacker	evt005arg01attacker	"per, org, gpe, sid"	Target	evt005arg02target	"loc, gpe, fac, per, com, veh, wea, sid"	Instrument	evt005arg03instrument	"com, veh, wea"	Place	evt005arg04place	"fac, loc, gpe"						
LDC_evt_006	Conflict	conflict	Attack	attack	BiologicalChemicalPoisonAttack	biologicalchemicalpoisonattack	An attack using biologicals or chemicals or poisons	<arg1> attacked <arg2> using <arg3> at <arg4> place	Attacker	evt006arg01attacker	"per, org, gpe, sid"	Target	evt006arg02target	"loc, gpe, fac, per, com, veh, wea, sid"	Instrument	evt006arg03instrument	"com, wea"	Place	evt006arg04place	"fac, loc, gpe"						
LDC_evt_007	Conflict	conflict	Attack	attack	Bombing	bombing	An attack using a bomb	<arg1> attacked <arg2> using <arg3> at <arg4> place	Attacker	evt007arg01attacker	"per, org, gpe, sid"	Target	evt007arg02target	"loc, gpe, fac, per, com, veh, wea, sid"	Instrument	evt007arg03instrument	"com, veh, wea"	Place	evt007arg04place	"fac, loc, gpe"						
LDC_evt_008	Conflict	conflict	Attack	attack	FirearmAttack	firearmattack	An attack using a firearm	<arg1> attacked <arg2> using <arg3> at <arg4> place	Attacker	evt008arg01attacker	"per, org, gpe, sid"	Target	evt008arg02target	"loc, gpe, fac, per, com, veh, wea, sid"	Instrument	evt008arg03instrument	"com, veh, wea"	Place	evt008arg04place	"fac, loc, gpe"						
LDC_evt_009	Conflict	conflict	Attack	attack	Hanging	hanging	"A hanging of one person, either self-inflicted or by another person"	<arg1> attacked <arg2> using <arg3> at <arg4> place	Attacker	evt009arg01attacker	"per, org, gpe, sid"	Target	evt009arg02target	per	Instrument	evt009arg03instrument	"com, veh, wea"	Place	evt009arg04place	"fac, loc, gpe"						
LDC_evt_010	Conflict	conflict	Attack	attack	Invade	invade	"An invasion of a GPE by a GPE, organization, or group of people"	<arg1> attacked <arg2> using <arg3> at <arg4> place	Attacker	evt010arg01attacker	"per, org, gpe, sid"	Target	evt010arg02target	"loc, gpe, fac, per, com, veh, wea, sid"	Instrument	evt010arg03instrument	"com, veh, wea"	Place	evt010arg04place	"fac, loc, gpe"						
LDC_evt_011	Conflict	conflict	Attack	attack	SelfDirectedBattle	selfdirectedbattle	A battle or war	<arg1> attacked <arg2> using <arg3> at <arg4> place	Attacker	evt011arg01attacker	"per, org, gpe, sid"	Target	evt011arg02target	"loc, gpe, fac, per, com, veh, wea, sid"	Instrument	evt011arg03instrument	"com, veh, wea"	Place	evt011arg04place	"fac, loc, gpe"						
LDC_evt_012	Conflict	conflict	Attack	attack	SetFire	setfire	An attack by setting a fire	<arg1> attacked <arg2> using <arg3> at <arg4> place	Attacker	evt012arg01attacker	"per, org, gpe, sid"	Target	evt012arg02target	"loc, gpe, fac, per, com, veh, wea, sid"	Instrument	evt012arg03instrument	"com, veh, wea"	Place	evt012arg04place	"fac, loc, gpe"						
LDC_evt_013	Conflict	conflict	Attack	attack	Stabbing	stabbing	An attack by stabbing of one person by another person	<arg1> attacked <arg2> using <arg3> at <arg4> place	Attacker	evt013arg01attacker	"per, org, gpe, sid"	Target	evt013arg02target	per	Instrument	evt013arg03instrument	"com, veh, wea"	Place	evt013arg04place	"fac, loc, gpe"						
LDC_evt_014	Conflict	conflict	Attack	attack	StealRobHijack	stealrobhijack	"An attack involving stealing, robbing, or hijacking (the violent transfer of possessions or money)"	"<arg1> attacked <arg2> using <arg3> at <arg4> place, in order to take <arg5>"	Attacker	evt014arg01attacker	"per, org, gpe, sid"	Target	evt014arg02target	"loc, gpe, fac, per, com, veh, wea, sid"	Instrument	evt014arg03instrument	"com, veh, wea"	Place	evt014arg04place	"fac, loc, gpe"	Artifact	evt014arg05artifact	"bal, com, fac, loc, mon, veh, wea"			
LDC_evt_015	Conflict	conflict	Attack	attack	Strangling	strangling	An attack by strangling of one person by another person	<arg1> attacked <arg2> using <arg3> at <arg4> place	Attacker	evt015arg01attacker	"per, org, gpe, sid"	Target	evt015arg02target	per	Instrument	evt015arg03instrument	"com, veh, wea"	Place	evt015arg04place	"fac, loc, gpe"						
LDC_evt_151	Conflict	conflict	Coup	coup	Coup	coup	"Explicit mentions of any attempt to overthrow the government or government leader, including on-going and attempted coups in addition to completed coups"	<arg1> was deposed by <arg2> at <arg3> place	DeposedEntity 	evt151arg01deposedentity 	"per, org"	DeposingEntity 	evt151arg02deposingentity 	"per, org, gpe, sid"	Place 	evt151arg03place 	"loc, gpe, fac"									
LDC_evt_016	Conflict	conflict	Demonstrate	demonstrate	n/a	unspecified	A demonstration event	<arg1> was in a demonstration at <arg2> place	Demonstrator	evt016arg01demonstrator	"per, org, sid"	Place	evt016arg02place	"loc, gpe, fac"												
