slot_type_code	slot_type
evt001arg01damagerdestroyer	ArtifactExistence.DamageDestroy_DamagerDestroyer
evt001arg02artifact	ArtifactExistence.DamageDestroy_Artifact
evt001arg03instrument	ArtifactExistence.DamageDestroy_Instrument
evt001arg04place	ArtifactExistence.DamageDestroy_Place
evt002arg01damager	ArtifactExistence.DamageDestroy.Damage_Damager
evt002arg02artifact	ArtifactExistence.DamageDestroy.Damage_Artifact
evt002arg03instrument	ArtifactExistence.DamageDestroy.Damage_Instrument
evt002arg04place	ArtifactExistence.DamageDestroy.Damage_Place
evt003arg01destroyer	ArtifactExistence.DamageDestroy.Destroy_Destroyer
evt003arg02artifact	ArtifactExistence.DamageDestroy.Destroy_Artifact
evt003arg03instrument	ArtifactExistence.DamageDestroy.Destroy_Instrument
evt003arg04place	ArtifactExistence.DamageDestroy.Destroy_Place
evt004arg01attacker	Conflict.Attack_Attacker
evt004arg02target	Conflict.Attack_Target
evt004arg03instrument	Conflict.Attack_Instrument
evt004arg04place	Conflict.Attack_Place
evt005arg01attacker	Conflict.Attack.AirstrikeMissileStrike_Attacker
evt005arg02target	Conflict.Attack.AirstrikeMissileStrike_Target
evt005arg03instrument	Conflict.Attack.AirstrikeMissileStrike_Instrument
evt005arg04place	Conflict.Attack.AirstrikeMissileStrike_Place
evt006arg01attacker	Conflict.Attack.BiologicalChemicalPoisonAttack_Attacker
evt006arg02target	Conflict.Attack.BiologicalChemicalPoisonAttack_Target
evt006arg03instrument	Conflict.Attack.BiologicalChemicalPoisonAttack_Instrument
evt006arg04place	Conflict.Attack.BiologicalChemicalPoisonAttack_Place
evt007arg01attacker	Conflict.Attack.Bombing_Attacker
evt007arg02target	Conflict.Attack.Bombing_Target
evt007arg03instrument	Conflict.Attack.Bombing_Instrument
evt007arg04place	Conflict.Attack.Bombing_Place
evt008arg01attacker	Conflict.Attack.FirearmAttack_Attacker
evt008arg02target	Conflict.Attack.FirearmAttack_Target
evt008arg03instrument	Conflict.Attack.FirearmAttack_Instrument
evt008arg04place	Conflict.Attack.FirearmAttack_Place
evt009arg01attacker	Conflict.Attack.Hanging_Attacker
evt009arg02target	Conflict.Attack.Hanging_Target
evt009arg03instrument	Conflict.Attack.Hanging_Instrument
evt009arg04place	Conflict.Attack.Hanging_Place
evt010arg01attacker	Conflict.Attack.Invade_Attacker
evt010arg02target	Conflict.Attack.Invade_Target
evt010arg03instrument	Conflict.Attack.Invade_Instrument
evt010arg04place	Conflict.Attack.Invade_Place
evt011arg01attacker	Conflict.Attack.SelfDirectedBattle_Attacker
evt011arg02target	Conflict.Attack.SelfDirectedBattle_Target
evt011arg03instrument	Conflict.Attack.SelfDirectedBattle_Instrument
evt011arg04place	Conflict.Attack.SelfDirectedBattle_Place
evt012arg01attacker	Conflict.Attack.SetFire_Attacker
evt012arg02target	Conflict.Attack.SetFire_Target
evt012arg03instrument	Conflict.Attack.SetFire_Instrument
evt012arg04place	Conflict.Attack.SetFire_Place
evt013arg01attacker	Conflict.Attack.Stabbing_Attacker
evt013arg02target	Conflict.Attack.Stabbing_Target
evt013arg03instrument	Conflict.Attack.Stabbing_Instrument
evt013arg04place	Conflict.Attack.Stabbing_Place
evt014arg01attacker	Conflict.Attack.StealRobHijack_Attacker
evt014arg02target	Conflict.Attack.StealRobHijack_Target
evt014arg03instrument	Conflict.Attack.StealRobHijack_Instrument
evt014arg04place	Conflict.Attack.StealRobHijack_Place
evt014arg05artifact	Conflict.Attack.StealRobHijack_Artifact
evt015arg01attacker	Conflict.Attack.Strangling_Attacker
evt015arg02target	Conflict.Attack.Strangling_Target
evt015arg03instrument	Conflict.Attack.Strangling_Instrument
evt015arg04place	Conflict.Attack.Strangling_Place
evt016arg01demonstrator	Conflict.Demonstrate_Demonstrator
evt016arg02place	Conflict.Demonstrate_Place
evt017arg01demonstrator	Conflict.Demonstrate.MarchProtestPoliticalGathering_Demonstrator
evt017arg02place	Conflict.Demonstrate.MarchProtestPoliticalGathering_Place
evt018arg01yielder	Conflict.Yield_Yielder
evt018arg02recipient	Conflict.Yield_Recipient
evt018arg03place	Conflict.Yield_Place
evt019arg01retreater	Conflict.Yield.Retreat_Retreater
evt019arg02origin	Conflict.Yield.Retreat_Origin
evt019arg03destination	Conflict.Yield.Retreat_Destination
evt020arg01surrenderer	Conflict.Yield.Surrender_Surrenderer
evt020arg02recipient	Conflict.Yield.Surrender_Recipient
evt020arg03place	Conflict.Yield.Surrender_Place
evt021arg01participant	Contact.Collaborate_Participant
evt021arg02participant	Contact.Collaborate_Participant
evt021arg03place	Contact.Collaborate_Place
evt022arg01participant	Contact.Collaborate.Correspondence_Participant
evt022arg02participant	Contact.Collaborate.Correspondence_Participant
evt022arg03place	Contact.Collaborate.Correspondence_Place
evt023arg01participant	Contact.Collaborate.Meet_Participant
evt023arg02participant	Contact.Collaborate.Meet_Participant
evt023arg03place	Contact.Collaborate.Meet_Place
evt024arg01communicator	Contact.CommandOrder_Communicator
evt024arg02recipient	Contact.CommandOrder_Recipient
evt024arg03place	Contact.CommandOrder_Place
evt024arg04topic	Contact.CommandOrder_Topic
evt025arg01communicator	Contact.CommandOrder.Broadcast_Communicator
evt025arg02recipient	Contact.CommandOrder.Broadcast_Recipient
evt025arg03place	Contact.CommandOrder.Broadcast_Place
evt025arg04topic	Contact.CommandOrder.Broadcast_Topic
evt026arg01communicator	Contact.CommandOrder.Correspondence_Communicator
evt026arg02recipient	Contact.CommandOrder.Correspondence_Recipient
evt026arg03place	Contact.CommandOrder.Correspondence_Place
evt026arg04topic	Contact.CommandOrder.Correspondence_Topic
evt027arg01communicator	Contact.CommandOrder.Meet_Communicator
evt027arg02recipient	Contact.CommandOrder.Meet_Recipient
evt027arg03place	Contact.CommandOrder.Meet_Place
evt027arg04topic	Contact.CommandOrder.Meet_Topic
evt028arg01communicator	Contact.CommitmentPromiseExpressIntent_Communicator
evt028arg02recipient	Contact.CommitmentPromiseExpressIntent_Recipient
evt028arg03place	Contact.CommitmentPromiseExpressIntent_Place
evt028arg04topic	Contact.CommitmentPromiseExpressIntent_Topic
evt029arg01communicator	Contact.CommitmentPromiseExpressIntent.Broadcast_Communicator
evt029arg02recipient	Contact.CommitmentPromiseExpressIntent.Broadcast_Recipient
evt029arg03place	Contact.CommitmentPromiseExpressIntent.Broadcast_Place
evt029arg04topic	Contact.CommitmentPromiseExpressIntent.Broadcast_Topic
evt030arg01communicator	Contact.CommitmentPromiseExpressIntent.Correspondence_Communicator
evt030arg02recipient	Contact.CommitmentPromiseExpressIntent.Correspondence_Recipient
evt030arg03place	Contact.CommitmentPromiseExpressIntent.Correspondence_Place
evt030arg04topic	Contact.CommitmentPromiseExpressIntent.Correspondence_Topic
evt031arg01communicator	Contact.CommitmentPromiseExpressIntent.Meet_Communicator
evt031arg02recipient	Contact.CommitmentPromiseExpressIntent.Meet_Recipient
evt031arg03place	Contact.CommitmentPromiseExpressIntent.Meet_Place
evt031arg04topic	Contact.CommitmentPromiseExpressIntent.Meet_Topic
evt032arg01participant	Contact.Discussion_Participant
evt032arg02participant	Contact.Discussion_Participant
evt032arg03place	Contact.Discussion_Place
evt033arg01participant	Contact.Discussion.Correspondence_Participant
evt033arg02participant	Contact.Discussion.Correspondence_Participant
evt033arg03place	Contact.Discussion.Correspondence_Place
evt034arg01participant	Contact.Discussion.Meet_Participant
evt034arg02participant	Contact.Discussion.Meet_Participant
evt034arg03place	Contact.Discussion.Meet_Place
evt035arg01participant	Contact.FuneralVigil_Participant
evt035arg02participant	Contact.FuneralVigil_Participant
evt035arg03deceased	Contact.FuneralVigil_Deceased
evt035arg04place	Contact.FuneralVigil_Place
evt036arg01participant	Contact.FuneralVigil.Meet_Participant
evt036arg02participant	Contact.FuneralVigil.Meet_Participant
evt036arg03deceased	Contact.FuneralVigil.Meet_Deceased
evt036arg04place	Contact.FuneralVigil.Meet_Place
evt037arg01communicator	Contact.MediaStatement_Communicator
evt037arg02recipient	Contact.MediaStatement_Recipient
evt037arg03place	Contact.MediaStatement_Place
evt038arg01communicator	Contact.MediaStatement.Broadcast_Communicator
evt038arg02recipient	Contact.MediaStatement.Broadcast_Recipient
evt038arg03place	Contact.MediaStatement.Broadcast_Place
evt039arg01participant	Contact.Negotiate_Participant
evt039arg02participant	Contact.Negotiate_Participant
evt039arg03place	Contact.Negotiate_Place
evt039arg04topic	Contact.Negotiate_Topic
evt040arg01participant	Contact.Negotiate.Correspondence_Participant
evt040arg02participant	Contact.Negotiate.Correspondence_Participant
evt040arg03place	Contact.Negotiate.Correspondence_Place
evt040arg04topic	Contact.Negotiate.Correspondence_Topic
evt041arg01participant	Contact.Negotiate.Meet_Participant
evt041arg02participant	Contact.Negotiate.Meet_Participant
evt041arg03place	Contact.Negotiate.Meet_Place
evt041arg04topic	Contact.Negotiate.Meet_Topic
evt042arg01communicator	Contact.Prevarication_Communicator
evt042arg02recipient	Contact.Prevarication_Recipient
evt042arg03place	Contact.Prevarication_Place
evt042arg04topic	Contact.Prevarication_Topic
