ontology_id	full_type	full_type_ov	metatype
LDC_ent_001	BAL	bal	Entity
LDC_ent_002	BAL.BallotSlate.BallotSlate	bal.ballotslate.ballotslate	Entity
LDC_ent_003	BAL.PaperBallot.PaperBallot	bal.paperballot.paperballot	Entity
LDC_ent_004	COM	com	Entity
LDC_ent_005	COM.Document	com.document	Entity
LDC_ent_006	COM.Document.Map	com.document.map	Entity
LDC_ent_007	COM.Document.PersonalIdentification	com.document.personalidentification	Entity
LDC_ent_008	COM.Equipment	com.equipment	Entity
LDC_ent_009	COM.Equipment.HumanitarianAid	com.equipment.humanitarianaid	Entity
LDC_ent_010	COM.Equipment.MedicalEquipment	com.equipment.medicalequipment	Entity
LDC_ent_011	COM.Equipment.MilitaryEquipment	com.equipment.militaryequipment	Entity
LDC_ent_012	COM.Equipment.Satellite	com.equipment.satellite	Entity
LDC_ent_013	COM.Flag.Flag	com.flag.flag	Entity
LDC_ent_014	COM.Wreckage.Wreckage	com.wreckage.wreckage	Entity
LDC_ent_028	FAC	fac	Entity
LDC_ent_029	FAC.Building	fac.building	Entity
LDC_ent_030	FAC.Building.ApartmentBuilding	fac.building.apartmentbuilding	Entity
LDC_ent_031	FAC.Building.GovernmentBuilding	fac.building.governmentbuilding	Entity
LDC_ent_032	FAC.Building.House	fac.building.house	Entity
LDC_ent_033	FAC.Building.OfficeBuilding	fac.building.officebuilding	Entity
LDC_ent_034	FAC.Building.School	fac.building.school	Entity
LDC_ent_035	FAC.Building.StoreShop	fac.building.storeshop	Entity
LDC_ent_036	FAC.Building.VotingFacility	fac.building.votingfacility	Entity
LDC_ent_037	FAC.GeographicalArea	fac.geographicalarea	Entity
LDC_ent_038	FAC.GeographicalArea.Border	fac.geographicalarea.border	Entity
LDC_ent_039	FAC.GeographicalArea.Checkpoint	fac.geographicalarea.checkpoint	Entity
LDC_ent_040	FAC.Installation	fac.installation	Entity
LDC_ent_041	FAC.Installation.Airport	fac.installation.airport	Entity
LDC_ent_042	FAC.Installation.MilitaryInstallation	fac.installation.militaryinstallation	Entity
LDC_ent_043	FAC.Installation.TrainStation	fac.installation.trainstation	Entity
LDC_ent_044	FAC.Structure	fac.structure	Entity
LDC_ent_045	FAC.Structure.Barricade	fac.structure.barricade	Entity
LDC_ent_046	FAC.Structure.Bridge	fac.structure.bridge	Entity
LDC_ent_047	FAC.Structure.Plaza	fac.structure.plaza	Entity
LDC_ent_048	FAC.Structure.Tower	fac.structure.tower	Entity
LDC_ent_049	FAC.Way	fac.way	Entity
LDC_ent_050	FAC.Way.Highway	fac.way.highway	Entity
LDC_ent_051	FAC.Way.Street	fac.way.street	Entity
LDC_ent_052	GPE	gpe	Entity
LDC_ent_053	GPE.Country.Country	gpe.country.country	Entity
LDC_ent_054	GPE.OrganizationOfCountries.OrganizationOfCountries	gpe.organizationofcountries.organizationofcountries	Entity
LDC_ent_055	GPE.ProvinceState.ProvinceState	gpe.provincestate.provincestate	Entity
LDC_ent_056	GPE.UrbanArea	gpe.urbanarea	Entity
LDC_ent_057	GPE.UrbanArea.City	gpe.urbanarea.city	Entity
LDC_ent_058	GPE.UrbanArea.Village	gpe.urbanarea.village	Entity
LDC_ent_059	LAW	law	Entity
LDC_ent_060	LAW.Referendum.Referendum	law.referendum.referendum	Entity
LDC_ent_061	LOC	loc	Entity
LDC_ent_062	LOC.GeographicPoint	loc.geographicpoint	Entity
LDC_ent_063	LOC.GeographicPoint.Address	loc.geographicpoint.address	Entity
LDC_ent_064	LOC.Land	loc.land	Entity
LDC_ent_065	LOC.Land.Continent	loc.land.continent	Entity
LDC_ent_066	LOC.Position	loc.position	Entity
LDC_ent_067	LOC.Position.AirSpace	loc.position.airspace	Entity
LDC_ent_068	LOC.Position.CrimeScene	loc.position.crimescene	Entity
LDC_ent_069	LOC.Position.Field	loc.position.field	Entity
LDC_ent_070	LOC.Position.Neighborhood	loc.position.neighborhood	Entity
LDC_ent_071	LOC.Position.Region	loc.position.region	Entity
LDC_ent_072	MON	mon	Entity
LDC_ent_073	MON.Assets.Assets	mon.assets.assets	Entity
LDC_ent_074	MON.Cash.Cash	mon.cash.cash	Entity
LDC_ent_075	ORG	org	Entity
LDC_ent_076	ORG.Association	org.association	Entity
LDC_ent_077	ORG.Association.Club	org.association.club	Entity
LDC_ent_078	ORG.Association.Team	org.association.team	Entity
LDC_ent_079	ORG.CommercialOrganization	org.commercialorganization	Entity
LDC_ent_080	ORG.CommercialOrganization.BroadcastingCompany	org.commercialorganization.broadcastingcompany	Entity
LDC_ent_081	ORG.CommercialOrganization.Corporation	org.commercialorganization.corporation	Entity
LDC_ent_082	ORG.CommercialOrganization.Manufacturer	org.commercialorganization.manufacturer	Entity
LDC_ent_083	ORG.CommercialOrganization.NewsAgency	org.commercialorganization.newsagency	Entity
LDC_ent_084	ORG.CriminalOrganization.CriminalOrganization	org.criminalorganization.criminalorganization	Entity
LDC_ent_085	ORG.Government	org.government	Entity
LDC_ent_086	ORG.Government.Agency	org.government.agency	Entity
LDC_ent_087	ORG.Government.Council	org.government.council	Entity
LDC_ent_088	ORG.Government.FireDepartment	org.government.firedepartment	Entity
LDC_ent_089	ORG.Government.LawEnforcementAgency	org.government.lawenforcementagency	Entity
LDC_ent_090	ORG.Government.LegislativeBody	org.government.legislativebody	Entity
LDC_ent_091	ORG.Government.ProsecutorOffice	org.government.prosecutoroffice	Entity
LDC_ent_092	ORG.Government.Railway	org.government.railway	Entity
LDC_ent_093	ORG.International	org.international	Entity
LDC_ent_094	ORG.International.Commission	org.international.commission	Entity
LDC_ent_095	ORG.International.MonitoringGroup	org.international.monitoringgroup	Entity
LDC_ent_096	ORG.MilitaryOrganization	org.militaryorganization	Entity
LDC_ent_097	ORG.MilitaryOrganization.GovernmentArmedForces	org.militaryorganization.governmentarmedforces	Entity
LDC_ent_098	ORG.MilitaryOrganization.Intelligence	org.militaryorganization.intelligence	Entity
LDC_ent_099	ORG.MilitaryOrganization.NonGovernmentMilitia	org.militaryorganization.nongovernmentmilitia	Entity
LDC_ent_100	ORG.PoliticalOrganization	org.politicalorganization	Entity
LDC_ent_101	ORG.PoliticalOrganization.Court	org.politicalorganization.court	Entity
LDC_ent_102	ORG.PoliticalOrganization.Party	org.politicalorganization.party	Entity
LDC_ent_103	PER	per	Entity
LDC_ent_104	PER.Combatant	per.combatant	Entity
LDC_ent_105	PER.Combatant.Mercenary	per.combatant.mercenary	Entity
LDC_ent_106	PER.Combatant.Sniper	per.combatant.sniper	Entity
LDC_ent_107	PER.Fan	per.fan	Entity
LDC_ent_108	PER.Fan.SportsFan	per.fan.sportsfan	Entity
LDC_ent_109	PER.MilitaryPersonnel	per.militarypersonnel	Entity
LDC_ent_110	PER.MilitaryPersonnel.MilitaryOfficer	per.militarypersonnel.militaryofficer	Entity
LDC_ent_111	PER.Police	per.police	Entity
LDC_ent_112	PER.Police.ChiefOfPolice	per.police.chiefofpolice	Entity
LDC_ent_113	PER.Politician	per.politician	Entity
LDC_ent_114	PER.Politician.Governor	per.politician.governor	Entity
LDC_ent_115	PER.Politician.HeadOfGovernment	per.politician.headofgovernment	Entity
LDC_ent_116	PER.Politician.Mayor	per.politician.mayor	Entity
LDC_ent_117	PER.ProfessionalPosition	per.professionalposition	Entity
LDC_ent_118	PER.ProfessionalPosition.Ambassador	per.professionalposition.ambassador	Entity
LDC_ent_119	PER.ProfessionalPosition.Firefighter	per.professionalposition.firefighter	Entity
LDC_ent_120	PER.ProfessionalPosition.Journalist	per.professionalposition.journalist	Entity
LDC_ent_121	PER.ProfessionalPosition.Minister	per.professionalposition.minister	Entity
LDC_ent_122	PER.ProfessionalPosition.MedicalPersonnel	per.professionalposition.medicalpersonnel	Entity
LDC_ent_123	PER.ProfessionalPosition.Scientist	per.professionalposition.scientist	Entity
LDC_ent_124	PER.ProfessionalPosition.Spokesperson	per.professionalposition.spokesperson	Entity
LDC_ent_125	PER.ProfessionalPosition.Spy	per.professionalposition.spy	Entity
LDC_ent_126	PER.Protester	per.protester	Entity
LDC_ent_127	PER.Protester.ProtestLeader	per.protester.protestleader	Entity
LDC_ent_128	RES	res	Entity
LDC_ent_129	RES.NumberPercentageVotes.NumberPercentageVotes	res.numberpercentagevotes.numberpercentagevotes	Entity
LDC_ent_130	RES.TurnoutVoters.TurnoutVoters	res.turnoutvoters.turnoutvoters	Entity
LDC_ent_131	SID	sid	Entity
LDC_ent_132	SID.Cultural.Cultural	sid.cultural.cultural	Entity
LDC_ent_133	SID.Ideological.Ideological	sid.ideological.ideological	Entity
LDC_ent_134	SID.Political.Opposition	sid.political.opposition	Entity
LDC_ent_135	SID.Religious.Religious	sid.religious.religious	Entity
LDC_ent_136	SID.Sports.Sports	sid.sports.sports	Entity
LDC_ent_137	TTL	ttl	Entity
LDC_ent_138	VAL	val	Entity
LDC_ent_139	VAL.Number.Number	val.number.number	Entity
LDC_ent_140	VEH	veh	Entity
LDC_ent_141	VEH.Aircraft	veh.aircraft	Entity
LDC_ent_142	VEH.Aircraft.Airplane	veh.aircraft.airplane	Entity
LDC_ent_143	VEH.Aircraft.CargoAircraft	veh.aircraft.cargoaircraft	Entity
LDC_ent_144	VEH.Aircraft.Helicopter	veh.aircraft.helicopter	Entity
