document_id	document_element_or_keyframe_id	modality	region	type
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	ArtifactExistence.ArtifactFailure.MechanicalFailure
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	Conflict.Attack
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	Contact.PublicStatementInPerson
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	Disaster.AccidentCrash.AccidentCrash
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	Disaster.FireExplosion.FireExplosion
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	FAC.Building.ApartmentBuilding
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	GPE.Country.Country
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	GPE.UrbanArea.City
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	GeneralAffiliation.Sponsorship.Affiliated
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	Inspection.TargetAimAt.TargetAimAt
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	Justice.ArrestJailDetain.ArrestJailDetain
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	Justice.Investigate.InvestigateCrime
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	Life.Die.DeathCausedByViolentEvents
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	Life.Injure.InjuryCausedByViolentEvents
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	Measurement.Size.Count
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	Movement.TransportArtifact.BringCarryUnload
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	OrganizationAffiliation.Leadership.HeadOfState
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	PER
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	PER.MilitaryPersonnel
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	PER.Police
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	PER.Politician
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	PER.Politician.HeadOfGovernment
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	PER.ProfessionalPosition
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	PER.ProfessionalPosition.Minister
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	ResponsibilityBlame.AssignBlame.AssignBlame
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	VAL.Number.Number
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	VEH.Aircraft.Drone
IC001V8WF	IC001VBI8	text	(1319,0)-(2240,0)	WEA
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	ArtifactExistence.ArtifactFailure.MechanicalFailure
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	Conflict.Attack
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	Contact.PublicStatementInPerson
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	Disaster.AccidentCrash.AccidentCrash
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	Disaster.FireExplosion.FireExplosion
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	FAC.Building.ApartmentBuilding
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	GPE.Country.Country
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	GPE.UrbanArea.City
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	GeneralAffiliation.Sponsorship.Affiliated
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	Inspection.TargetAimAt.TargetAimAt
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	Justice.ArrestJailDetain.ArrestJailDetain
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	Justice.Investigate.InvestigateCrime
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	Life.Die.DeathCausedByViolentEvents
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	Life.Injure.InjuryCausedByViolentEvents
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	Measurement.Size.Count
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	Movement.TransportArtifact.BringCarryUnload
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	OrganizationAffiliation.Leadership.HeadOfState
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	PER
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	PER.MilitaryPersonnel
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	PER.Police
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	PER.Politician
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	PER.Politician.HeadOfGovernment
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	PER.ProfessionalPosition
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	PER.ProfessionalPosition.Minister
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	ResponsibilityBlame.AssignBlame.AssignBlame
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	VAL.Number.Number
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	VEH.Aircraft.Drone
IC001V8WF	IC001VBI8	text	(85,0)-(1103,0)	WEA
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	ArtifactExistence.DamageDestroy.Damage
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	Conflict.Attack
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	Conflict.Attack.Bombing
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	Conflict.Attack.FirearmAttack
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	Conflict.Demonstrate.MarchProtestPoliticalGathering
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	Contact.Collaborate
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	Contact.MediaStatement
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	Disaster.AccidentCrash.AccidentCrash
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	Disaster.FireExplosion.FireExplosion
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	FAC.Building.ApartmentBuilding
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	FAC.Installation.MilitaryInstallation
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	FAC.Way.Street
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	GPE.Country.Country
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	GPE.UrbanArea.City
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	Inspection.TargetAimAt.TargetAimAt
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	Justice.ArrestJailDetain.ArrestJailDetain
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	LOC.GeographicPoint
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	LOC.Position
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	Measurement.Size.Count
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	Movement.TransportArtifact
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	Movement.TransportArtifact.Fall
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	Movement.TransportArtifact.LossOfControl
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	Movement.TransportPerson.EvacuationRescue
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	ORG
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	ORG.Government
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	ORG.PoliticalOrganization
