type	docid	doceid	spans
ArtifactExistence.ArtifactFailure.MechanicalFailure	IC001V8WF	IC001VBI8	(1968,0)-(1980,0)
ArtifactExistence.ArtifactFailure.MechanicalFailure	IC001V8WF	IC001VBI8	(2068,0)-(2078,0)
ArtifactExistence.DamageDestroy.Damage	IC001V9U9	IC001VBJM	(2745,0)-(2748,0)
ArtifactExistence.DamageDestroy.Damage	IC001VFH8	IC001VFHC	(157.708,0)-(164.115,0)
ArtifactExistence.Shortage.Shortage	JC002YCXK	JC002YEOG	(2352,0)-(2355,0)
BAL	KC003A6NA	KC003ADT2	(4999,0)-(5005,0)
BAL	KC003A6NA	KC003ADT2	(5324,0)-(5330,0)
COM	JC002YCXK	JC002YEOG	(2370,0)-(2453,0)
COM	JC002YCXK	JC002YEOG	(709,0)-(715,0)
Conflict.Attack	IC001V8WF	IC001VBI8	(1000,0)-(1006,0)
Conflict.Attack	IC001V8WF	IC001VBI8	(1420,0)-(1425,0)
Conflict.Attack	IC001V8WF	IC001VBI8	(1479,0)-(1486,0)
Conflict.Attack	IC001V8WF	IC001VBI8	(1784,0)-(1787,0)
Conflict.Attack	IC001V8WF	IC001VBI8	(2115,0)-(2120,0)
Conflict.Attack	IC001V8WF	IC001VBI8	(382,0)-(392,0)
Conflict.Attack	IC001V8WF	IC001VBI8	(712,0)-(715,0)
Conflict.Attack	IC001V9U9	IC001VBJM	(2035,0)-(2040,0)
Conflict.Attack	IC001VAPK	IC001VBFN	(937,0)-(942,0)
Conflict.Attack	IC001VGO2	IC001VGWW	(723,0)-(728,0)
Conflict.Attack	KC003A59I	KC003A59K	(1432.517,0)-(1440.18,0)
Conflict.Attack	KC003A59I	KC003A59K	(1451.372,0)-(1463.076,0)
Conflict.Attack	KC003A6NA	KC003ADT2	(2521,0)-(2531,0)
Conflict.Attack	KC003A6NA	KC003ADT2	(2965,0)-(2969,0)
Conflict.Attack	KC003A6NA	KC003ADT2	(3083,0)-(3089,0)
Conflict.Attack	KC003A6NA	KC003ADT2	(3116,0)-(3119,0)
Conflict.Attack	KC003A6NA	KC003ADT2	(3173,0)-(3178,0)
Conflict.Attack	KC003A6NA	KC003ADT2	(3183,0)-(3189,0)
Conflict.Attack.BiologicalChemicalPoisonAttack	JC002YF02	JC002YF53	(4673,0)-(4691,0)
Conflict.Attack.Bombing	IC001V9U9	IC001VBJM	(182,0)-(192,0)
Conflict.Attack.Bombing	IC001V9U9	IC001VBJM	(300,0)-(305,0)
Conflict.Attack.Bombing	IC001V9U9	IC001VBJM	(3656,0)-(3661,0)
Conflict.Attack.Bombing	IC001V9U9	IC001VBJM	(4535,0)-(4540,0)
Conflict.Attack.Bombing	IC001V9U9	IC001VBJM	(643,0)-(648,0)
Conflict.Attack.Bombing	IC001VAPK	IC001VBFN	(224,0)-(233,0)
