doceid	detype	docid
IC001V7UR	gif	IC001V7UQ
IC001V7UZ	jpg	IC001V7UQ
IC001VBG6	ltf	IC001V7UQ
IC001V7US	png	IC001V7UQ
IC001V7UV	png	IC001V7UQ
IC001V7UY	png	IC001V7UQ
IC001V7UX	png	IC001V7UQ
IC001V7UW	png	IC001V7UQ
IC001V6YI	gif	IC001V6YB
IC001V6YH	gif	IC001V6YB
IC001V6YJ	gif	IC001V6YB
IC001V7FM	ltf	IC001V6YB
IC001V6TP	gif	IC001V6YB
IC001V6TQ	gif	IC001V6TK
IC001V6TP	gif	IC001V6TK
IC001V6TT	gif	IC001V6TK
IC001V6TS	gif	IC001V6TK
IC001V6TR	gif	IC001V6TK
IC001V7F6	ltf	IC001V6TK
IC001VC9F	gif	IC001VC99
IC001VC9G	jpg	IC001VC99
IC001VC9E	jpg	IC001VC99
IC001VC9D	jpg	IC001VC99
IC001VC9C	jpg	IC001VC99
IC001VCBI	ltf	IC001VC99
IC001VC9B	mp4	IC001VC99
IC001V6ML	gif	IC001V6M7
IC001V6ME	png	IC001V6M7
IC001V6MM	png	IC001V6M7
IC001V6MD	png	IC001V6M7
IC001V6MO	png	IC001V6M7
IC001V6MG	png	IC001V6M7
IC001V6M9	png	IC001V6M7
IC001V6MP	png	IC001V6M7
IC001V6MN	png	IC001V6M7
IC001V6MF	png	IC001V6M7
IC001V7J6	gif	IC001V7J4
IC001V7J9	jpg	IC001V7J4
IC001V7UL	ltf	IC001V7J4
IC001VGD7	gif	IC001VGD3
IC001VGD5	gif	IC001VGD3
IC001VGD6	jpg	IC001VGD3
IC001VGHA	ltf	IC001VGD3
IC001VAAR	gif	IC001VAAC
IC001VAAI	gif	IC001VAAC
IC001VAAW	gif	IC001VAAC
IC001VAAS	jpg	IC001VAAC
IC001VAAT	jpg	IC001VAAC
IC001VAAX	jpg	IC001VAAC
IC001VAAY	jpg	IC001VAAC
IC001VBG5	ltf	IC001VAAC
IC001VAAM	png	IC001VAAC
IC001VAAV	png	IC001VAAC
IC001VF0H	gif	IC001VF0D
IC001VF0K	gif	IC001VF0D
IC001VF0J	gif	IC001VF0D
IC001VF0M	gif	IC001VF0D
IC001VF0I	jpg	IC001VF0D
IC001VF0L	jpg	IC001VF0D
IC001VFZ3	ltf	IC001VF0D
IC001VF0F	mp4	IC001VF0D
IC001VF0G	mp4	IC001VF0D
IC001VF0T	png	IC001VF0D
IC001V5XV	jpg	IC001VF0D
IC001V5XU	jpg	IC001VF0D
IC001V8A9	jpg	IC001VF0D
IC001V8A8	jpg	IC001VF0D
IC001V7R1	jpg	IC001VF0D
IC001V5XK	jpg	IC001VF0D
IC001V5XJ	jpg	IC001VF0D
IC001VBKL	gif	IC001VBKE
IC001VBKQ	jpg	IC001VBKE
IC001VBKO	jpg	IC001VBKE
IC001VBLV	jpg	IC001VBKE
IC001VBLY	jpg	IC001VBKE
IC001VBLH	jpg	IC001VBKE
IC001VBM0	jpg	IC001VBKE
IC001VBLG	jpg	IC001VBKE
IC001VBMG	jpg	IC001VBKE
IC001VBMH	jpg	IC001VBKE
IC001VBL0	jpg	IC001VBKE
IC001VBKV	jpg	IC001VBKE
IC001VBKY	jpg	IC001VBKE
IC001VBL7	jpg	IC001VBKE
IC001VBL8	jpg	IC001VBKE
IC001VBLQ	jpg	IC001VBKE
IC001VBM8	jpg	IC001VBKE
IC001VBLO	jpg	IC001VBKE
IC001VBLF	jpg	IC001VBKE
