?cluster	?sa_month	?sa_day	?sa_year	?sb_month	?sb_day	?sb_year	?ea_month	?ea_day	?ea_year	?eb_month	?eb_day	?eb_year
cluster-NILR22182												
cluster-NILR22183												
cluster-NILR22184	"01"	"01"	"2018"				"01"	"01"	"2018"			
cluster-NILR22185	"01"	"01"	"2018"				"01"	"01"	"2018"			
cluster-NILR22186	"01"	"01"	"2018"				"01"	"01"	"2018"			
cluster-NILR22187	"01"	"01"	"2018"				"01"	"01"	"2018"			
cluster-NILR22189	"01"	"01"	"2018"				"01"	"01"	"2018"			
cluster-NILR22190	"01"	"01"	"2018"	"12"	"31"	"2018"	"01"	"01"	"2018"	"12"	"31"	"2018"
cluster-NILR22191	"01"	"01"	"2018"	"12"	"31"	"2018"	"01"	"01"	"2018"	"12"	"31"	"2018"
cluster-NILR22192	"01"	"01"	"2018"				"01"	"01"	"2018"			
cluster-NILR22193	"01"	"01"	"2018"				"01"	"01"	"2018"			
cluster-NILR22194												
cluster-NILR22195												
cluster-NILR22196	"01"	"01"	"2018"				"01"	"01"	"2018"			
cluster-NILR22197												
cluster-NILR22198	"01"	"01"	"2018"	"12"	"31"	"2018"	"01"	"01"	"2018"	"12"	"31"	"2018"
cluster-NILV22182	"01"	"01"	"2018"	"12"	"31"	"2018"	"01"	"01"	"2018"	"12"	"31"	"2018"
cluster-NILV22183	"01"	"01"	"2018"	"12"	"31"	"2018"	"01"	"01"	"2018"	"12"	"31"	"2018"
cluster-NILV22184	"01"	"01"	"2018"	"12"	"31"	"2018"	"01"	"01"	"2018"	"12"	"31"	"2018"
cluster-NILV22185	"01"	"01"	"2018"	"12"	"31"	"2018"	"01"	"01"	"2018"	"12"	"31"	"2018"
cluster-NILV22186	"01"	"01"	"2018"	"12"	"31"	"2018"	"01"	"01"	"2018"	"12"	"31"	"2018"
cluster-NILV22187	"01"	"01"	"2018"	"12"	"31"	"2018"	"01"	"01"	"2018"	"12"	"31"	"2018"
cluster-NILV22188	"01"	"01"	"2018"				"01"	"01"	"2018"			
cluster-NILV22189	"01"	"01"	"2018"	"12"	"31"	"2018"	"01"	"01"	"2018"	"12"	"31"	"2018"
cluster-NILV22190	"01"	"01"	"2018"	"12"	"31"	"2018"	"01"	"01"	"2018"	"12"	"31"	"2018"
cluster-NILV22191	"01"	"01"	"2018"				"01"	"01"	"2018"			
cluster-NILV22192	"01"	"01"	"2018"	"12"	"31"	"2018"	"01"	"01"	"2018"	"12"	"31"	"2018"
cluster-NILV22193												
