?cluster	?sa_month	?sa_day	?sa_year	?sb_month	?sb_day	?sb_year	?ea_month	?ea_day	?ea_year	?eb_month	?eb_day	?eb_year
cluster-NILR21321				"08"	"04"	"2018"						
cluster-NILR21322				"12"	"31"	"2014"						
cluster-NILR21323				"08"	"04"	"2018"						
cluster-NILR21324												
cluster-NILR21325												
cluster-NILR21326												
cluster-NILR21327				"10"	"17"	"2018"						
cluster-NILR21328												
cluster-NILR21329				"08"	"04"	"2018"				"08"	"04"	"2018"
cluster-NILR21330												
cluster-NILR21331												
cluster-NILR21332				"10"	"17"	"2018"						
cluster-NILR21333				"08"	"04"	"2018"				"08"	"04"	"2018"
cluster-NILR21334				"08"	"04"	"2018"				"08"	"04"	"2018"
cluster-NILR21335				"08"	"04"	"2018"						
cluster-NILR21336												
cluster-NILR21337				"12"	"31"	"2014"						
cluster-NILR21338				"08"	"04"	"2018"						
cluster-NILR21339				"10"	"17"	"2018"				"10"	"17"	"2018"
cluster-NILR21340												
cluster-NILR21341				"10"	"17"	"2018"						
cluster-NILR21342				"12"	"31"	"2014"	"01"	"01"	"2014"	"12"	"31"	"2014"
cluster-NILR21343												
cluster-NILR21344												
cluster-NILR21345												
cluster-NILR21346												
cluster-NILV21320				"08"	"04"	"2018"				"08"	"04"	"2018"
cluster-NILV21321	"01"	"01"	"2014"	"12"	"31"	"2014"	"01"	"01"	"2014"	"12"	"31"	"2014"
cluster-NILV21322	"07"	"30"	"2017"	"07"	"30"	"2017"	"08"	"04"	"2018"	"10"	"17"	"2018"
cluster-NILV21323				"10"	"17"	"2018"				"10"	"17"	"2018"
cluster-NILV21324				"10"	"17"	"2018"				"10"	"17"	"2018"
cluster-NILV21325				"10"	"17"	"2018"				"10"	"17"	"2018"
cluster-NILV21326				"10"	"17"	"2018"				"10"	"17"	"2018"
cluster-NILV21327				"10"	"17"	"2018"				"10"	"17"	"2018"
cluster-NILV21328				"10"	"17"	"2018"				"10"	"17"	"2018"
cluster-NILV21329	"01"	"01"	"2014"	"12"	"31"	"2014"	"01"	"01"	"2014"	"12"	"31"	"2014"
cluster-NILV21330	"01"	"01"	"2015"	"12"	"31"	"2015"	"01"	"01"	"2015"	"12"	"31"	"2015"
cluster-NILV21331	"01"	"01"	"2017"	"12"	"31"	"2017"	"01"	"01"	"2017"	"12"	"31"	"2017"
cluster-NILV21332				"10"	"17"	"2018"				"10"	"17"	"2018"
cluster-NILV21333	"01"	"01"	"2014"	"12"	"31"	"2014"	"01"	"01"	"2014"	"12"	"31"	"2014"
cluster-NILV21334	"01"	"01"	"2015"	"12"	"31"	"2015"	"01"	"01"	"2015"	"12"	"31"	"2015"
cluster-NILV21335	"01"	"01"	"2017"	"12"	"31"	"2017"	"01"	"01"	"2017"	"12"	"31"	"2017"
