?cluster	?sa_month	?sa_day	?sa_year	?sb_month	?sb_day	?sb_year	?ea_month	?ea_day	?ea_year	?eb_month	?eb_day	?eb_year
cluster-NILR20375				"08"	"04"	"2018"						
cluster-NILR20376				"08"	"04"	"2018"						
cluster-NILR20377				"08"	"04"	"2018"						
cluster-NILR20378				"08"	"04"	"2018"				"08"	"04"	"2018"
cluster-NILR20379							"08"	"05"	"2018"			
cluster-NILR20380												
cluster-NILR20381				"08"	"04"	"2018"						
cluster-NILR20382												
cluster-NILR20383												
cluster-NILR20384	"08"	"04"	"2018"	"08"	"04"	"2018"						
cluster-NILR20385												
cluster-NILR20386												
cluster-NILR20387												
cluster-NILR20388	"08"	"04"	"2018"							"08"	"05"	"2018"
cluster-NILR20389	"08"	"04"	"2018"	"08"	"04"	"2018"						
cluster-NILR20390	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"			
cluster-NILR20391	"08"	"04"	"2018"	"08"	"04"	"2018"						
cluster-NILR20392	"08"	"04"	"2018"	"08"	"04"	"2018"						
cluster-NILR20393				"08"	"05"	"2018"						
cluster-NILV20387	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20388	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20389	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20390	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20391	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20392	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20393	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20394	"01"	"01"	"2014"	"12"	"31"	"2014"	"01"	"01"	"2014"	"12"	"31"	"2014"
cluster-NILV20395				"08"	"05"	"2018"				"08"	"05"	"2018"
cluster-NILV20396	"08"	"04"	"2018"	"08"	"05"	"2018"	"08"	"04"	"2018"	"08"	"05"	"2018"
cluster-NILV20397	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20398	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20399	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20400	"01"	"01"	"2014"	"12"	"31"	"2014"	"01"	"01"	"2014"	"12"	"31"	"2014"
cluster-NILV20401	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20402	"08"	"01"	"2017"	"08"	"31"	"2017"	"08"	"01"	"2017"	"08"	"31"	"2017"
cluster-NILV20403	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20404	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV20405	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
