?cluster	?metatype	?type	?mention_span	?type_statement_confidence	?cluster_membership_confidence	?mention_type_justification_confidence
cluster-NILE20830	Entity	PER	KC003A6NA:KC003ADT2:(5054,0)-(5068,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20831	Entity	RES.NumberPercentageVotes.NumberPercentageVotes	KC003A6NA:KC003ADT2:(4880,0)-(4924,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20832	Entity	RES.TurnoutVoters.TurnoutVoters	KC003A6NA:KC003ADT2:(4809,0)-(4837,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20833	Entity	RES.TurnoutVoters.TurnoutVoters	KC003A6NA:KC003ADT2:(5030,0)-(5068,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20834	Entity	SID.Political.Opposition	KC003A6NA:KC003ADT2:(4850,0)-(4859,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20835	Entity	VAL.Number.Number	KC003A6NA:KC003ADT2:(2415,0)-(2416,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20836	Entity	VAL.Number.Number	KC003A6NA:KC003ADT2:(3275,0)-(3276,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20837	Entity	VAL.Number.Number	KC003A6NA:KC003ADT2:(3282,0)-(3283,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20838	Entity	VAL.Number.Number	KC003A6NA:KC003ADT2:(3398,0)-(3399,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20839	Entity	VAL.Number.Number	KC003A6NA:KC003ADT2:(4809,0)-(4831,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20840	Entity	VAL.Number.Number	KC003A6NA:KC003ADT2:(4880,0)-(4889,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20841	Entity	VAL.Number.Number	KC003A6NA:KC003ADT2:(4973,0)-(4985,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20842	Entity	VAL.Number.Number	KC003A6NA:KC003ADT2:(5030,0)-(5049,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20843	Entity	VAL.Number.Number	KC003A6NA:KC003ADT2:(5275,0)-(5310,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20844	Entity	VAL.Number.Number	KC003A6NA:KC003ADT2:(2724,0)-(2737,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20845	Entity	VAL.Number.Number	KC003A6NA:KC003ADT2:(3149,0)-(3159,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20846	Entity	WEA.Bullets.RubberBullets	KC003A6NA:KC003ADT2:(3057,0)-(3070,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20847	Entity	WEA.Gas.TearGas	KC003A6NA:KC003ADT2:(2971,0)-(2978,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20848	Entity	WEA	KC003A6NA:KC003ADT2:(3042,0)-(3054,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20849	Entity	WEA.Club	KC003A6NA:KC003ADT2:(3076,0)-(3081,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20850	Entity	WEA.Bullets	KC003A6NA:KC003ADT2:(3474,0)-(3481,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20851	Entity	BAL	KC003A6NA:KC003ADT2:(4999,0)-(5005,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20851	Entity	BAL	KC003A6NA:KC003ADT2:(5324,0)-(5330,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20852	Entity	FAC.Building.School	KC003A6NA:KC003ADT2:(3371,0)-(3389,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20853	Entity	FAC.Building	KC003A6NA:KC003ADT2:(2449,0)-(2456,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20853	Entity	FAC.Building	KC003A6NA:KC003ADT2:(2533,0)-(2567,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20853	Entity	FAC.Building	KC003A6NA:KC003ADT2:(2605,0)-(2609,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20854	Entity	GPE.UrbanArea.City	KC003A6NA:KC003ADT2:(3428,0)-(3439,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20854	Entity	GPE.UrbanArea.City	KC003A6NA:KC003ADT2:(3442,0)-(3466,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20855	Entity	GPE.UrbanArea.City	KC003A6NA:KC003ADT2:(2554,0)-(2567,0)	"1.0"	"1.0"	"1.0"
cluster-NILE20856	Entity	GPE.UrbanArea.City	KC003A6NA:KC003ADT2:(2706,0)-(2712,0)	"1.0"	"1.0"	"1.0"
