?cluster	?sa_month	?sa_day	?sa_year	?sb_month	?sb_day	?sb_year	?ea_month	?ea_day	?ea_year	?eb_month	?eb_day	?eb_year
cluster-NILR21960	"08"	"05"	"2018"	"08"	"05"	"2018"	"08"	"05"	"2018"	"08"	"05"	"2018"
cluster-NILR21962	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"05"	"2018"	"08"	"05"	"2018"
cluster-NILR21964												
cluster-NILR21965												
cluster-NILR21966												
cluster-NILV21960	"08"	"04"	"2018"	"08"	"04"	"2018"						
cluster-NILV21961	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV21962	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV21964	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
cluster-NILV21965	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"	"08"	"04"	"2018"
