?cluster	?metatype	?type	?mention_span	?type_statement_confidence	?cluster_membership_confidence	?mention_type_justification_confidence
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22385>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Entity>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#GPE.ProvinceState.ProvinceState>	JC002YC48:JC002YEMH:(399,0)-(404,0)	"1.0"	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22386>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Entity>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#GPE.UrbanArea.City>	JC002YC48:JC002YEMH:(363,0)-(370,0)	"1.0"	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22387>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Entity>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#LOC.Position.Region>	JC002YC48:JC002YEMH:(322,0)-(332,0)	"1.0"	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22388>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Entity>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#MHI.Disease.Disease>	JC002YC48:JC002YEMH:(131,0)-(141,0)	"1.0"	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22388>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Entity>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#MHI.Disease.Disease>	JC002YC48:JC002YEMH:(19,0)-(34,0)	"1.0"	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22388>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Entity>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#MHI.Disease.Disease>	JC002YC48:JC002YEMH:(25,0)-(34,0)	"1.0"	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22388>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Entity>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#MHI.Disease.Disease>	JC002YC48:JC002YEMH:(265,0)-(281,0)	"1.0"	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22388>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Entity>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#MHI.Disease.Disease>	JC002YC48:JC002YEMH:(530,0)-(545,0)	"1.0"	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22388>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Entity>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#MHI.Disease.Disease>	JC002YC48:JC002YEMH:(612,0)-(622,0)	"1.0"	"1.0"	"1.0"
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE22388>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/InterchangeOntology#Entity>	<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LDCOntologyM36#MHI.Disease.Disease>	JC002YC48:JC002YEMH:(68,0)-(104,0)	"1.0"	"1.0"	"1.0"
