doceid	detype	docid	lang_manual
L0C0496PF	png	L0C0496PB	n/a
L0C0496PG	png	L0C0496PB	n/a
L0C0496PJ	png	L0C0496PB	n/a
L0C0496PL	png	L0C0496PB	n/a
L0C0496PO	jpg	L0C0496PB	n/a
L0C0496PP	jpg	L0C0496PB	n/a
L0C0496PQ	jpg	L0C0496PB	n/a
L0C0496PU	jpg	L0C0496PB	n/a
L0C0496Q7	png	L0C0496PB	n/a
L0C0496Q8	jpg	L0C0496PB	n/a
L0C0496Q9	png	L0C0496PB	n/a
L0C0496QA	jpg	L0C0496PB	n/a
L0C0496QB	jpg	L0C0496PB	n/a
L0C0496QC	jpg	L0C0496PB	n/a
L0C0496QD	jpg	L0C0496PB	n/a
L0C0496QE	jpg	L0C0496PB	n/a
L0C0496QF	jpg	L0C0496PB	n/a
L0C0496QG	jpg	L0C0496PB	n/a
L0C049DUI	ltf	L0C0496PB	eng
L0C04AJNR	jpg	L0C04AJNP	n/a
L0C04AJNS	jpg	L0C04AJNP	n/a
L0C04AJNT	jpg	L0C04AJNP	n/a
L0C04AJNU	jpg	L0C04AJNP	n/a
L0C04AJNV	jpg	L0C04AJNP	n/a
L0C04AJNW	png	L0C04AJNP	n/a
L0C04AJNX	png	L0C04AJNP	n/a
L0C04AJNY	png	L0C04AJNP	n/a
L0C04AJNZ	jpg	L0C04AJNP	n/a
L0C04ATJY	ltf	L0C04AJNP	eng
L0C04CWFX	png	L0C04CWFV	n/a
L0C04CWFZ	png	L0C04CWFV	n/a
L0C04CWG0	png	L0C04CWFV	n/a
L0C04CWG1	png	L0C04CWFV	n/a
L0C04CWG2	png	L0C04CWFV	n/a
L0C04D4EO	ltf	L0C04CWFV	rus
