doceid	segment_id	start_char	end_char	start_segment_offset	end_segment_offset
L0C049DUI	0	1	81	278	1540
L0C049DUI	1	85	186	1541	3307
L0C049DUI	2	189	317	3308	5571
L0C049DUI	3	321	329	5572	5942
L0C049DUI	4	332	433	5943	7809
L0C049DUI	5	435	452	7810	8374
L0C049DUI	6	455	569	8375	10612
L0C049DUI	7	572	592	10613	11016
L0C049DUI	8	595	827	11017	15061
L0C049DUI	9	829	916	15062	16380
L0C04ATJY	0	1	36	279	774
L0C04ATJY	1	41	77	775	1359
L0C04ATJY	2	81	297	1360	4752
L0C04ATJY	3	299	321	4753	5323
L0C04ATJY	4	323	465	5324	7526
L0C04ATJY	5	468	634	7527	10300
L0C04ATJY	6	637	779	10301	12851
L0C04ATJY	7	781	894	12852	15168
L0C04ATJY	8	896	1018	15169	17160
L0C04ATJY	9	1020	1115	17161	18688
L0C04ATJY	10	1118	1206	18689	20574
L0C04ATJY	11	1209	1238	20575	21175
L0C04ATJY	12	1242	1332	21176	22795
L0C04ATJY	13	1334	1483	22796	25525
L0C04ATJY	14	1486	1576	25526	27421
L0C04ATJY	15	1578	1731	27422	30253
L0C04ATJY	16	1733	1903	30254	33122
L0C04ATJY	17	1906	1981	33123	34354
L0C04ATJY	18	1983	2141	34355	37286
L0C04ATJY	19	2143	2182	37287	37998
L0C04ATJY	20	2184	2287	37999	40012
L0C04ATJY	21	2290	2416	40013	42698
L0C04ATJY	22	2418	2491	42699	44104
L0C04ATJY	23	2493	2592	44105	46104
L0C04ATJY	24	2595	2621	46105	46432
L0C04ATJY	25	2625	2726	46433	47987
L0C04ATJY	26	2728	2813	47988	49417
L0C04ATJY	27	2816	3004	49418	52585
L0C04ATJY	28	3006	3150	52586	55581
L0C04ATJY	29	3152	3233	55582	56913
L0C04ATJY	30	3235	3292	56914	58107
L0C04ATJY	31	3295	3343	58108	58924
L0C04ATJY	32	3347	3443	58925	60648
L0C04ATJY	33	3445	3529	60649	62348
L0C04ATJY	34	3531	3634	62349	64182
L0C04ATJY	35	3636	3784	64183	66645
L0C04ATJY	36	3787	3880	66646	68543
L0C04ATJY	37	3882	3938	68544	69645
L0C04ATJY	38	3940	4023	69646	71071
L0C04ATJY	39	4025	4139	71072	73282
L0C04ATJY	40	4142	4289	73283	76011
L0C04ATJY	41	4292	4371	76012	77609
L0C04ATJY	42	4373	4453	77610	79032
L0C04ATJY	43	4456	4549	79033	80484
L0C04ATJY	44	4551	4736	80485	84100
L0C04ATJY	45	4739	4757	84101	84508
L0C04ATJY	46	4761	4839	84509	86017
L0C04ATJY	47	4841	4960	86018	88241
L0C04ATJY	48	4963	5127	88242	91186
L0C04ATJY	49	5129	5230	91187	92924
L0C04ATJY	50	5232	5382	92925	95474
L0C04ATJY	51	5385	5453	95475	96690
L0C04ATJY	52	5455	5555	96691	98872
L0C04ATJY	53	5557	5666	98873	100984
L0C04ATJY	54	5668	5834	100985	104381
L0C04ATJY	55	5836	5941	104382	106308
L0C04D4EO	0	1	89	279	1959
L0C04D4EO	1	93	159	1960	3332
L0C04D4EO	2	163	252	3333	5226
L0C04D4EO	3	254	405	5227	8478
L0C04D4EO	4	407	510	8479	10687
L0C04D4EO	5	512	611	10688	12623
L0C04D4EO	6	614	632	12624	13046
L0C04D4EO	7	635	871	13047	16607
L0C04D4EO	8	873	952	16608	18206
L0C04D4EO	9	955	1031	18207	19540
L0C04D4EO	10	1033	1145	19541	21938
L0C04D4EO	11	1148	1313	21939	24611
L0C04D4EO	12	1315	1387	24612	26051
L0C04D4EO	13	1389	1389	26052	26243
L0C04D4EO	14	1392	1400	26244	26640
L0C04D4EO	15	1403	1404	26641	26830
L0C04D4EO	16	1406	1526	26831	29429
L0C04D4EO	17	1529	1627	29430	31061
L0C04D4EO	18	1629	1650	31062	31670
L0C04D4EO	19	1652	1712	31671	32710
L0C04D4EO	20	1714	1782	32711	34113
L0C04D4EO	21	1785	1951	34114	37340
L0C04D4EO	22	1953	2175	37341	41316
L0C04D4EO	23	2178	2280	41317	43406
L0C04D4EO	24	2283	2299	43407	43833
L0C04D4EO	25	2302	2437	43834	46761
L0C04D4EO	26	2439	2490	46762	48027
L0C04D4EO	27	2493	2528	48028	48800
L0C04D4EO	28	2530	2561	48801	49550
L0C04D4EO	29	2563	2614	49551	50643
L0C04D4EO	30	2617	2658	50644	51344
L0C04D4EO	31	2661	2799	51345	54382
L0C04D4EO	32	2802	3036	54383	57973
L0C04D4EO	33	3039	3053	57974	58305
L0C04D4EO	34	3056	3207	58306	61122
L0C04D4EO	35	3209	3357	61123	63660
L0C04D4EO	36	3359	3359	63661	63852
L0C04D4EO	37	3362	3370	63853	64249
L0C04D4EO	38	3373	3373	64250	64437
L0C04D4EO	39	3375	3381	64438	64823
L0C04D4EO	40	3383	3652	64824	68882
L0C04D4EO	41	3655	4084	68883	76145
L0C04D4EO	42	4087	4122	76146	77001
L0C04D4EO	43	4124	4208	77002	78403
L0C04D4EO	44	4210	4481	78404	82851
L0C04D4EO	45	4483	4483	82852	83043
L0C04D4EO	46	4486	4494	83044	83440
L0C04D4EO	47	4497	4497	83441	83628
L0C04D4EO	48	4499	4523	83629	84263
L0C04D4EO	49	4526	4652	84264	86537
L0C04D4EO	50	4654	4771	86538	88595
L0C04D4EO	51	4773	4875	88596	90771
L0C04D4EO	52	4877	4899	90772	91489
L0C04D4EO	53	4902	5021	91490	93293
L0C04D4EO	54	5023	5123	93294	95547
