doceid	segment_id	start_char	end_char	start_segment_offset	end_segment_offset
L0C04958D	0	1	96	279	2093
L0C04958D	1	100	186	2094	3483
L0C04958D	2	188	233	3484	4365
L0C04958D	3	237	428	4366	7707
L0C04958D	4	430	647	7708	11196
L0C04958D	5	649	703	11197	12350
L0C04958D	6	706	789	12351	13734
L0C04958D	7	791	888	13735	15583
L0C04958D	8	890	1144	15584	20261
L0C04958D	9	1146	1158	20262	20560
L0C04958D	10	1160	1285	20561	22885
L0C04958D	11	1287	1438	22886	25893
L0C04958D	12	1440	1547	25894	27823
L0C04958D	13	1550	1649	27824	29461
L0C04958D	14	1651	1900	29462	33483
L0C04958D	15	1902	2099	33484	37123
L0C04958D	16	2102	2139	37124	37740
L0C04958D	17	2143	2323	37741	40900
L0C04958D	18	2325	2551	40901	45150
L0C04958D	19	2554	2768	45151	48920
L0C04958D	20	2770	2955	48921	51905
L0C04958D	21	2958	3045	51906	53250
L0C04958D	22	3048	3056	53251	53542
L0C04958D	23	3059	3126	53543	54937
L0C04958D	24	3128	3290	54938	57603
L0C04958D	25	3292	3380	57604	59042
L0C04958D	26	3383	3391	59043	59334
L0C04958D	27	3394	3396	59335	59525
L0C04958D	28	3399	3406	59526	59726
L0C04958D	29	3409	3409	59727	59914
L0C04958D	30	3412	3503	59915	61539
L0C04958D	31	3505	3707	61540	65047
L0C04958D	32	3711	3876	65048	67902
L0C04958D	33	3878	3953	67903	69315
L0C04958D	34	3956	3961	69316	69601
L0C04958D	35	3964	4106	69602	72593
L0C04958D	36	4108	4200	72594	74397
L0C04958D	37	4202	4402	74398	77954
L0C04958D	38	4405	4425	77955	78359
L0C04958D	39	4429	4616	78360	81255
L0C04958D	40	4618	4826	81256	85373
L0C04958D	41	4828	4939	85374	87672
L0C04958D	42	4942	5098	87673	90242
L0C04958D	43	5100	5164	90243	91466
L0C04958D	44	5168	5223	91467	92297
L0C04958D	45	5227	5474	92298	96673
L0C04958D	46	5476	5592	96674	98885
L0C04958D	47	5595	5715	98886	101195
L0C04958D	48	5719	5863	101196	103733
L0C04958D	49	5865	6020	103734	106567
L0C04958D	50	6023	6140	106568	108691
L0C04958D	51	6142	6263	108692	111404
L0C04958D	52	6267	6276	111405	111609
L0C04958D	53	6280	6541	111610	116012
L0C04958D	54	6543	6656	116013	118130
L0C04958D	55	6658	6799	118131	120482
L0C04958D	56	6801	6883	120483	121816
L0C04958F	0	1	89	280	1558
L0C04958F	1	93	225	1559	3736
L0C04958F	2	227	366	3737	6104
L0C04958F	3	368	462	6105	8119
L0C04958F	4	465	556	8120	9782
L0C04958F	5	559	667	9783	11742
L0C04958F	6	670	809	11743	14024
L0C04958F	7	812	835	14025	14597
L0C04958F	8	839	994	14598	17433
L0C04958F	9	997	1021	17434	18196
L0C04958F	10	1024	1047	18197	18787
L0C04958F	11	1050	1050	18788	18975
L0C04958F	12	1054	1241	18976	22234
L0C04958F	13	1243	1323	22235	23744
L0C04958F	14	1327	1393	23745	24959
L0C04958F	15	1399	1477	24960	26645
L0C04958F	16	1483	1645	26646	29317
L0C04958F	17	1651	1789	29318	31753
L0C04958F	18	1795	1922	31754	34261
L0C04958F	19	1928	1939	34262	34470
L0C04958F	20	1943	2035	34471	36372
L0C04958F	21	2039	2170	36373	38976
L0C04958F	22	2173	2255	38977	40585
L0C04958F	23	2258	2447	40586	43949
L0C04958F	24	2449	2648	43950	47587
L0C04958F	25	2651	2802	47588	50513
L0C04958F	26	2805	2982	50514	53854
L0C04958F	27	2985	3085	53855	55864
L0C04958F	28	3088	3345	55865	60625
L0C04958F	29	3347	3601	60626	65369
L0C04958F	30	3603	3906	65370	70414
L0C04958F	31	3909	4102	70415	73784
L0C04958F	32	4104	4214	73785	75804
L0C04958F	33	4217	4299	75805	77678
L0C04958F	34	4303	4420	77679	79982
L0C04958F	35	4423	4632	79983	83921
L0C04958F	36	4635	4782	83922	86834
L0C04958F	37	4785	4959	86835	89989
L0C04958F	38	4963	5010	89990	90898
L0C04958F	39	5012	5156	90899	93624
L0C04958F	40	5159	5430	93625	98686
L0C04958F	41	5432	5624	98687	101775
L0C04958F	42	5627	5703	101776	103099
L0C04958F	43	5706	5748	103100	103815
L0C04958F	44	5751	5893	103816	106439
L0C04958F	45	5897	6039	106440	108974
L0C04958F	46	6041	6228	108975	112416
L0C04958F	47	6231	6348	112417	114270
L0C04958F	48	6352	6465	114271	116205
L0C04958F	49	6467	6652	116206	119457
L0C04958F	50	6655	6722	119458	120671
L0C04958F	51	6724	6908	120672	124195
L0C04958F	52	6911	7020	124196	126308
L0C04958F	53	7023	7314	126309	131212
L0C04958F	54	7317	7492	131213	134264
L0C04958F	55	7495	7549	134265	135457
L0C04958F	56	7552	7574	135458	136226
L0C04958F	57	7577	7600	136227	136817
L0C04958F	58	7604	7726	136818	139137
L0C04958F	59	7728	7841	139138	141345
L0C04958F	60	7843	8052	141346	145188
