video_filename	length
L0C0493ET.mp4	136.81
L0C0493EU.mp4	134.65
L0C0493QZ.mp4	10.03
L0C0493RS.mp4	7131.17
L0C0493RT.mp4	423.76
L0C0493VV.mp4	449.38
L0C0493VW.mp4	533.41
L0C0494YI.mp4	994.16
L0C0495DP.mp4	489.34
L0C0495DQ.mp4	554.59
L0C0495DR.mp4	705.84
L0C0495DS.mp4	144.85
L0C0495DT.mp4	569.12
L0C04965V.mp4	321.81
L0C049691.mp4	523.26
L0C04995L.mp4	1277.45
L0C04997U.mp4	539.89
L0C049989.mp4	30.58
L0C0499AZ.mp4	516.76
L0C0499L0.mp4	167.08
L0C049BAE.mp4	914.1
L0C049BUB.mp4	347.32
L0C049BX9.mp4	84.75
L0C049C4O.mp4	248.22
L0C049C7H.mp4	493.98
L0C049CI4.mp4	4.8
L0C049CO9.mp4	643.38
L0C049CWM.mp4	38.96
L0C049D1F.mp4	1600.74
L0C049DCO.mp4	556.21
L0C049DDT.mp4	528.74
L0C049DEW.mp4	456.41
L0C049DNY.mp4	36.08
L0C049EAF.mp4	27.19
L0C049EAZ.mp4	3247.33
L0C049EB0.mp4	602.91
L0C049ELX.mp4	6.34
L0C049ELY.mp4	9.03
L0C049F0J.mp4	18.91
L0C049FGC.mp4	31.13
L0C049GG6.mp4	77.04
L0C049HCE.mp4	30.28
L0C049JNL.mp4	1199.96
L0C049LBB.mp4	104.47
L0C049LJF.mp4	98.85
L0C049OGW.mp4	236.75
L0C049OYX.mp4	32.97
L0C04AK9Q.mp4	247.57
L0C04AKBK.mp4	38.13
L0C04AKBL.mp4	167.46
L0C04AKBM.mp4	157.01
L0C04AKBN.mp4	368.73
L0C04AKUD.mp4	89.98
L0C04AKXR.mp4	108.02
L0C04AL23.mp4	527.49
L0C04AL24.mp4	351.06
L0C04ALFK.mp4	15.11
L0C04ALHG.mp4	148.97
L0C04ALHH.mp4	20.97
L0C04ALMF.mp4	29.63
L0C04ALOD.mp4	856.86
L0C04ALXT.mp4	561.81
L0C04ALXU.mp4	470.76
L0C04ALXV.mp4	519.06
L0C04AM2P.mp4	683.25
L0C04AQTS.mp4	352.57
L0C04AR34.mp4	16.93
L0C04ASZY.mp4	93.86
L0C04ASZZ.mp4	985.29
L0C04AT00.mp4	283.28
L0C04C03X.mp4	301.09
L0C04C440.mp4	40.96
L0C04C441.mp4	96.01
L0C04C4K7.mp4	35.37
L0C04C4K8.mp4	123.56
L0C04C4K9.mp4	132.84
L0C04C567.mp4	67.1
L0C04C568.mp4	16.2
L0C04C5AZ.mp4	500.48
L0C04C5DX.mp4	122.41
L0C04C6Z7.mp4	415.34
L0C04C6Z8.mp4	42.63
L0C04C6Z9.mp4	437.6
L0C04C6ZA.mp4	70.03
L0C04C87D.mp4	60
L0C04C8LY.mp4	3623.92
L0C04C8YD.mp4	3346.53
L0C04CJAF.mp4	405.72
L0C04CJAG.mp4	405.72
L0C04CJAH.mp4	405.72
L0C04CJAI.mp4	405.72
L0C04CJDA.mp4	611.66
L0C04CJDB.mp4	683.2
L0C04CLPV.mp4	442.09
L0C04CM4C.mp4	40.09
L0C04CM4D.mp4	121.64
L0C04CMG2.mp4	1701.6
L0C04CMHO.mp4	299.17
L0C04CNXN.mp4	122.75
L0C04CNXO.mp4	195.54
L0C04CNXP.mp4	122.75
L0C04CNXQ.mp4	122.75
L0C04CNXR.mp4	122.75
L0C04CNXS.mp4	195.54
L0C04CNXT.mp4	195.54
L0C04CNXU.mp4	195.54
L0C04CNXV.mp4	122.75
L0C04CNXW.mp4	195.54
L0C04CP8E.mp4	8505.7
L0C04CPCQ.mp4	53.06
L0C04CPCR.mp4	308.92
L0C04CSH7.mp4	6.32
L0C04CT98.mp4	120.26
L0C04CTRF.mp4	83.27
L0C04CUTQ.mp4	543.14
L0C04CUWM.mp4	200.28
L0C04CUWN.mp4	200.28
L0C04CUWO.mp4	200.28
L0C04CUWP.mp4	200.28
L0C04CUWQ.mp4	200.28
