q1	q2	similarity
P108	P1107	0.35305372675
P108	P1114	0.3899029269
P108	P112	0.5451362082
P108	P1336	0.47239106659999996
P108	P1387	0.54253605055
P108	P1416	0.5662340685
P108	P1478	0.37367507850000004
P108	P1552	0.3658606844
P108	P159	0.5451362082
P108	P17	0.5728404438
P108	P172	0.6184195893
P108	P27	0.5696053076500001
P108	P276	0.3421287894
P108	P3342	0.51305562845
P108	P35	0.50480585185
P108	P355	0.48186185935
P108	P361	0.3459171421
P108	P3828	0.36864347245
P108	P39	0.7915340602500001
P108	P463	0.75265897
P108	P488	0.5451362082
P108	P511	0.7915340602500001
P108	P551	0.54193772665
P108	P6	0.50480585185
P108	P859	0.47866690019999997
P108	Q1021645	0.0441754009
P108	Q10273457	0.0
P108	Q1048835	0.0
P108	Q10553309	0.0
P108	Q1058795	0.0129575212
P108	Q107711	0.0
P108	Q10876	0.0
P108	Q1092499	0.0
P108	Q11024	0.07101170525
P108	Q11028	0.101595808
P108	Q11398090	0.0
P108	Q11436	0.014743036400000001
P108	Q11446	0.0156161883
P108	Q1145328	0.0298122725
P108	Q11499147	0.0
P108	Q11499267	0.034993647850000004
P108	Q11563	0.051965660950000006
P108	Q1174599	0.0
P108	Q11822042	0.04047749695
P108	Q1184840	0.0145328817
P108	Q1194773	0.0141996066
P108	Q11974939	0.04432753785
P108	Q12136	0.04052641965
P108	Q121998	0.039644283599999997
P108	Q12280	0.04327437295
P108	Q1229765	0.015692471
P108	Q123705	0.04826185235
P108	Q1244442	0.014913003400000001
P108	Q124757	0.0
P108	Q1251441	0.0
P108	Q12518	0.01541215555
P108	Q127197	0.013078861099999999
P108	Q127771	0.0131225238
P108	Q12796	0.013809378399999999
P108	Q12876	0.03731272995
P108	Q12909644	0.04138548045
P108	Q1292279	0.05410533235
P108	Q1307347	0.0560195294
P108	Q131257	0.01574482265
P108	Q132050	0.0623926383
P108	Q13226383	0.0192711518
P108	Q13235160	0.0
P108	Q1333024	0.014412605200000001
P108	Q1339847	0.0371387188
P108	Q13402009	0.040084357050000005
P108	Q134808	0.01270380535
P108	Q1351647	0.0
P108	Q1355821	0.0
P108	Q1360677	0.0
P108	Q1368	0.01446871235
P108	Q1399332	0.0
P108	Q1403016	0.0
P108	Q1414937	0.0
P108	Q1420	0.0143346764
P108	Q1445518	0.012671465350000001
P108	Q1454723	0.124387506
P108	Q14660	0.17275468505
P108	Q1472062	0.0
P108	Q15265344	0.015821483849999998
P108	Q15290	0.052759469100000005
P108	Q153936	0.0
P108	Q15401930	0.02153395715
P108	Q15618781	0.0152346794
P108	Q15621286	0.021058347800000002
P108	Q1566976	0.01289144025
P108	Q15911314	0.0
P108	Q1595418	0.0333050862
P108	Q161524	0.0138154297
P108	Q16189212	0.05132757175
P108	Q16334295	0.0
P108	Q16515105	0.0
P108	Q165950	0.052170020600000006
P108	Q166231	0.034367759000000005
P108	Q1663054	0.0
P108	Q16678266	0.0
P108	Q16686022	0.019996912999999998
P108	Q167037	0.0
P108	Q167096	0.01036372395
P108	Q1673189	0.0
P108	Q16831714	0.01504069775
P108	Q168983	0.038286157550000005
P108	Q169872	0.0396124414
P108	Q170173	0.0127950743
P108	Q17149090	0.0
P108	Q1717246	0.0
P108	Q17200001	0.0
P108	Q17221	0.0
P108	Q17334923	0.0
P108	Q174583	0.01286499675
P108	Q174782	0.04151513205
P108	Q175111	0.0333138103
P108	Q175331	0.0
P108	Q1760704	0.0
P108	Q177597	0.01447014435
P108	Q177719	0.0
P108	Q17781833	0.0
P108	Q178197	0.0
P108	Q178561	0.04099987845
P108	Q1788992	0.0
P108	Q179057	0.0398915995
P108	Q179661	0.05828712405
P108	Q184613	0.0123864762
P108	Q185785	0.01393775865
P108	Q18643213	0.01628992705
P108	Q18691599	0.016408104399999998
P108	Q187939	0.0
P108	Q188869	0.0
P108	Q189290	0.0
P108	Q189760	0.18102083655
P108	Q190512	0.01023222345
P108	Q192283	0.05758428835
P108	Q19267880	0.012340562400000001
P108	Q192852	0.0
P108	Q192995	0.0
P108	Q1930187	0.0
P108	Q193078	0.0368235727
P108	Q193181	0.0
P108	Q1933595	0.05125906665
P108	Q193432	0.0
P108	Q19357312	0.1442589149
P108	Q19571328	0.0
P108	Q1964968	0.13873834165
P108	Q19772737	0.0
P108	Q19799	0.01214870245
P108	Q201948	0.0
P108	Q2057971	0.041587921
P108	Q205895	0.017502591300000002
P108	Q208281	0.01236675705
P108	Q208383	0.03358409945
P108	Q21004260	0.0
P108	Q210603	0.0
P108	Q21170798	0.0
P108	Q213441	0.01513615595
P108	Q215627	0.0
P108	Q216353	0.07735959349999999
P108	Q21651837	0.0
P108	Q2221906	0.0556386745
P108	Q222405	0.013986252049999998
P108	Q22445448	0.08561079405
P108	Q2252077	0.0
P108	Q22667	0.0393374563
P108	Q2285706	0.0
P108	Q23700466	0.0
P108	Q2380335	0.0368098302
P108	Q23841	0.0
P108	Q243249	0.01187059005
P108	Q245065	0.0
P108	Q24887418	0.0
P108	Q249556	0.0406609702
P108	Q26398	0.0506485583
P108	Q26540	0.01396986705
P108	Q2671652	0.0
P108	Q269949	0.038851747500000006
P108	Q27096213	0.0
P108	Q27096235	0.0204637527
P108	Q2727213	0.054323192000000006
P108	Q272730	0.0
P108	Q2742167	0.062157342350000006
P108	Q2826767	0.0
P108	Q2827815	0.03525528
P108	Q2855502	0.0
P108	Q2875704	0.01399080625
P108	Q28777323	0.03663309525
P108	Q2916183	0.0
P108	Q30185	0.06784615364999999
P108	Q3030248	0.0
P108	Q3075355	0.0
P108	Q319608	0.16185179395
P108	Q3216918	0.0126592201
P108	Q321839	0.0685998171
P108	Q3237993	0.03331201995
P108	Q3241045	0.062258000300000005
P108	Q3265221	0.03925121535
P108	Q327000	0.1773122497
P108	Q327245	0.0
P108	Q327333	0.0
P108	Q327541	0.05278924405
P108	Q335778	0.01485551125
P108	Q3406566	0.05387491850000001
P108	Q34394	0.06692976125
P108	Q34486	0.0130372572
P108	Q3537603	0.04221588045000001
P108	Q35872	0.014069401050000001
P108	Q3625549	0.0
P108	Q3639228	0.0123432645
P108	Q3739104	0.03325786845
P108	Q3769366	0.0
P108	Q384593	0.0
P108	Q3914	0.0168847014
P108	Q392326	0.01224069745
P108	Q39397	0.0124827069
P108	Q3947	0.016786244
