query_id	depth1	depth2	frame_ids
AIDA_TA2_GR_2019_0001	10	5	E101_PT001_KE001_CG,E101_PT001_KE011_CG,E101_PT001_KE014_CG,E101_PT001_KE017_CG,E101_PT001_KE021_CG,E101_PT002_KE001_CG,E101_PT002_KE009_CG,E101_PT002_KE012_CG,E101_PT002_KE015_CG,E101_PT002_KE018_CG,E101_PT002_KE021_CG,E101_PT002_KE024_CG,E101_PT002_KE027_CG,E101_PT002_KE030_CG,E101_PT002_KE034_CG,E101_PT004_KE001_CG,E101_PT004_KE003_CG,E101_PT004_KE005_CG,E101_PT004_KE007_CG,E101_PT004_KE009_CG,E101_PT004_KE011_CG,E101_PT004_KE013_CG,E101_PT004_KE015_CG,E101_PT004_KE017_CG,E101_PT005_KE001_CG,E101_PT005_KE011_CG,E101_PT006_KE002_CG,E101_PT006_KE006_CG,E101_PT006_KE010_CG,E101_PT006_KE014_CG,E101_PT007_KE001_CG,E101_PT007_KE005_CG,E101_PT007_KE008_CG,E101_PT007_KE011_CG
AIDA_TA2_GR_2019_0002	10	5	E101_PT001_KE002_FG,E101_PT001_KE012_FG,E101_PT001_KE015_FG,E101_PT001_KE018_FG,E101_PT001_KE020_FG,E101_PT002_KE002_FG,E101_PT002_KE010_FG,E101_PT002_KE013_FG,E101_PT002_KE016_FG,E101_PT002_KE019_FG,E101_PT002_KE022_FG,E101_PT002_KE025_FG,E101_PT002_KE028_FG,E101_PT002_KE031_FG,E101_PT002_KE033_FG,E101_PT004_KE002_FG,E101_PT004_KE004_FG,E101_PT004_KE006_FG,E101_PT004_KE008_FG,E101_PT004_KE010_FG,E101_PT004_KE012_FG,E101_PT004_KE014_FG,E101_PT004_KE016_FG,E101_PT004_KE018_FG,E101_PT005_KE002_FG,E101_PT005_KE012_FG,E101_PT006_KE003_FG,E101_PT006_KE007_FG,E101_PT006_KE011_FG,E101_PT006_KE015_FG,E101_PT007_KE002_FG,E101_PT007_KE006_FG,E101_PT007_KE009_FG,E101_PT007_KE012_FG
AIDA_TA2_GR_2019_0003	10	5	E101_PT001_KE002_CG,E101_PT001_KE012_CG,E101_PT001_KE015_CG,E101_PT001_KE018_CG,E101_PT001_KE020_CG,E101_PT002_KE002_CG,E101_PT002_KE010_CG,E101_PT002_KE013_CG,E101_PT002_KE016_CG,E101_PT002_KE019_CG,E101_PT002_KE022_CG,E101_PT002_KE025_CG,E101_PT002_KE028_CG,E101_PT002_KE031_CG,E101_PT002_KE033_CG,E101_PT002_KE036_CG,E101_PT003_KE001_CG,E101_PT004_KE002_CG,E101_PT004_KE004_CG,E101_PT004_KE006_CG,E101_PT004_KE008_CG,E101_PT004_KE010_CG,E101_PT004_KE012_CG,E101_PT004_KE014_CG,E101_PT004_KE016_CG,E101_PT004_KE018_CG,E101_PT005_KE002_CG,E101_PT005_KE012_CG,E101_PT006_KE003_CG,E101_PT006_KE007_CG,E101_PT006_KE011_CG,E101_PT006_KE015_CG,E101_PT007_KE002_CG,E101_PT007_KE006_CG,E101_PT007_KE009_CG,E101_PT007_KE012_CG
AIDA_TA2_GR_2019_0005	10	5	E101_PT001_KE004_CG,E101_PT001_KE005_CG
AIDA_TA2_GR_2019_0007	10	5	E101_PT001_KE005_FG
AIDA_TA2_GR_2019_0009	10	5	E101_PT001_KE006_FG,E101_PT002_KE005_FG,E101_PT003_KE002_FG,E101_PT005_KE008_FG,E101_PT007_KE006_FG
AIDA_TA2_GR_2019_0010	10	5	E101_PT001_KE006_CG,E101_PT002_KE005_CG,E101_PT003_KE002_CG,E101_PT005_KE008_CG,E101_PT007_KE006_CG
AIDA_TA2_GR_2019_0011	10	5	E101_PT001_KE006_FG
AIDA_TA2_GR_2019_0012	10	5	E101_PT001_KE006_CG
AIDA_TA2_GR_2019_0013	10	5	E101_PT001_KE007_FG,E101_PT002_KE006_FG,E101_PT003_KE003_FG,E101_PT005_KE007_FG,E101_PT007_KE005_FG
AIDA_TA2_GR_2019_0014	10	5	E101_PT001_KE007_CG,E101_PT002_KE006_CG,E101_PT003_KE003_CG,E101_PT005_KE007_CG,E101_PT007_KE005_CG
AIDA_TA2_GR_2019_0015	10	5	E101_PT001_KE007_FG
AIDA_TA2_GR_2019_0016	10	5	E101_PT001_KE007_CG
AIDA_TA2_GR_2019_0021	10	5	E101_PT001_KE011_FG,E101_PT002_KE009_FG,E101_PT005_KE011_FG,E101_PT007_KE008_FG
AIDA_TA2_GR_2019_0022	10	5	E101_PT001_KE011_CG,E101_PT002_KE009_CG,E101_PT005_KE011_CG,E101_PT007_KE008_CG
AIDA_TA2_GR_2019_0023	10	5	E101_PT001_KE011_FG,E101_PT001_KE017_FG,E101_PT001_KE021_FG,E101_PT002_KE009_FG,E101_PT002_KE018_FG,E101_PT002_KE030_FG,E101_PT002_KE034_FG,E101_PT004_KE003_FG,E101_PT004_KE007_FG,E101_PT004_KE015_FG,E101_PT004_KE017_FG,E101_PT005_KE011_FG,E101_PT006_KE002_FG,E101_PT006_KE006_FG,E101_PT007_KE005_FG,E101_PT007_KE008_FG
AIDA_TA2_GR_2019_0024	10	5	E101_PT001_KE012_FG,E101_PT002_KE010_FG,E101_PT005_KE012_FG,E101_PT007_KE009_FG
AIDA_TA2_GR_2019_0025	10	5	E101_PT001_KE012_CG,E101_PT002_KE010_CG,E101_PT005_KE012_CG,E101_PT007_KE009_CG
AIDA_TA2_GR_2019_0026	10	5	E101_PT001_KE014_CG,E101_PT002_KE021_CG,E101_PT004_KE009_CG,E101_PT006_KE010_CG
AIDA_TA2_GR_2019_0027	10	5	E101_PT001_KE015_FG,E101_PT002_KE022_FG,E101_PT004_KE010_FG,E101_PT006_KE011_FG
AIDA_TA2_GR_2019_0028	10	5	E101_PT001_KE015_CG,E101_PT002_KE022_CG,E101_PT004_KE010_CG,E101_PT006_KE011_CG
AIDA_TA2_GR_2019_0029	10	5	E101_PT001_KE017_FG,E101_PT002_KE018_FG,E101_PT004_KE007_FG,E101_PT006_KE006_FG
AIDA_TA2_GR_2019_0030	10	5	E101_PT001_KE017_CG,E101_PT002_KE018_CG,E101_PT004_KE007_CG,E101_PT006_KE006_CG
AIDA_TA2_GR_2019_0031	10	5	E101_PT001_KE018_FG,E101_PT002_KE019_FG,E101_PT004_KE008_FG,E101_PT006_KE007_FG
AIDA_TA2_GR_2019_0032	10	5	E101_PT001_KE018_CG,E101_PT002_KE019_CG,E101_PT004_KE008_CG,E101_PT006_KE007_CG
AIDA_TA2_GR_2019_0033	10	5	E101_PT001_KE020_FG,E101_PT002_KE033_FG,E101_PT004_KE018_FG,E101_PT006_KE003_FG
AIDA_TA2_GR_2019_0034	10	5	E101_PT001_KE020_CG,E101_PT002_KE033_CG,E101_PT004_KE018_CG,E101_PT006_KE003_CG
AIDA_TA2_GR_2019_0035	10	5	E101_PT001_KE021_FG,E101_PT002_KE034_FG,E101_PT004_KE017_FG,E101_PT006_KE002_FG
AIDA_TA2_GR_2019_0036	10	5	E101_PT001_KE021_CG,E101_PT002_KE034_CG,E101_PT004_KE017_CG,E101_PT006_KE002_CG
AIDA_TA2_GR_2019_0041	10	5	E101_PT002_KE005_FG,E101_PT003_KE002_FG,E101_PT005_KE008_FG
AIDA_TA2_GR_2019_0042	10	5	E101_PT002_KE005_CG,E101_PT003_KE002_CG,E101_PT005_KE008_CG
AIDA_TA2_GR_2019_0043	10	5	E101_PT002_KE006_FG,E101_PT003_KE003_FG,E101_PT005_KE007_FG
AIDA_TA2_GR_2019_0044	10	5	E101_PT002_KE006_CG,E101_PT003_KE003_CG,E101_PT005_KE007_CG
AIDA_TA2_GR_2019_0047	10	5	E101_PT002_KE012_CG,E101_PT004_KE003_CG,E101_PT007_KE011_CG
AIDA_TA2_GR_2019_0048	10	5	E101_PT002_KE013_FG,E101_PT004_KE004_FG,E101_PT007_KE012_FG
AIDA_TA2_GR_2019_0049	10	5	E101_PT002_KE013_CG,E101_PT004_KE004_CG,E101_PT007_KE012_CG
AIDA_TA2_GR_2019_0050	10	5	E101_PT002_KE015_CG,E101_PT004_KE005_CG
AIDA_TA2_GR_2019_0051	10	5	E101_PT002_KE016_FG,E101_PT004_KE006_FG
AIDA_TA2_GR_2019_0052	10	5	E101_PT002_KE016_CG,E101_PT004_KE006_CG
AIDA_TA2_GR_2019_0053	10	5	E101_PT002_KE024_FG,E101_PT004_KE011_FG,E101_PT006_KE014_FG
AIDA_TA2_GR_2019_0054	10	5	E101_PT002_KE024_CG,E101_PT004_KE011_CG,E101_PT006_KE014_CG
AIDA_TA2_GR_2019_0055	10	5	E101_PT002_KE024_FG,E101_PT002_KE027_FG,E101_PT004_KE011_FG,E101_PT004_KE013_FG,E101_PT006_KE014_FG
AIDA_TA2_GR_2019_0056	10	5	E101_PT002_KE025_FG,E101_PT004_KE012_FG,E101_PT006_KE015_FG
AIDA_TA2_GR_2019_0057	10	5	E101_PT002_KE025_CG,E101_PT004_KE012_CG,E101_PT006_KE015_CG
AIDA_TA2_GR_2019_0058	10	5	E101_PT002_KE027_FG,E101_PT004_KE013_FG
AIDA_TA2_GR_2019_0059	10	5	E101_PT002_KE027_CG,E101_PT004_KE013_CG
AIDA_TA2_GR_2019_0060	10	5	E101_PT002_KE028_FG,E101_PT004_KE014_FG
AIDA_TA2_GR_2019_0061	10	5	E101_PT002_KE028_CG,E101_PT004_KE014_CG
AIDA_TA2_GR_2019_0062	10	5	E101_PT002_KE030_FG,E101_PT004_KE015_FG
AIDA_TA2_GR_2019_0063	10	5	E101_PT002_KE030_CG,E101_PT004_KE015_CG
AIDA_TA2_GR_2019_0064	10	5	E101_PT002_KE031_FG,E101_PT004_KE016_FG
AIDA_TA2_GR_2019_0065	10	5	E101_PT002_KE031_CG,E101_PT004_KE016_CG
AIDA_TA2_GR_2019_0066	10	5	E101_PT002_KE033_FG,E101_PT004_KE018_FG,E101_PT006_KE003_FG
AIDA_TA2_GR_2019_0067	10	5	E101_PT002_KE034_FG,E101_PT004_KE017_FG,E101_PT006_KE002_FG
AIDA_TA2_GR_2019_0068	10	5	E101_PT002_KE034_CG,E101_PT004_KE017_CG,E101_PT006_KE002_CG
AIDA_TA2_GR_2019_0070	10	5	E101_PT002_KE036_FG
AIDA_TA2_GR_2019_0071	10	5	E101_PT002_KE036_CG
AIDA_TA2_GR_2019_0072	10	5	E101_PT002_KE036_FG
AIDA_TA2_GR_2019_0073	10	5	E101_PT003_KE002_FG
AIDA_TA2_GR_2019_0074	10	5	E101_PT003_KE002_FG
AIDA_TA2_GR_2019_0075	10	5	E101_PT003_KE003_FG
AIDA_TA2_GR_2019_0076	10	5	E101_PT003_KE003_CG
AIDA_TA2_GR_2019_0077	10	5	E101_PT003_KE003_FG
AIDA_TA2_GR_2019_0078	10	5	E101_PT003_KE003_CG
AIDA_TA2_GR_2019_0079	10	5	E101_PT004_KE003_FG
AIDA_TA2_GR_2019_0080	10	5	E101_PT004_KE003_CG
AIDA_TA2_GR_2019_0081	10	5	E101_PT004_KE003_FG
AIDA_TA2_GR_2019_0082	10	5	E101_PT004_KE004_FG
AIDA_TA2_GR_2019_0083	10	5	E101_PT004_KE005_CG
AIDA_TA2_GR_2019_0084	10	5	E101_PT004_KE006_FG
AIDA_TA2_GR_2019_0085	10	5	E101_PT004_KE007_FG,E101_PT006_KE006_FG
AIDA_TA2_GR_2019_0086	10	5	E101_PT004_KE007_CG,E101_PT006_KE006_CG
