doceid	detype	docid
IC001L4O4	ltf	IC001L3GY
IC0015ZJF	jpg	IC00162QM
HC000SUQD	jpg	IC00162QM
IC0019MWB	mp4	IC00162QM
HC000SUQL	jpg	IC00162QM
IC0015ZIW	jpg	IC00162QM
IC0015ZJ8	jpg	IC00162QM
IC0015ZJ4	jpg	IC00162QM
HC000SUQI	jpg	IC00162QM
HC000SQ94	jpg	IC00162QM
HC000SUQ6	jpg	IC00162QM
HC000SUQK	jpg	IC00162QM
IC0015ZJC	jpg	IC00162QM
IC0015ZIP	jpg	IC00162QM
IC0015ZJA	jpg	IC00162QM
IC0015ZJI	jpg	IC00162QM
IC0015ZJB	jpg	IC00162QM
IC0015ZJ3	jpg	IC00162QM
IC0015ZIZ	jpg	IC00162QM
IC0019MZW	mp4	IC00162QM
HC000SUQ7	jpg	IC00162QM
HC000SQ8V	png	IC00162QM
HC000SUQG	jpg	IC00162QM
IC00162R6	jpg	IC00162QM
IC0019N90	mp4	IC00162QM
HC000SUQ9	jpg	IC00162QM
HC000SQ8U	png	IC00162QM
IC0019N1L	mp4	IC00162QM
IC0015ZJD	jpg	IC00162QM
IC0015ZJ0	jpg	IC00162QM
IC0015ZIO	jpg	IC00162QM
IC0015ZJH	jpg	IC00162QM
HC000SUQJ	jpg	IC00162QM
IC0015ZJ6	jpg	IC00162QM
HC000SUQH	jpg	IC00162QM
IC0019N8N	mp4	IC00162QM
IC0015ZJJ	jpg	IC00162QM
HC000SUQM	jpg	IC00162QM
IC0015ZJG	jpg	IC00162QM
HC000SUQ8	jpg	IC00162QM
IC0015ZIX	jpg	IC00162QM
IC0015ZJ9	jpg	IC00162QM
HC000T65W	ltf	IC00162QM
IC0015ZJE	jpg	IC00162QM
