NODEID	CLASS	ID	MODALITY	DOCID	MENTION_SPAN	ASSESSMENT	TYPE	FQEC
E0632	NIL	303	TEXT	IC00162QM	HC000T65W:(1106,0)-(1116,0)	Correct	NOM	HC000T65W:11
E0632	NIL	304	TEXT	IC00162QM	HC000T65W:(2381,0)-(2391,0)	Correct	NOM	HC000T65W:25
E0632	NIL	305	TEXT	IC00162QM	HC000T65W:(3776,0)-(3786,0)	Correct	NOM	HC000T65W:38
E0632	NIL	306	TEXT	IC00162QM	HC000T65W:(6154,0)-(6263,0)	Correct	NOM	HC000T65W:56
E0632	NIL	307	TEXT	IC00162QM	HC000T65W:(6181,0)-(6197,0)	Correct	NOM	HC000T65W:56
E0632	NIL	308	TEXT	IC00162QM	HC000T65W:(6185,0)-(6196,0)	Correct	NOM	HC000T65W:56
E0632	NIL	309	TEXT	IC00162QM	HC000T65W:(6321,0)-(6333,0)	Correct	NOM	HC000T65W:57
E0632	NIL	310	TEXT	IC00162QM	HC000T65W:(7133,0)-(7146,0)	Correct	NOM	HC000T65W:62
E0632	NIL	311	TEXT	IC00162QM	HC000T65W:(7847,0)-(7857,0)	Correct	NOM	HC000T65W:70
E0632	NIL	312	TEXT	IC00162QM	HC000T65W:(8084,0)-(8094,0)	Correct	NOM	HC000T65W:71
E0632	NIL	313	TEXT	IC00162QM	HC000T65W:(9329,0)-(9339,0)	Correct	NOM	HC000T65W:81
E0632	NIL	314	TEXT	IC00162QM	HC000T65W:(9443,0)-(9453,0)	Correct	NOM	HC000T65W:83
E0632	NIL	315	TEXT	IC00162QM	HC000T65W:(9966,0)-(9983,0)	Correct	NOM	HC000T65W:87
E0632	NIL	316	TEXT	IC00162QM	HC000T65W:(9967,0)-(9977,0)	Correct	NOM	HC000T65W:87
E0632	NIL	317	TEXT	IC00162QM	HC000T65W:(10120,0)-(10133,0)	Correct	NOM	HC000T65W:90
E0632	NIL	318	TEXT	IC00162QM	HC000T65W:(11334,0)-(11358,0)	Correct	NOM	HC000T65W:100
E0632	NIL	319	TEXT	IC00162QM	HC000T65W:(11335,0)-(11345,0)	Correct	NOM	HC000T65W:100
E0632	NIL	320	TEXT	IC00162QM	HC000T65W:(11960,0)-(11970,0)	Correct	NOM	HC000T65W:109
E0632	NIL	321	TEXT	IC00162QM	HC000T65W:(12267,0)-(12449,0)	Correct	NOM	HC000T65W:111
E0632	NIL	322	TEXT	IC00162QM	HC000T65W:(12294,0)-(12304,0)	Correct	NOM	HC000T65W:111
E0632	NIL	663	TEXT	IC001L3GY	IC001L4O4:(193,0)-(387,0)	Correct	NOM	IC001L4O4:4
E0632	NIL	664	TEXT	IC001L3GY	IC001L4O4:(317,0)-(387,0)	Correct	NOM	IC001L4O4:4
E0632	NIL	665	TEXT	IC001L3GY	IC001L4O4:(364,0)-(387,0)	Correct	NOM	IC001L4O4:4
