doceid	detype	docid
IC001JY0S	ltf	IC0015YE2
HC00007OM	ltf	HC000033Q
HC000034E	jpg	HC0000355
HC00007OS	ltf	HC0000355
HC000038M	jpg	HC000038K
HC000038O	jpg	HC000038K
HC000038P	jpg	HC000038K
HC00007P2	ltf	HC000038K
HC00003A1	jpg	HC000039Z
HC00007P6	ltf	HC000039Z
HC00003PE	jpg	HC00003PC
HC00003PG	jpg	HC00003PC
HC00007Q7	ltf	HC00003PC
HC00004H1	jpg	HC00004H0
HC00004H3	jpg	HC00004H0
HC00004H4	jpg	HC00004H0
HC00004H5	jpg	HC00004H0
HC00007RT	ltf	HC00004H0
HC00004HQ	jpg	HC00004HO
HC00004HR	gif	HC00004HO
HC00004HT	jpg	HC00004HO
HC00004HU	jpg	HC00004HO
HC00004HV	jpg	HC00004HO
HC00004HW	jpg	HC00004HO
HC00004HX	jpg	HC00004HO
HC00004HY	jpg	HC00004HO
HC00004HZ	jpg	HC00004HO
HC00004I0	jpg	HC00004HO
HC00004I1	jpg	HC00004HO
HC00004I2	jpg	HC00004HO
HC00004I3	jpg	HC00004HO
HC00004I4	jpg	HC00004HO
HC00004I5	jpg	HC00004HO
HC00004I6	jpg	HC00004HO
HC00004I8	jpg	HC00004HO
HC00007RW	ltf	HC00004HO
HC00005I1	jpg	HC00005HZ
HC00007U5	ltf	HC00005HZ
HC000063N	jpg	HC000063S
HC000063O	jpg	HC000063S
HC000063P	jpg	HC000063S
HC000063Q	jpg	HC000063S
HC00007VQ	ltf	HC000063S
HC0000641	jpg	HC000064X
HC00007VS	ltf	HC000064X
HC00006I1	jpg	HC00006HZ
HC00006I4	jpg	HC00006HZ
HC00006I5	jpg	HC00006HZ
HC00007WQ	ltf	HC00006HZ
HC00007WX	ltf	HC00006N8
HC00005PG	jpg	HC00006O0
HC00006PW	jpg	HC00006PU
HC00007X4	ltf	HC00006PU
HC00007X9	ltf	HC00006QL
HC00006TF	jpg	HC00006TN
HC00006TG	jpg	HC00006TN
HC00006TH	jpg	HC00006TN
HC00006TI	jpg	HC00006TN
HC00007XF	ltf	HC00006TN
HC000085X	jpg	HC000085V
HC0000860	jpg	HC000085V
HC0000A49	ltf	HC000085V
HC00019B3	ltf	HC0000YTF
HC0000Z1K	jpg	HC0000Z1E
HC0000Z1L	jpg	HC0000Z1E
HC00019C3	ltf	HC0000Z1E
HC0000Z54	jpg	HC0000Z52
HC00019CT	ltf	HC0000Z52
HC0000Z89	jpg	HC0000Z87
HC00019D9	ltf	HC0000Z87
HC00019DI	ltf	HC0000Z9X
HC00019DR	ltf	HC0000ZBY
HC0000ZE8	jpg	HC0000ZE6
HC0000ZE9	jpg	HC0000ZE6
HC0000ZEB	jpg	HC0000ZE6
HC0000ZEC	jpg	HC0000ZE6
HC0000ZED	jpg	HC0000ZE6
HC00019E0	ltf	HC0000ZE6
HC0000ZNU	jpg	HC0000ZNS
HC0000ZNV	jpg	HC0000ZNS
HC0000ZO0	jpg	HC0000ZNS
HC0000ZO2	jpg	HC0000ZNS
HC0000ZO3	jpg	HC0000ZNS
HC0000ZO5	jpg	HC0000ZNS
HC0000ZO6	jpg	HC0000ZNS
HC0000ZO7	jpg	HC0000ZNS
HC0000ZOD	jpg	HC0000ZNS
HC0000ZOE	jpg	HC0000ZNS
HC0000ZOF	jpg	HC0000ZNS
HC0000ZOG	jpg	HC0000ZNS
HC0000ZOH	jpg	HC0000ZNS
HC0000ZOI	jpg	HC0000ZNS
HC0000ZOJ	jpg	HC0000ZNS
HC0000ZOL	jpg	HC0000ZNS
HC0000ZON	jpg	HC0000ZNS
HC0000ZOP	jpg	HC0000ZNS
HC0000ZOQ	jpg	HC0000ZNS
HC0000ZOS	jpg	HC0000ZNS
HC0000ZOT	jpg	HC0000ZNS
HC0000ZOU	jpg	HC0000ZNS
HC0000ZOX	jpg	HC0000ZNS
HC0000ZOY	jpg	HC0000ZNS
HC0000ZP0	jpg	HC0000ZNS
HC0000ZP1	jpg	HC0000ZNS
HC0000ZP2	jpg	HC0000ZNS
HC0000ZP3	jpg	HC0000ZNS
HC0000ZP4	jpg	HC0000ZNS
HC0000ZP5	jpg	HC0000ZNS
HC0000ZP8	jpg	HC0000ZNS
HC0000ZP9	jpg	HC0000ZNS
HC0000ZPA	jpg	HC0000ZNS
HC0000ZPB	jpg	HC0000ZNS
HC0000ZPD	jpg	HC0000ZNS
HC0000ZPF	jpg	HC0000ZNS
HC0000ZPG	jpg	HC0000ZNS
HC0000ZPH	jpg	HC0000ZNS
HC0000ZPI	jpg	HC0000ZNS
HC0000ZPK	jpg	HC0000ZNS
