subject	role	object
NILV80000177	Conflict.Attack.Bombing_Instrument	80000319
NILV80000177	Conflict.Attack.Bombing_Place	80000008
NILV80000177	Conflict.Attack.Bombing_Target	80000130
NILV80000179	Conflict.Attack.FirearmAttack_Place	698740|80000036
NILV80000179	Conflict.Attack.FirearmAttack_Target	80000130
NILV80000179	Conflict.Attack_Attacker	80000130
NILV80000179	Conflict.Attack_Attacker	PTE_E102_001
NILV80000179	Conflict.Attack_Attacker	PTE_E102_002
NILV80000179	Conflict.Attack_Place	698740|80000036
NILV80000179	Conflict.Attack_Target	80000130
NILV80000179	Conflict.Attack_Target	PTE_E102_001
NILV80000179	Conflict.Attack_Target	PTE_E102_002
NILV80000181	Conflict.Attack_Attacker	PTE_E102_003
NILV80000181	Conflict.Attack_Place	698740|80000036
NILV80000181	Conflict.Attack_Target	PTE_E102_002
NILV80000183	Conflict.Attack.SetFire_Attacker	80000130
NILV80000183	Conflict.Attack.SetFire_Instrument	80000319
NILV80000183	Conflict.Attack.SetFire_Place	698740|80000036
NILV80000183	Conflict.Attack.SetFire_Place	80000006
NILV80000183	Conflict.Attack.SetFire_Target	80000008
NILV80000184	Conflict.Attack.AirstrikeMissileStrike_Attacker	80000078
NILV80000184	Conflict.Attack.AirstrikeMissileStrike_Place	7731189|80000009
NILV80000186	Conflict.Attack_Attacker	PTE_E103_001
NILV80000186	Conflict.Attack_Target	80000353
NILV80000206	Conflict.Demonstrate.MarchProtestPoliticalGathering_Demonstrator	PTE_E102_002
NILV80000206	Conflict.Demonstrate.MarchProtestPoliticalGathering_Place	698740|80000036
NILV80000254	Conflict.Attack_Attacker	80000111
NILV80000254	Conflict.Attack_Place	690791|80000032
NILV80000254	Conflict.Attack_Target	80000111
NILV80000254	Life.Die.DeathCausedByViolentEvents_Killer	80000111
NILV80000254	Life.Die.DeathCausedByViolentEvents_Place	690791|80000032
NILV80000254	Life.Die.DeathCausedByViolentEvents_Victim	80000111
NILV80000255	Conflict.Attack.FirearmAttack_Attacker	80000112
NILV80000255	Conflict.Attack.FirearmAttack_Place	690791|80000032
NILV80000255	Conflict.Attack.FirearmAttack_Target	80000112
NILV80000255	Life.Die.DeathCausedByViolentEvents_Killer	80000112
NILV80000255	Life.Die.DeathCausedByViolentEvents_Place	690791|80000032
NILV80000255	Life.Die.DeathCausedByViolentEvents_Victim	80000112
NILV80000256	Conflict.Attack.FirearmAttack_Place	690791|80000032
NILV80000256	Conflict.Attack.FirearmAttack_Target	80000113
NILV80000256	Life.Die.DeathCausedByViolentEvents_Place	690791|80000032
NILV80000256	Life.Die.DeathCausedByViolentEvents_Victim	80000113
NILV80000258	Life.Die.NonviolentDeath_Place	690791|80000032
NILV80000258	Life.Die.NonviolentDeath_Victim	80000114
NILV80000259	Conflict.Attack.FirearmAttack_Attacker	80000115
NILV80000259	Conflict.Attack.FirearmAttack_Place	690791|80000032
NILV80000259	Conflict.Attack.FirearmAttack_Target	80000115
NILV80000259	Life.Die.DeathCausedByViolentEvents_Killer	80000115
NILV80000259	Life.Die.DeathCausedByViolentEvents_Place	690791|80000032
NILV80000259	Life.Die.DeathCausedByViolentEvents_Victim	80000115
NILV80000260	Conflict.Attack.Hanging_Attacker	80000116
NILV80000260	Conflict.Attack.Hanging_Place	690791|80000032
NILV80000260	Conflict.Attack.Hanging_Target	80000116
NILV80000260	Life.Die.DeathCausedByViolentEvents_Killer	80000116
NILV80000260	Life.Die.DeathCausedByViolentEvents_Place	690791|80000032
NILV80000260	Life.Die.DeathCausedByViolentEvents_Victim	80000116
NILV80000261	Conflict.Attack.FirearmAttack_Attacker	80000109
NILV80000261	Conflict.Attack.FirearmAttack_Attacker	80000110
NILV80000261	Conflict.Attack.FirearmAttack_Place	690791|80000032
NILV80000261	Conflict.Attack.FirearmAttack_Place	703448|80000027
NILV80000261	Conflict.Attack.FirearmAttack_Place	80000373
NILV80000261	Conflict.Attack.FirearmAttack_Target	80000117
NILV80000261	Life.Die.DeathCausedByViolentEvents_Killer	80000109
NILV80000261	Life.Die.DeathCausedByViolentEvents_Killer	80000110
NILV80000261	Life.Die.DeathCausedByViolentEvents_Place	690791|80000032
NILV80000261	Life.Die.DeathCausedByViolentEvents_Place	703448|80000027
NILV80000261	Life.Die.DeathCausedByViolentEvents_Place	80000373
NILV80000261	Life.Die.DeathCausedByViolentEvents_Victim	80000117
NILV80000262	Conflict.Attack_Attacker	80000120
NILV80000262	Conflict.Attack_Place	690791|80000032
NILV80000262	Conflict.Attack_Target	80000120
NILV80000262	Life.Die.DeathCausedByViolentEvents_Killer	80000120
NILV80000262	Life.Die.DeathCausedByViolentEvents_Place	690791|80000032
NILV80000262	Life.Die.DeathCausedByViolentEvents_Victim	80000120
NILV80000263	Conflict.Attack.Hanging_Attacker	80000122
NILV80000263	Conflict.Attack.Hanging_Place	690791|80000032
NILV80000263	Conflict.Attack.Hanging_Target	80000122
NILV80000263	Life.Die.DeathCausedByViolentEvents_Killer	80000122
NILV80000263	Life.Die.DeathCausedByViolentEvents_Place	690791|80000032
NILV80000263	Life.Die.DeathCausedByViolentEvents_Victim	80000122
NILV80000264	Conflict.Attack.FirearmAttack_Attacker	80000123
NILV80000264	Conflict.Attack.FirearmAttack_Place	690791|80000032
NILV80000264	Conflict.Attack.FirearmAttack_Target	80000123
NILV80000264	Life.Die.DeathCausedByViolentEvents_Killer	80000123
NILV80000264	Life.Die.DeathCausedByViolentEvents_Place	690791|80000032
NILV80000264	Life.Die.DeathCausedByViolentEvents_Victim	80000123
NILV80000265	Life.Die.DeathCausedByViolentEvents_Place	80000008
NILV80000265	Life.Die.DeathCausedByViolentEvents_Victim	PTE_E102_006
NILV80000273	Movement.TransportPerson.SelfMotion_Destination	80000008
NILV80000273	Movement.TransportPerson.SelfMotion_Origin	80000006
NILV80000280	Conflict.Attack_Place	704508|80000042
NILV80000280	Conflict.Attack_Target	80000011
NILV80000281	Conflict.Attack_Place	693468|80000043
NILV80000281	Conflict.Attack_Target	80000014
NILV80000349	Movement.TransportPerson.BringCarryUnload_Destination	80000353
NILV80000349	Movement.TransportPerson.BringCarryUnload_Passenger	PTE_E103_001
NILV80000350	Conflict.Attack.FirearmAttack_Place	80000353
NILV80000351	Conflict.Attack_Place	80000353
NILV80000351	Conflict.Attack_Target	PTE_E103_001
NILV80000352	Life.Die.DeathCausedByViolentEvents_Place	80000353
NILV80000354	Transaction.Transaction.TransferControl_Place	704508|80000042
NILV80000354	Transaction.Transaction.TransferControl_Recipient	80000078
NILV80000354	Transaction.Transaction.TransferControl_TerritoryOrFacility	7731189|80000009
NILV80000355	Transaction.TransferOwnership_Place	80000014
NILV80000356	Conflict.Demonstrate.MarchProtestPoliticalGathering_Demonstrator	PTE_E102_001
NILV80000356	Conflict.Demonstrate.MarchProtestPoliticalGathering_Place	698740|80000036
NILV80000362	Contact.CommandOrder_Communicator	80000127
NILV80000362	Contact.CommandOrder_Place	698740|80000036
NILV80000363	Conflict.Attack_Attacker	80000130
NILV80000363	Conflict.Attack_Place	698740|80000036
NILV80000365	Conflict.Attack.Bombing_Attacker	80000130
NILV80000365	Conflict.Attack.Bombing_Instrument	80000319
NILV80000365	Conflict.Attack.Bombing_Place	80000008
NILV80000366	Contact.ThreatenCoerce.Meet_Place	698740|80000036
NILV80000367	ArtifactExistence.DamageDestroy.Destroy_Artifact	80000003
NILV80000367	ArtifactExistence.DamageDestroy.Destroy_Place	80000006
NILV80000367	Conflict.Attack.SetFire_Place	80000006
NILV80000367	Conflict.Attack.SetFire_Target	80000003
NILV80000368	Conflict.Attack.SetFire_Place	80000006
NILV80000368	Conflict.Attack.SetFire_Target	80000003
NILV80000368	Movement.TransportPerson.PreventExit_Destination	80000006
NILV80000368	Movement.TransportPerson.PreventExit_Origin	80000008
NILV80000369	Contact.Collaborate_Participant	80000063
NILV80000369	Contact.Collaborate_Participant	80000069
NILV80000370	Conflict.Attack_Instrument	80000320
NILV80000370	Conflict.Attack_Place	698740|80000036
NILV80000371	Conflict.Attack_Attacker	PTE_E101_001
NILV80000371	Conflict.Attack_Place	690791|80000032
NILV80000371	Conflict.Attack_Target	PTE_E101_001
NILV80000371	Life.Die.DeathCausedByViolentEvents_Killer	PTE_E101_001
NILV80000371	Life.Die.DeathCausedByViolentEvents_Place	690791|80000032
NILV80000371	Life.Die.DeathCausedByViolentEvents_Victim	PTE_E101_001
NILV80000371	Life.Die_Place	690791|80000032
NILV80000371	Life.Die_Victim	PTE_E101_001
NILV80000372	Conflict.Attack.FirearmAttack_Attacker	80000121
NILV80000372	Conflict.Attack.FirearmAttack_Place	690791|80000032
NILV80000372	Conflict.Attack.FirearmAttack_Target	80000121
NILV80000372	Conflict.Attack_Place	690791|80000032
NILV80000372	Conflict.Attack_Target	80000121
NILV80000372	Life.Die.DeathCausedByViolentEvents_Killer	80000121
NILV80000372	Life.Die.DeathCausedByViolentEvents_Place	690791|80000032
NILV80000372	Life.Die.DeathCausedByViolentEvents_Victim	80000121
PTR_E101_001	ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility_EntityResponsible	80000068
PTR_E101_002	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation_EntityOrFiller	80000306
PTR_E101_002	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation_Organization	80000068
PTR_E101_003	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality	690791|80000032
PTR_E101_003	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Organization	80000068
PTR_E101_004	ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility_EntityResponsible	80000068
PTR_E101_005	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	80000303
PTR_E101_005	GeneralAffiliation.MemberOriginReligionEthnicity_Person	80000117
PTR_E101_006	PersonalSocial.Role.ProfessionalRole_JobRole	PTE_E101_002
PTR_E101_006	PersonalSocial.Role.ProfessionalRole_Person	80000117
PTR_E101_007	ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility_EntityResponsible	80000068
PTR_E101_008	ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility_EntityResponsible	80000068
PTR_E101_009	ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility_EntityResponsible	80000068
PTR_E101_010	ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility_EntityResponsible	80000068
PTR_E101_011	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000063
PTR_E101_012	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality	690791|80000032
PTR_E101_012	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Organization	80000063
PTR_E101_013	Physical.LocatedNear_EntityOrFiller	80000373
PTR_E101_013	Physical.LocatedNear_Place	703448|80000027
PTR_E101_014	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000063
PTR_E101_015	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000063
PTR_E101_016	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000063
PTR_E101_017	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000063
PTR_E101_018	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000063
PTR_E101_019	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000063
PTR_E101_020	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000063
PTR_E101_021	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000063
PTR_E101_022	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000063
PTR_E101_023	ResponsibilityBlame.AssignBlame.AssignBlame_EntityResponsible	80000063
PTR_E101_024	ResponsibilityBlame.AssignBlame.AssignBlame_EntityResponsible	80000063
PTR_E101_025	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000083
PTR_E101_026	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation_EntityOrFiller	80000374
PTR_E101_026	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation_Organization	80000083
PTR_E101_027	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation_EntityOrFiller	80000306
PTR_E101_027	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation_Organization	80000083
PTR_E101_028	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality	690791|80000032
