query_id	max_num_clusters	max_num_informative_mentions
AIDA_TA2_ZH_2019_0001	1	200
AIDA_TA2_ZH_2019_0002	1	200
AIDA_TA2_ZH_2019_0003	1	200
AIDA_TA2_ZH_2019_0004	1	200
AIDA_TA2_ZH_2019_0005	1	200
AIDA_TA2_ZH_2019_0006	1	200
AIDA_TA2_ZH_2019_0007	1	200
AIDA_TA2_ZH_2019_0008	1	200
AIDA_TA2_ZH_2019_0009	1	200
AIDA_TA2_ZH_2019_0010	1	200
AIDA_TA2_ZH_2019_0011	1	200
AIDA_TA2_ZH_2019_0012	1	200
AIDA_TA2_ZH_2019_0013	1	200
AIDA_TA2_ZH_2019_0014	1	200
AIDA_TA2_ZH_2019_0015	1	200
AIDA_TA2_ZH_2019_0016	1	200
AIDA_TA2_ZH_2019_0017	1	200
AIDA_TA2_ZH_2019_0018	1	200
AIDA_TA2_ZH_2019_0019	1	200
AIDA_TA2_ZH_2019_0020	1	200
AIDA_TA2_ZH_2019_0021	1	200
AIDA_TA2_ZH_2019_0022	1	200
AIDA_TA2_ZH_2019_0023	1	200
AIDA_TA2_ZH_2019_0024	1	200
AIDA_TA2_ZH_2019_0025	1	200
AIDA_TA2_ZH_2019_0026	1	200
AIDA_TA2_ZH_2019_0028	1	200
AIDA_TA2_ZH_2019_0029	1	200
AIDA_TA2_ZH_2019_0030	1	200
AIDA_TA2_ZH_2019_0031	1	200
AIDA_TA2_ZH_2019_0032	1	200
AIDA_TA2_ZH_2019_0033	1	200
AIDA_TA2_ZH_2019_0034	1	200
AIDA_TA2_ZH_2019_0035	1	200
AIDA_TA2_ZH_2019_0037	1	200
AIDA_TA2_ZH_2019_0038	1	200
AIDA_TA2_ZH_2019_0039	1	200
AIDA_TA2_ZH_2019_0040	1	200
AIDA_TA2_ZH_2019_0041	1	200
AIDA_TA2_ZH_2019_0042	1	200
AIDA_TA2_ZH_2019_0043	1	200
AIDA_TA2_ZH_2019_0044	1	200
AIDA_TA2_ZH_2019_0045	1	200
AIDA_TA2_ZH_2019_0046	1	200
AIDA_TA2_ZH_2019_0047	1	200
AIDA_TA2_ZH_2019_0048	1	200
AIDA_TA2_ZH_2019_0049	1	200
AIDA_TA2_ZH_2019_0050	1	200
AIDA_TA2_ZH_2019_0051	1	200
AIDA_TA2_ZH_2019_0052	1	200
